Time,Prey,Predator
0.1,9.08673,5.28486
0.2,8.16862,5.53513
0.3,7.27561,5.74493
0.4,6.43153,5.91105
0.5,5.65269,6.03274
0.6,4.94862,6.11131
0.7,4.32231,6.14982
0.8,3.77245,6.15223
0.9,3.29429,6.12316
1,2.88224,6.06705
1.1,2.52888,5.98845
1.2,2.22615,5.89175
1.3,1.96796,5.78038
1.4,1.74809,5.65755
1.5,1.56012,5.52627
1.6,1.39975,5.38871
1.7,1.26344,5.24662
1.8,1.14656,5.10197
1.9,1.04622,4.95603
2,0.960901,4.80961
2.1,0.88759,4.66385
2.2,0.824109,4.5196
2.3,0.770057,4.37709
2.4,0.723712,4.23692
2.5,0.683792,4.09952
2.6,0.649652,3.9651
2.7,0.620411,3.83389
2.8,0.595642,3.70601
2.9,0.574721,3.58158
3,0.557271,3.46066
3.1,0.542951,3.3433
3.2,0.531458,3.22949
3.3,0.52255,3.11924
3.4,0.516013,3.01253
3.5,0.511701,2.9093
3.6,0.509476,2.80953
3.7,0.509246,2.71315
3.8,0.510941,2.6201
3.9,0.514523,2.53031
4,0.519967,2.4437
4.1,0.52725,2.36021
4.2,0.536386,2.27976
4.3,0.547412,2.20228
4.4,0.560373,2.12768
4.5,0.575313,2.05589
4.6,0.592305,1.98685
4.7,0.611437,1.92049
4.8,0.63282,1.85671
4.9,0.656585,1.79547
5,0.682882,1.73668
5.1,0.711874,1.68028
5.2,0.743746,1.6262
5.3,0.778701,1.57438
5.4,0.816959,1.52478
5.5,0.858758,1.47733
5.6,0.90436,1.43199
5.7,0.954078,1.3887
5.8,1.00824,1.34742
5.9,1.0672,1.30811
6,1.13133,1.27072
6.1,1.20107,1.23523
6.2,1.27687,1.20161
6.3,1.35924,1.16984
6.4,1.44867,1.13988
6.5,1.54578,1.11174
6.6,1.65121,1.08539
6.7,1.76563,1.06084
6.8,1.88975,1.03807
6.9,2.02437,1.01712
7,2.17033,0.997985
7.1,2.32852,0.980709
7.2,2.49988,0.965319
7.3,2.6854,0.951868
7.4,2.88613,0.940426
7.5,3.10318,0.931066
7.6,3.33772,0.92387
7.7,3.59088,0.918957
7.8,3.8638,0.916482
7.9,4.15771,0.916605
8,4.47385,0.919499
8.1,4.81329,0.925398
8.2,5.17674,0.934636
8.3,5.56504,0.94754
8.4,5.97901,0.964469
8.5,6.41911,0.985862
8.6,6.8848,1.01233
8.7,7.3757,1.04449
8.8,7.89054,1.08309
8.9,8.42721,1.12898
9,8.98303,1.18313
9.1,9.55271,1.2469
9.2,10.1301,1.32178
9.3,10.7074,1.40937
9.4,11.2747,1.51138
9.5,11.8207,1.6297
9.6,12.3305,1.76645
9.7,12.7872,1.92393
