Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,200000
0.1,70.4087,999999,1.1117,0.00825154,999999,0.981981,499999,1.64382,250124,0.0762265,0.0404916,0.00816921,0.000224061,1.01475e-06,3.35213,200056
0.2,80.6726,999998,2.27167,0.0200432,999996,3.95227,499994,7.24934,250230,0.286848,0.322959,0.065723,0.00170922,1.61698e-05,3.89548,200270
0.3,91.7301,999998,3.45729,0.035187,999991,8.91778,499988,17.8442,250323,0.607151,1.08455,0.222622,0.00550126,8.15199e-05,4.454,200693
0.4,103.498,999997,4.64286,0.0536306,999984,15.8425,499981,34.4166,250409,1.01462,2.55277,0.528503,0.0124367,0.000255836,5.01646,201372
0.5,115.88,999997,5.80151,0.0751448,999974,24.6444,499972,57.8294,250490,1.4882,4.9402,1.03157,0.0231567,0.000619551,5.57101,202353
0.6,128.774,999997,6.90743,0.0992657,999963,35.1981,499963,88.7441,250570,2.00797,8.44,1.77751,0.0381251,0.00127225,6.10619,203676
0.7,142.087,999997,7.93793,0.125338,999949,47.3373,499954,127.551,250649,2.55516,13.2205,2.80835,0.0576299,0.00233147,6.61181,205368
0.8,155.739,999997,8.87539,0.152593,999934,60.8652,499946,174.339,250729,3.11252,19.4216,4.16152,0.0818004,0.00392917,7.07983,207444
0.9,169.674,999997,9.70798,0.180254,999917,75.564,499939,228.907,250809,3.66461,27.1533,5.86933,0.110623,0.00620903,7.50471,209904
1,183.859,999996,10.43,0.207619,999899,91.2062,499932,290.803,250889,4.19821,36.4947,7.95856,0.14396,0.00932323,7.88357,212738
1.1,198.287,999996,11.0416,0.234124,999880,107.567,499927,359.376,250970,4.70268,47.494,10.4503,0.18157,0.0134291,8.21613,215920
1.2,212.975,999996,11.5481,0.259381,999860,124.433,499922,433.85,251053,5.17012,60.1708,13.3601,0.223136,0.0186861,8.50434,219422
1.3,227.957,999996,11.9584,0.283187,999838,141.61,499918,513.398,251136,5.59535,74.5189,16.6984,0.268285,0.0252533,8.75183,223207
1.4,243.282,999996,12.2839,0.305502,999817,158.929,499915,597.199,251222,5.97571,90.5098,20.471,0.316611,0.0332868,8.96332,227238
1.5,259.005,999996,12.5367,0.326419,999794,176.246,499913,684.499,251308,6.31068,108.097,24.6801,0.3677,0.0429379,9.14398,231481
1.6,275.181,999995,12.7287,0.346123,999772,193.442,499911,774.634,251397,6.60141,127.22,29.3243,0.421147,0.054351,9.29888,235904
1.7,291.87,999995,12.8719,0.364784,999748,210.424,499909,867.027,251489,6.85046,147.807,34.3997,0.476562,0.0676636,9.43316,240477
1.8,309.131,999995,12.9778,0.382553,999725,227.123,499908,961.186,251583,7.06151,169.778,39.9001,0.533579,0.0830048,9.5518,245176
1.9,327.003,999995,13.0533,0.400121,999702,243.486,499907,1056.78,251680,7.23843,193.047,45.8181,0.591874,0.100494,9.65782,249983
2,345.532,999995,13.1062,0.417427,999678,259.479,499907,1153.52,251781,7.38561,217.527,52.1449,0.651158,0.120242,9.75461,254879
2.1,364.77,999994,13.1459,0.433112,999655,275.08,499906,1251.14,251886,7.50711,243.133,58.8714,0.711187,0.142349,9.84605,259841
2.2,384.742,999994,13.1752,0.450062,999631,290.281,499906,1349.52,251995,7.60697,269.78,65.988,0.771756,0.166905,9.93355,264860
2.3,405.462,999994,13.1954,0.466841,999607,305.075,499906,1448.59,252108,7.68878,297.383,73.4851,0.832689,0.193994,10.0176,269934
2.4,426.953,999993,13.2098,0.483895,999584,319.462,499906,1548.25,252226,7.75557,325.863,81.3529,0.893839,0.223689,10.0995,275050
2.5,449.234,999993,13.2206,0.501002,999560,333.445,499906,1648.45,252349,7.81008,355.14,89.5815,0.955086,0.256055,10.1803,280201
2.6,472.314,999993,13.2287,0.518151,999536,347.031,499905,1749.16,252476,7.85467,385.14,98.1613,1.01633,0.29115,10.2601,285377
2.7,496.203,999993,13.2353,0.535763,999512,360.227,499905,1850.34,252609,7.89128,415.793,107.083,1.07751,0.329022,10.3395,290570
2.8,520.908,999992,13.2407,0.553495,999488,373.044,499905,1951.99,252747,7.92154,447.03,116.337,1.13854,0.369715,10.4186,295777
2.9,546.429,999992,13.2454,0.571403,999465,385.49,499905,2054.08,252891,7.94678,478.789,125.915,1.19939,0.413263,10.4974,300987
3,572.767,999992,13.2496,0.590436,999441,397.576,499905,2156.6,253040,7.96805,511.007,135.807,1.26001,0.459696,10.5758,306192
