Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,65.6245,817006,0.483275,0.00572979,1e+06,0.248216,514852,1.31669,233737,0.0331287,0.00996755,0.00201139,0.000101028,2.5589e-07,3.98934,130383
0.2,70.45,695642,0.863759,0.0116915,999999,0.905754,524700,5.16382,222368,0.108781,0.0708133,0.0144217,0.000695438,3.7021e-06,4.29456,131684
0.3,75.5014,620020,1.16932,0.0171951,999998,1.86817,530835,11.3319,214421,0.203578,0.214705,0.0441405,0.00203724,1.71196e-05,4.57017,133818
0.4,80.8014,574503,1.42096,0.0221519,999997,3.05946,534526,19.6129,208867,0.304747,0.461789,0.0958515,0.00422673,4.97846e-05,4.82869,136701
0.5,86.3704,547908,1.63345,0.0266993,999995,4.42465,536682,29.8344,204991,0.405658,0.825123,0.172936,0.00727977,0.000112561,5.07853,140259
0.6,92.2273,532799,1.8167,0.0309554,999993,5.92298,537905,41.8677,202287,0.502899,1.31355,0.278004,0.0111716,0.000217292,5.32491,144428
0.7,98.3904,524448,1.97709,0.0349437,999992,7.52329,538580,55.6188,200405,0.594837,1.93295,0.41313,0.015857,0.00037646,5.57099,149160
0.8,104.878,519934,2.1187,0.0386813,999990,9.20081,538945,71.0162,199096,0.680794,2.68693,0.579958,0.0212811,0.000602928,5.81835,154407
0.9,111.709,517536,2.24408,0.042208,999987,10.9351,539137,88.0011,198190,0.760574,3.57719,0.779776,0.027386,0.000909735,6.06761,160128
1,118.901,516321,2.3548,0.0455314,999985,12.7086,539234,106.522,197565,0.834195,4.60377,1.01354,0.034113,0.00130992,6.31883,166284
1.1,126.477,515725,2.45209,0.0486336,999983,14.506,539281,126.525,197140,0.901778,5.76532,1.28193,0.0414049,0.00181637,6.57182,172838
1.2,134.457,515444,2.5369,0.0515484,999980,16.3134,539303,147.957,196854,0.963456,7.05918,1.58534,0.049206,0.00244165,6.82622,179754
1.3,142.865,515306,2.61014,0.0542967,999978,18.1187,539313,170.759,196664,1.0194,8.48154,1.92393,0.0574625,0.00319792,7.08175,186998
1.4,151.726,515169,2.67292,0.0567937,999975,19.911,539323,194.87,196543,1.06985,10.0277,2.29763,0.0661225,0.00409685,7.33811,194532
1.5,161.064,515070,2.72595,0.059306,999972,21.6812,539330,220.232,196471,1.11503,11.692,2.70615,0.0751364,0.00514952,7.59541,202343
1.6,170.907,515076,2.76994,0.0619971,999969,23.4209,539329,246.788,196436,1.15517,13.4681,3.14901,0.084457,0.00636635,7.85396,210425
1.7,181.284,515145,2.80607,0.0638896,999967,25.1233,539323,274.48,196428,1.19054,15.3489,3.62557,0.0940397,0.00775698,8.11317,218723
1.8,192.225,515222,2.83546,0.0658822,999964,26.7829,539316,303.254,196438,1.22147,17.3272,4.1351,0.103843,0.00933027,8.37321,227221
1.9,203.762,515266,2.85915,0.0680059,999961,28.3954,539312,333.057,196462,1.24832,19.3957,4.67676,0.113828,0.0110943,8.63417,235893
2,215.926,515276,2.87803,0.0699517,999958,29.9577,539311,363.849,196497,1.27148,21.5467,5.24963,0.123959,0.0130564,8.89651,244734
2.1,228.75,515269,2.89291,0.0723896,999955,31.4677,539312,395.594,196540,1.29132,23.7726,5.85275,0.134206,0.0152229,9.16168,253776
2.2,242.27,515254,2.90454,0.0742785,999952,32.9241,539313,428.265,196589,1.30821,26.066,6.48512,0.144541,0.0175995,9.42895,262972
2.3,256.522,515251,2.91355,0.0757685,999949,34.3267,539313,461.84,196644,1.32252,28.4195,7.14569,0.154938,0.0201912,9.69822,272304
