Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,200000
0.1,66.5489,1.33622e+06,0.810868,0.0120796,1e+06,0.395799,586861,2.95734,233402,0.0515598,0.0152318,0.00307303,0.000150789,3.81847e-07,7.27416,200082
0.2,72.5344,1.50127e+06,1.71752,0.0293013,999998,1.65337,629495,14.1612,221800,0.194045,0.120675,0.024559,0.00115737,6.06008e-06,7.99943,200398
0.3,78.9767,1.57443e+06,2.60663,0.0492004,999996,3.7748,648385,35.8731,213693,0.402941,0.399053,0.081927,0.00369881,3.02067e-05,8.72244,201002
0.4,85.9011,1.60432e+06,3.4176,0.0705595,999993,6.67651,656099,68.9303,208032,0.65315,0.920128,0.190588,0.00822923,9.35306e-05,9.39557,201922
0.5,93.3371,1.61582e+06,4.12293,0.0925315,999989,10.2355,659060,113.167,204079,0.923204,1.73961,0.363574,0.014999,0.000222767,9.99699,203167
0.6,101.318,1.61987e+06,4.71565,0.114534,999985,14.3161,660099,167.768,201325,1.19647,2.8989,0.611402,0.0240872,0.000449423,10.5209,204737
0.7,109.879,1.62128e+06,5.19922,0.136184,999979,18.7872,660455,231.58,199408,1.46082,4.42658,0.942263,0.0354507,0.00080818,10.9694,206622
0.8,119.059,1.6218e+06,5.5832,0.157238,999974,23.5293,660585,303.292,198077,1.70788,6.33964,1.36219,0.0489592,0.0013357,11.3494,208805
0.9,128.901,1.62193e+06,5.88018,0.177615,999968,28.4382,660614,381.555,197158,1.93251,8.64486,1.87525,0.064422,0.00206968,11.6702,211270
1,139.448,1.62211e+06,6.10286,0.197357,999962,33.426,660657,465.072,196533,2.13208,11.3406,2.48385,0.0816142,0.00304786,11.9411,213994
1.1,150.746,1.62185e+06,6.26683,0.216323,999956,38.423,660587,552.74,196113,2.30587,14.4177,3.1889,0.100301,0.0043071,12.1735,216960
1.2,162.844,1.62188e+06,6.3821,0.235254,999949,43.3753,660593,643.647,195837,2.45433,17.862,3.99011,0.120253,0.00588269,12.3751,220151
1.3,175.794,1.62138e+06,6.46539,0.252683,999943,48.2445,660463,737.043,195661,2.57946,21.6559,4.88648,0.141251,0.00780807,12.5578,223543
1.4,189.646,1.62163e+06,6.51825,0.271991,999936,53.0028,660528,832.407,195556,2.68338,25.7793,5.87637,0.163094,0.0101147,12.7234,227136
1.5,204.455,1.62176e+06,6.552,0.290028,999929,57.6284,660560,929.295,195504,2.76832,30.2099,6.95755,0.185602,0.0128316,12.88,230915
1.6,220.278,1.62167e+06,6.57532,0.308649,999922,62.1121,660538,1027.41,195489,2.83732,34.9249,8.12748,0.208617,0.0159855,13.0337,234859
1.7,237.171,1.62178e+06,6.589,0.328503,999916,66.4494,660566,1126.61,195503,2.89294,39.9014,9.38353,0.232011,0.0196004,13.1862,238994
1.8,255.196,1.62175e+06,6.59806,0.347698,999909,70.638,660558,1226.8,195538,2.93742,45.1173,10.723,0.255674,0.0236982,13.3404,243292
1.9,274.412,1.62174e+06,6.60469,0.368583,999902,74.6803,660554,1327.91,195589,2.97307,50.5507,12.143,0.279517,0.0282982,13.4982,247752
2,294.882,1.62175e+06,6.60883,0.388528,999895,78.5794,660556,1429.95,195655,3.00158,56.1811,13.6411,0.303471,0.0334175,13.659,252361
2.1,316.67,1.62172e+06,6.61229,0.41113,999889,82.3386,660550,1532.91,195731,3.0244,61.9887,15.2144,0.327479,0.0390712,13.8244,257125
2.2,339.843,1.62172e+06,6.61502,0.432527,999882,85.9627,660551,1636.81,195818,3.0428,67.955,16.8605,0.351498,0.0452723,13.9938,262028
2.3,364.468,1.62173e+06,6.61733,0.456732,999875,89.456,660553,1741.66,195914,3.0577,74.0625,18.577,0.375493,0.0520318,14.1677,267072
2.4,390.614,1.62173e+06,6.61928,0.481292,999868,92.8229,660553,1847.49,196018,3.06988,80.2946,20.3613,0.399437,0.0593591,14.346,272256
2.5,418.349,1.62173e+06,6.62108,0.50604,999862,96.0677,660553,1954.32,196131,3.07995,86.6358,22.2113,0.423311,0.067262,14.5286,277572
2.6,447.746,1.62173e+06,6.62271,0.532656,999855,99.1949,660553,2062.18,196253,3.08837,93.0716,24.1247,0.447097,0.0757464,14.7153,283013
2.7,478.876,1.62173e+06,6.6242,0.55974,999848,102.209,660553,2171.07,196383,3.09554,99.5884,26.0994,0.470785,0.0848172,14.9057,288567
2.8,511.811,1.62173e+06,6.62555,0.587767,999841,105.113,660553,2281.02,196521,3.10174,106.173,28.1334,0.494366,0.0944776,15.0995,294227
2.9,546.624,1.62173e+06,6.62679,0.616852,999834,107.911,660553,2392.05,196669,3.10721,112.815,30.2247,0.517833,0.10473,15.2965,299982
3,583.387,1.62173e+06,6.62792,0.647042,999828,110.608,660553,2504.16,196826,3.11213,119.502,32.3715,0.541181,0.115574,15.4963,305824
3.1,622.174,1.62173e+06,6.62895,0.678199,999821,113.207,660553,2617.37,196992,3.11664,126.223,34.572,0.564406,0.127012,15.6987,311742
3.2,663.055,1.62173e+06,6.6299,0.710561,999814,115.711,660553,2731.68,197168,3.12086,132.971,36.8245,0.587508,0.13904,15.9031,317724
3.3,706.103,1.62173e+06,6.63077,0.743887,999807,118.124,660553,2847.1,197354,3.12488,139.734,39.1273,0.610484,0.151658,16.1093,323758
3.4,751.386,1.62173e+06,6.63156,0.778516,999800,120.449,660553,2963.63,197551,3.12877,146.507,41.4789,0.633335,0.164862,16.3168,329832
3.5,798.973,1.62173e+06,6.63229,0.814243,999794,122.689,660553,3081.27,197759,3.13259,153.28,43.8778,0.656059,0.17865,16.5252,335932
3.6,848.93,1.62173e+06,6.63295,0.851495,999787,124.847,660553,3200,197979,3.13639,160.047,46.3226,0.678657,0.193015,16.7341,342049
3.7,901.321,1.62173e+06,6.63356,0.889693,999780,126.927,660553,3319.83,198210,3.14021,166.801,48.8119,0.701131,0.207954,16.943,348164
3.8,956.207,1.62173e+06,6.63412,0.9293,999773,128.93,660553,3440.74,198453,3.14409,173.537,51.3444,0.723482,0.223462,17.1515,354265
3.9,1013.65,1.62173e+06,6.63463,0.970472,999766,130.861,660553,3562.71,198709,3.14805,180.249,53.919,0.745711,0.239531,17.3591,360341
4,1073.69,1.62173e+06,6.63509,1.01301,999760,132.721,660553,3685.72,198978,3.1521,186.932,56.5343,0.767819,0.256155,17.5655,366377
4.1,1136.39,1.62173e+06,6.63552,1.0576,999753,134.512,660553,3809.75,199261,3.15628,193.582,59.1894,0.789808,0.273328,17.7703,372369
4.2,1201.8,1.62173e+06,6.63592,1.1029,999746,136.239,660553,3934.77,199557,3.1606,200.195,61.8832,0.811682,0.291042,17.973,378294
4.3,1269.94,1.62173e+06,6.63628,1.14953,999739,137.902,660553,4060.75,199867,3.16508,206.767,64.6147,0.83344,0.30929,18.1729,384133
4.4,1340.86,1.62173e+06,6.63656,1.19866,999732,139.504,660553,4187.66,200192,3.16972,213.295,67.3829,0.855087,0.328063,18.3698,389883
4.5,1414.58,1.62173e+06,6.63692,1.24884,999726,141.048,660553,4315.46,200532,3.17454,219.777,70.1869,0.876623,0.347353,18.5631,395523
4.6,1491.13,1.62172e+06,6.63684,1.30069,999719,142.535,660553,4444.1,200887,3.17952,226.209,73.026,0.898052,0.367152,18.7522,401044
4.7,1570.52,1.62172e+06,6.63652,1.35493,999712,143.967,660553,4573.53,201258,3.18468,232.589,75.8993,0.919375,0.387452,18.9369,406438
4.8,1652.76,1.62172e+06,6.63741,1.40994,999705,145.346,660553,4703.72,201644,3.19006,238.916,78.806,0.940595,0.408243,19.1177,411686
4.9,1737.85,1.62172e+06,6.63779,1.46744,999699,146.676,660553,4834.62,202046,3.19569,245.188,81.7455,0.961715,0.429516,19.2932,416782
5,1825.79,1.62172e+06,6.63799,1.52665,999692,147.956,660553,4966.17,202465,3.20156,251.404,84.7171,0.982737,0.451264,19.4631,421716
5.1,1916.55,1.62172e+06,6.63806,1.58783,999685,149.19,660553,5098.31,202900,3.20765,257.562,87.7202,1.00366,0.473477,19.6273,426480
5.2,2010.11,1.62172e+06,6.63813,1.65087,999678,150.378,660553,5230.98,203352,3.21398,263.662,90.7542,1.0245,0.496145,19.7857,431067
5.3,2106.4,1.62172e+06,6.63821,1.71586,999671,151.524,660553,5364.09,203821,3.22054,269.703,93.8181,1.04525,0.519253,19.9378,435465
5.4,2205.43,1.62172e+06,6.63831,1.78281,999665,152.628,660553,5497.62,204306,3.22733,275.685,96.912,1.06591,0.542801,20.0838,439676
5.5,2307.08,1.62172e+06,6.63835,1.85175,999658,153.692,660553,5631.44,204809,3.23438,281.607,100.035,1.08649,0.566771,20.2232,443691
5.6,2411.37,1.62172e+06,6.63834,1.92266,999651,154.716,660553,5765.59,205328,3.24167,287.469,103.187,1.10698,0.591166,20.3561,447512
5.7,2518.14,1.62172e+06,6.63845,1.99555,999644,155.703,660553,5899.92,205865,3.24922,293.271,106.367,1.1274,0.615966,20.4825,451134
5.8,2627.41,1.62172e+06,6.63857,2.07044,999637,156.653,660553,6034.45,206418,3.25702,299.014,109.576,1.14774,0.641173,20.6023,454558
