Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,68.0839,919031,6.88718,0.211149,999989,10.5738,438720,4.47212,339055,0.619948,0.570002,0.114975,0.00178121,1.39458e-05,2.31603,144553
0.2,74.8396,811702,11.8298,0.338217,999961,38.2004,357479,20.6894,401372,2.40443,4.8845,0.993577,0.0141601,0.000238391,3.90334,186539
0.3,81.4161,724108,14.9392,0.370075,999921,76.7109,291172,45.0367,444985,4.94618,16.6549,3.41755,0.0455732,0.0012358,4.94123,238093
0.4,88.0122,667953,16.6979,0.368281,999874,121.087,248664,72.3969,475514,7.76355,38.5079,7.97417,0.100317,0.00388554,5.56339,290044
0.5,94.8046,636355,17.6075,0.357055,999822,167.963,224745,100.322,496886,10.5028,71.8085,15.0122,0.178961,0.0092589,5.92006,339716
0.6,101.926,619823,18.0364,0.345568,999769,215.357,212232,128.127,511855,12.9687,116.952,24.6924,0.279712,0.0185036,6.12398,386582
0.7,109.469,611505,18.2151,0.336128,999715,262.216,205937,155.736,522347,15.0855,173.718,37.0528,0.399649,0.0327656,6.24677,430937
0.8,117.5,607410,18.2743,0.3299,999661,308.037,202838,183.211,529706,16.849,241.551,52.0613,0.535551,0.0531427,6.32945,473253
0.9,126.07,605429,18.2828,0.325714,999607,352.612,201339,210.62,534877,18.2904,319.741,69.651,0.684363,0.0806603,6.39393,513914
1,135.217,604476,18.2748,0.324106,999553,395.884,200619,238.024,538518,19.4544,407.533,89.7403,0.843398,0.116262,6.45145,553352
1.1,144.979,604025,18.2651,0.324784,999498,437.869,200278,265.471,541090,20.3877,504.179,112.243,1.01039,0.16081,6.50699,591861
1.2,155.389,603808,18.2589,0.327088,999444,478.606,200115,292.994,542921,21.1332,608.962,137.077,1.18347,0.215089,6.56262,629699
1.3,166.481,603702,18.2572,0.330951,999390,518.145,200036,320.621,544237,21.7276,721.213,164.161,1.36112,0.27981,6.61889,667068
1.4,178.292,603651,18.259,0.335853,999336,556.532,199998,348.367,545195,22.2015,840.307,193.42,1.54214,0.355612,6.67578,704134
1.5,190.857,603626,18.2629,0.341578,999281,593.81,199979,376.242,545907,22.5794,965.666,224.785,1.72557,0.44307,6.73298,740965
1.6,204.215,603613,18.2679,0.348252,999227,630.014,199971,404.25,546449,22.8811,1096.75,258.189,1.91065,0.542699,6.79039,777695
1.7,218.405,603607,18.2734,0.355828,999173,665.18,199967,432.394,546875,23.1222,1233.06,293.569,2.09679,0.654962,6.84787,814382
1.8,233.468,603603,18.279,0.364115,999119,699.337,199965,460.674,547224,23.3151,1374.12,330.868,2.2835,0.78026,6.90539,851086
1.9,249.444,603601,18.2843,0.373091,999064,732.514,199964,489.09,547523,23.4699,1519.5,370.027,2.47043,0.918956,6.96294,887858
2,266.378,603599,18.2893,0.382711,999010,764.739,199964,517.64,547792,23.5947,1668.77,410.994,2.65725,1.07137,7.02056,924737
2.1,284.31,603597,18.2939,0.39291,998956,796.039,199963,546.324,548044,23.6959,1821.57,453.716,2.84374,1.23777,7.07826,961749
2.2,303.287,603596,18.2981,0.403608,998902,826.439,199963,575.14,548289,23.7785,1977.51,498.144,3.02972,1.41841,7.13607,998906
2.3,323.35,603594,18.302,0.41509,998847,855.965,199963,604.087,548534,23.8465,2136.27,544.23,3.21505,1.61346,7.19403,1.03624e+06
2.4,344.546,603592,18.3056,0.427223,998793,884.641,199963,633.165,548784,23.9029,2297.51,591.93,3.39963,1.8231,7.25221,1.07377e+06
2.5,366.918,603590,18.3089,0.439301,998739,912.491,199963,662.372,549041,23.9504,2460.95,641.198,3.58336,2.04746,7.31054,1.11146e+06
