Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,200000
0.1,71.4317,1.02143e+06,1.13636,0.00919199,999999,1.09849,483919,1.46953,257557,0.0792113,0.0462238,0.00932503,0.00023116,1.14888e-06,3.31096,200063
0.2,83.0751,1.0373e+06,2.35087,0.023434,999995,4.46474,472008,6.40201,262865,0.305838,0.377862,0.0768799,0.0017997,1.86893e-05,3.83907,200311
0.3,95.9172,1.04826e+06,3.61317,0.0421263,999990,10.1607,463779,15.6294,266600,0.661093,1.29411,0.265562,0.00589229,9.62172e-05,4.39169,200811
0.4,109.92,1.05536e+06,4.88703,0.0656775,999981,18.181,458439,29.9889,269237,1.12361,3.09399,0.640332,0.0135123,0.00030694,4.95418,201634
0.5,125.032,1.05968e+06,6.13388,0.093811,999970,28.45,455196,50.231,271113,1.67005,6.06326,1.26545,0.02547,0.000751533,5.51086,202847
0.6,141.197,1.06213e+06,7.31644,0.125964,999957,40.8179,453350,76.9191,272457,2.27582,10.4627,2.20215,0.0423575,0.00155804,6.04644,204509
0.7,158.371,1.06343e+06,8.4026,0.161229,999941,55.0704,452361,110.347,273432,2.91615,16.5187,3.50649,0.0645468,0.00287808,6.54763,206664
0.8,176.532,1.06409e+06,9.36858,0.198523,999924,70.9433,451861,150.491,274148,3.56742,24.4151,5.22749,0.0921924,0.00488305,7.00445,209336
0.9,195.693,1.0644e+06,10.2002,0.236675,999904,88.144,451619,197.033,274686,4.20826,34.2926,7.40662,0.125261,0.00775858,7.41072,212527
1,215.9,1.06455e+06,10.8926,0.274848,999884,106.369,451502,249.417,275103,4.82055,46.2473,10.0772,0.16355,0.0117006,7.76415,216224
1.1,237.239,1.06463e+06,11.4501,0.312103,999861,125.323,451443,306.915,275436,5.3902,60.328,13.2637,0.206713,0.0169117,8.06601,220394
