Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,65.6436,921632,0.422918,0.00562538,999985,14.5599,507429,0.195307,261354,0.0307871,0.63118,0.127355,9.11811e-05,1.60165e-05,0.877641,130369
0.2,70.4864,851007,0.79151,0.0120451,999943,54.957,514124,0.794118,269303,0.111487,4.91833,1.00107,0.000677554,0.000248703,1.01755,131679
0.3,75.5436,789325,1.1066,0.0182085,999878,116.439,519971,1.79953,274868,0.225711,16.0422,3.29417,0.00211634,0.00122357,1.14339,133913
0.4,80.8336,736676,1.37076,0.0239909,999793,194.578,524962,3.19613,278763,0.3594,36.5304,7.56908,0.00462928,0.00374842,1.2557,137001
0.5,86.3782,692624,1.58781,0.0291192,999692,285.358,529137,4.95473,281489,0.501255,68.2392,14.2691,0.00832719,0.00884188,1.35536,140857
0.6,92.2016,656392,1.76246,0.0338161,999577,385.222,532571,7.03698,283395,0.642688,112.398,23.7231,0.0132327,0.0176726,1.44357,145393
0.7,98.3302,627016,1.89985,0.037465,999451,491.101,535355,9.39978,284723,0.777595,169.693,36.1583,0.0193042,0.0314973,1.52159,150503
0.8,104.792,603496,2.00521,0.0403713,999318,600.414,537584,11.9994,285650,0.90196,240.367,51.7154,0.026459,0.0516029,1.59053,156049
0.9,111.618,584870,2.08362,0.0443988,999178,711.04,539348,14.7942,286298,1.01342,324.295,70.4627,0.0345876,0.0792737,1.65205,162005
1,118.837,570271,2.13989,0.0458676,999033,821.281,540732,17.747,286750,1.11093,421.078,92.4113,0.0435657,0.11576,1.70722,168248
1.1,126.481,558918,2.17843,0.0472568,998886,929.822,541807,20.8244,287067,1.1944,530.111,117.528,0.0532654,0.162254,1.75701,174671
1.2,134.583,550145,2.20312,0.0500276,998736,1035.68,542638,23.9989,287290,1.26444,650.647,145.746,0.0635622,0.219868,1.80314,181332
1.3,143.176,543406,2.21735,0.0515658,998585,1138.17,543277,27.2491,287449,1.3221,781.846,176.975,0.0743399,0.289632,1.84683,188232
1.4,152.293,538257,2.22396,0.053027,998433,1236.84,543765,30.5584,287566,1.3687,922.82,211.108,0.0854932,0.372478,1.88842,195245
1.5,161.968,534350,2.22531,0.0544399,998281,1331.42,544135,33.9146,287653,1.40568,1072.66,248.029,0.0969298,0.469244,1.92863,202354
1.6,172.234,531393,2.22325,0.055892,998129,1421.81,544415,37.309,287723,1.43448,1230.48,287.617,0.108571,0.580672,1.96832,209588
1.7,183.127,529166,2.21925,0.0572224,997977,1508.02,544626,40.7364,287782,1.4565,1395.39,329.751,0.12035,0.707411,2.00785,216919
1.8,194.682,527498,2.21437,0.0583005,997826,1590.13,544784,44.1941,287835,1.47302,1566.57,374.31,0.132213,0.850019,2.04757,224341
1.9,206.934,526252,2.20938,0.0601512,997675,1668.29,544902,47.681,287887,1.48519,1743.24,421.18,0.144117,1.00897,2.08787,231877
2,219.92,525323,2.20475,0.061688,997524,1742.69,544990,51.1978,287940,1.49399,1924.67,470.249,0.156028,1.18466,2.12907,239549
2.1,233.676,524636,2.20077,0.0634022,997374,1813.53,545055,54.7459,287995,1.50024,2110.19,521.413,0.167921,1.37741,2.17121,247349
2.2,248.24,524129,2.19756,0.0652173,997224,1881,545103,58.3273,288055,1.50463,2299.16,574.575,0.179777,1.58748,2.21442,255292
2.3,263.651,523756,2.19514,0.0671069,997074,1945.32,545138,61.9441,288120,1.50769,2491.01,629.64,0.191581,1.81507,2.25877,263387
2.4,279.947,523482,2.19346,0.0690753,996925,2006.66,545164,65.5988,288191,1.50984,2685.23,686.522,0.203326,2.0603,2.30427,271641
2.5,297.168,523283,2.1924,0.0710567,996775,2065.21,545183,69.2935,288268,1.5114,2881.34,745.142,0.215005,2.32328,2.35093,280061
2.6,315.355,523138,2.19186,0.0730219,996626,2121.12,545197,73.0304,288353,1.51259,3078.88,805.421,0.226614,2.60405,2.39872,288652
2.7,334.548,523033,2.19171,0.0752292,996476,2174.55,545207,76.8112,288445,1.51358,3277.48,867.289,0.238151,2.90259,2.44758,297408
2.8,354.791,522958,2.19185,0.0779072,996327,2225.61,545214,80.6378,288545,1.51445,3476.75,930.679,0.249616,3.21888,2.49769,306371
2.9,376.125,522904,2.1922,0.0799259,996177,2274.44,545219,84.5117,288653,1.5153,3676.37,995.527,0.261008,3.55284,2.54904,315542
3,398.593,522866,2.19267,0.0825518,996028,2321.14,545223,88.4345,288769,1.51615,3876.03,1061.77,0.272328,3.90437,2.6015,324905
3.1,422.237,522838,2.19322,0.0848839,995879,2365.81,545225,92.4074,288895,1.51704,4075.45,1129.36,0.283577,4.27334,2.65506,334457
3.2,447.101,522819,2.1938,0.0871257,995729,2408.54,545227,96.4315,289030,1.51797,4274.36,1198.23,0.294755,4.65958,2.70967,344197
3.3,473.226,522805,2.1944,0.0899265,995580,2449.42,545228,100.508,289174,1.51894,4472.54,1268.34,0.305863,5.06291,2.7654,354136
3.4,500.657,522796,2.19499,0.0925482,995430,2488.53,545229,104.638,289327,1.51997,4669.77,1339.63,0.316903,5.48313,2.82234,364293
3.5,529.434,522789,2.19555,0.0949639,995281,2525.95,545230,108.822,289491,1.52104,4865.86,1412.06,0.327874,5.92002,2.88043,374657
3.6,559.598,522784,2.1961,0.0979224,995132,2561.74,545230,113.062,289665,1.52216,5060.62,1485.59,0.338779,6.37334,2.93967,385229
3.7,591.189,522781,2.19661,0.100697,994982,2595.99,545230,117.358,289850,1.52332,5253.91,1560.17,0.349617,6.84283,3.00012,396019
3.8,624.245,522779,2.19709,0.103492,994833,2628.74,545231,121.713,290046,1.52452,5445.56,1635.76,0.36039,7.32822,3.06174,407020
3.9,658.804,522777,2.19755,0.10637,994683,2660.07,545231,126.125,290253,1.52577,5635.47,1712.33,0.371099,7.82924,3.12452,418231
4,694.896,522776,2.19797,0.109253,994534,2690.03,545231,130.597,290472,1.52706,5823.53,1789.85,0.381744,8.34557,3.18849,429656
4.1,732.56,522775,2.19837,0.112236,994384,2718.69,545231,135.13,290702,1.52838,6009.6,1868.26,0.392325,8.87694,3.2536,441289
4.2,771.823,522775,2.19874,0.115279,994235,2746.1,545231,139.724,290944,1.52975,6193.6,1947.55,0.402845,9.42305,3.31986,453129
4.3,812.712,522774,2.19908,0.118327,994085,2772.3,545231,144.381,291199,1.53116,6375.48,2027.68,0.413304,9.98356,3.38727,465176
4.4,855.263,522774,2.1994,0.121424,993936,2797.37,545231,149.1,291467,1.53262,6555.09,2108.62,0.423701,10.5582,3.4558,477425
4.5,899.48,522774,2.1997,0.124511,993786,2821.33,545231,153.884,291747,1.53412,6732.46,2190.34,0.43404,11.1466,3.52541,489869
4.6,945.394,522773,2.19998,0.127592,993637,2844.25,545231,158.733,292041,1.53567,6907.47,2272.82,0.444319,11.7485,3.59607,502502
4.7,993.021,522773,2.20024,0.1307,993487,2866.16,545231,163.647,292348,1.53727,7080.09,2356.03,0.45454,12.3635,3.6678,515328
4.8,1042.36,522772,2.20048,0.133958,993338,2887.1,545231,168.628,292668,1.53892,7250.32,2439.95,0.464704,12.9912,3.74066,528358
4.9,1093.43,522772,2.2007,0.137354,993188,2907.13,545231,173.676,293002,1.54062,7418.09,2524.56,0.474812,13.6315,3.81463,541588
5,1146.22,522772,2.2009,0.140696,993039,2926.27,545231,178.791,293350,1.54238,7583.4,2609.83,0.484864,14.2839,3.88959,554995
5.1,1200.73,522771,2.2011,0.143881,992890,2944.56,545231,183.975,293712,1.5442,7746.25,2695.74,0.494862,14.9481,3.96547,568567
5.2,1256.96,522771,2.20128,0.146924,992740,2962.05,545231,189.229,294088,1.54607,7906.6,2782.27,0.504805,15.6237,4.04225,582302
5.3,1314.87,522771,2.20145,0.150128,992591,2978.76,545231,194.551,294479,1.54801,8064.49,2869.42,0.514696,16.3106,4.11994,596199
5.4,1374.47,522770,2.20161,0.15342,992441,2994.73,545231,199.944,294883,1.55,8219.89,2957.16,0.524535,17.0082,4.19847,610249
5.5,1435.72,522770,2.20176,0.156751,992292,3009.99,545231,205.406,295302,1.55207,8372.82,3045.47,0.534323,17.7163,4.27782,624445
5.6,1498.56,522770,2.20189,0.160007,992143,3024.57,545231,210.94,295735,1.55419,8523.3,3134.34,0.544061,18.4347,4.35791,638776
5.7,1563,522769,2.20202,0.16322,991993,3038.5,545231,216.544,296183,1.55638,8671.32,3223.75,0.55375,19.1628,4.43873,653237
