Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,68.972,999385,5.58308,0.025278,999995,4.92008,511536,17.5943,264257,0.396394,0.210994,0.0425644,0.00115158,5.23344e-06,7.11686,131603
0.2,74.5209,998837,11.4879,0.0585105,999980,20.0508,521819,113.379,274242,1.54902,1.75476,0.356988,0.00906364,8.62864e-05,12.4856,137833
0.3,76.7752,998612,17.4324,0.0885234,999954,45.5786,526012,357.057,281233,3.3626,6.07607,1.24652,0.0298678,0.000446964,17.9862,148807
0.4,75.3999,998564,23.1303,0.107552,999917,81.1729,526875,812.702,286120,5.69967,14.6141,3.02344,0.0686325,0.00143446,23.3466,163361
0.5,70.6878,998557,28.3412,0.114249,999871,126.032,526960,1527.04,289525,8.39863,28.6904,5.98616,0.12908,0.00353174,28.3217,179664
0.6,63.4399,998556,32.9029,0.110551,999816,179.003,526939,2523.28,291887,11.2931,49.4335,10.4031,0.213471,0.00734109,32.7358,195996
0.7,54.7058,998569,36.7408,0.0998287,999753,238.737,526646,3800.39,293511,14.2298,77.7357,16.5024,0.322656,0.0135617,36.4981,211078
0.8,45.5111,998555,39.856,0.0856276,999685,303.841,526893,5336.05,294617,17.0817,114.241,24.4682,0.456253,0.0229641,39.594,224186
0.9,36.6731,998549,42.3022,0.0706238,999611,372.995,526989,7096.16,295361,19.7535,159.361,34.4412,0.612918,0.0363659,42.0643,235069
1,28.7276,998560,44.1632,0.0560879,999533,445.023,526762,9041.32,295851,22.1823,213.299,46.5232,0.790633,0.0546095,43.9817,243754
1.1,21.9458,998558,45.5342,0.0436254,999453,518.927,526772,11130.9,296166,24.334,276.086,60.7821,0.986978,0.0785426,45.4319,250425
1.2,16.3932,998560,46.5087,0.03296,999370,593.893,526728,13328.5,296361,26.1976,347.62,77.2588,1.19936,0.109003,46.5024,255411
1.3,12.0001,998560,47.1718,0.0243738,999286,669.276,526731,15603,296475,27.7794,427.692,95.9718,1.42518,0.146808,47.2728,259000
1.4,8.62298,998560,47.596,0.0177006,999201,744.584,526724,17928.9,296535,29.0974,516.02,116.923,1.66198,0.192742,47.8121,261488
1.5,6.09084,998560,47.8412,0.012613,999116,819.447,526721,20286.3,296559,30.1763,612.271,140.103,1.90749,0.247557,48.1772,263134
1.6,4.23494,998560,47.9538,0.00885074,999030,893.601,526720,22660.6,296559,31.044,716.075,165.491,2.15974,0.311956,48.413,264144
1.7,2.90149,998560,47.9711,0.00611714,998944,966.852,526720,25040.4,296545,31.729,827.049,193.062,2.41695,0.386609,48.555,264690
1.8,1.95802,998560,47.9222,0.0041612,998858,1039.06,526720,27417,296522,32.259,944.8,222.785,2.67758,0.472145,48.6317,264907
1.9,1.30289,998560,47.8266,0.00279088,998772,1110.14,526721,29785.2,296493,32.6593,1068.93,254.628,2.9404,0.569141,48.6618,264890
2,0.855664,998560,47.6989,0.00184834,998686,1180.05,526722,32141.3,296462,32.9524,1199.05,288.554,3.20439,0.678131,48.6596,264710
2.1,0.554255,998560,47.5498,0.001206,998601,1248.75,526723,34482.4,296429,33.1579,1334.77,324.527,3.46868,0.799609,48.6354,264421
2.2,0.353465,998560,47.3868,0.000774255,998516,1316.23,526725,36807,296395,33.2925,1475.72,362.512,3.73258,0.934032,48.5966,264058
2.3,0.221928,998560,47.2148,0.000489685,998431,1382.48,526727,39113.7,296361,33.3702,1621.54,402.47,3.99554,1.08181,48.5479,263647
2.4,0.137356,998560,47.037,0.000305171,998347,1447.51,526729,41402.2,296327,33.4022,1771.89,444.364,4.25714,1.24332,48.4926,263204
2.5,0.0835718,998560,46.8558,0.000187795,998263,1511.32,526731,43671.8,296294,33.3981,1926.42,488.159,4.51703,1.41889,48.433,262742
2.6,0.0501886,998560,46.6728,0.000112929,998179,1573.94,526732,45922.4,296261,33.3653,2084.83,533.817,4.77494,1.60883,48.3705,262267
2.7,0.0296566,998560,46.4888,6.55095e-05,998096,1635.37,526734,48153.9,296229,33.3101,2246.79,581.303,5.03067,1.81341,48.3062,261786
2.8,0.0172898,998560,46.3046,-3.28974e-05,998013,1695.63,526736,50366.2,296198,33.2374,2412.01,630.582,5.28406,2.03288,48.2407,261302
2.9,0.00989825,998560,46.1206,-0.000181075,997930,1754.74,526738,52559.5,296167,33.151,2580.22,681.618,5.53499,2.26742,48.1744,260818
3,0.00555921,998560,45.937,-0.00029128,997847,1812.7,526740,54733.7,296136,33.0541,2751.14,734.378,5.78337,2.51723,48.1075,260335
3.1,0.00306226,998560,45.7538,-0.000196933,997765,1869.55,526742,56888.9,296107,32.9491,2924.51,788.826,6.02915,2.78245,48.0401,259849
3.2,0.00164349,998560,45.5713,-8.26784e-05,997684,1925.29,526744,59025.3,296078,32.8378,3100.08,844.931,6.27227,3.06321,47.9723,259358
3.3,0.000866139,998560,45.3895,-0.000440736,997602,1979.93,526746,61142.8,296049,32.7218,3277.62,902.659,6.5127,3.35961,47.9042,258873
3.4,0.000431286,998560,45.2083,-0.00188673,997521,2033.51,526748,63241.7,296021,32.6023,3456.91,961.977,6.75044,3.67173,47.836,258399
3.5,0.000132898,998560,45.0279,-0.00520964,997441,2086.02,526749,65322.1,295994,32.4802,3637.72,1022.85,6.98547,3.99961,47.768,257946
3.6,-0.000132301,998560,44.8482,-0.0112813,997360,2137.5,526751,67384,295967,32.3561,3819.85,1085.26,7.2178,4.34329,47.7002,257524
3.7,-0.000268769,998560,44.6691,-0.0208183,997280,2187.95,526753,69427.6,295941,32.2307,4003.1,1149.16,7.44742,4.70277,47.6327,257137
3.8,-0.000268136,998560,44.4908,-0.0218763,997200,2237.38,526755,71453,295915,32.1043,4187.3,1214.53,7.67435,5.07806,47.5638,256673
3.9,-0.00026591,998560,44.3132,-0.0214532,997121,2285.82,526757,73460.2,295890,31.9773,4372.25,1281.33,7.8986,5.46913,47.4942,256196
4,-0.000264762,998560,44.1363,-0.0210168,997042,2333.28,526759,75449.4,295865,31.8499,4557.79,1349.54,8.12018,5.87592,47.4246,255721
4.1,-0.000265297,998560,43.9601,-0.0209455,996963,2379.78,526760,77420.7,295841,31.7224,4743.75,1419.12,8.33911,6.2984,47.3548,255251
4.2,-0.000265906,998560,43.7846,-0.0209866,996885,2425.32,526762,79374.2,295817,31.595,4929.99,1490.06,8.55541,6.73646,47.2848,254784
4.3,-0.000266191,998560,43.6098,-0.0210605,996807,2469.92,526764,81309.9,295794,31.4676,5116.35,1562.32,8.76909,7.19004,47.2145,254319
4.4,-0.000265778,998560,43.4357,-0.0211432,996729,2513.6,526766,83228,295771,31.3405,5302.7,1635.87,8.98018,7.65902,47.1441,253856
4.5,-0.000264349,998560,43.2623,-0.0211822,996651,2556.37,526768,85128.5,295749,31.2138,5488.9,1710.68,9.1887,8.14329,47.0735,253394
4.6,-0.000262602,998560,43.0896,-0.0212044,996574,2598.25,526769,87011.7,295727,31.0874,5674.82,1786.73,9.39467,8.64273,47.0027,252934
4.7,-0.000261081,998560,42.9176,-0.0212131,996497,2639.24,526771,88877.5,295706,30.9614,5860.35,1864,9.59811,9.15719,46.9317,252475
4.8,-0.000260096,998560,42.7463,-0.0212127,996421,2679.36,526773,90726.2,295685,30.8358,6045.38,1942.45,9.79903,9.68652,46.8605,252018
4.9,-0.00025977,998560,42.5756,-0.0212077,996345,2718.63,526775,92557.7,295664,30.7107,6229.79,2022.06,9.99747,10.2306,46.7891,251562
5,-0.000260544,998560,42.4057,-0.0212042,996269,2757.05,526777,94372.2,295644,30.5861,6413.48,2102.81,10.1934,10.7891,46.7175,251109
5.1,-0.000261055,998560,42.2364,-0.0211837,996193,2794.64,526778,96169.8,295625,30.462,6596.43,2184.67,10.387,11.362,46.6457,250656
5.2,-0.000262269,998560,42.0678,-0.0211605,996118,2831.41,526780,97950.6,295605,30.3383,6778.49,2267.62,10.5781,11.949,46.5738,250206
5.3,-0.000264462,998560,41.8999,-0.021139,996043,2867.38,526782,99714.7,295587,30.2152,6959.55,2351.64,10.7668,12.55,46.5016,249757
5.4,-0.000267909,998560,41.7326,-0.0211238,995968,2902.55,526783,101462,295568,30.0926,7139.51,2436.68,10.9531,13.1648,46.4293,249310
5.5,-0.000272659,998560,41.566,-0.0211148,995894,2936.95,526785,103193,295550,29.9705,7318.28,2522.74,11.137,13.7933,46.3568,248865
5.6,-0.000277769,998560,41.4001,-0.0210928,995820,2970.57,526787,104908,295533,29.8489,7495.95,2609.81,11.3187,14.4349,46.2842,248421
5.7,-0.000284076,998560,41.2348,-0.0210733,995746,3003.43,526789,106606,295516,29.7279,7672.31,2697.83,11.498,15.0898,46.2114,247979
5.8,-0.000291712,998560,41.0702,-0.021058,995673,3035.55,526790,108288,295499,29.6074,7847.28,2786.81,11.675,15.7576,46.1384,247538
5.9,-0.000300804,998560,40.9062,-0.0210484,995600,3066.94,526792,109954,295482,29.4874,8020.78,2876.7,11.8497,16.4381,46.0652,247099
6,-0.000310978,998560,40.7429,-0.0210421,995527,3097.6,526794,111604,295466,29.368,8192.78,2967.5,12.0221,17.1312,45.9919,246662
6.1,-0.000321233,998560,40.5803,-0.0210317,995454,3127.55,526795,113238,295451,29.2491,8363.34,3059.18,12.1924,17.8364,45.9184,246227
6.2,-0.000332256,998560,40.4183,-0.0210233,995382,3156.8,526797,114856,295435,29.1307,8532.31,3151.73,12.3604,18.5536,45.8448,245793
6.3,-0.000344001,998560,40.257,-0.0210171,995310,3185.35,526799,116459,295420,29.0128,8699.61,3245.11,12.5262,19.2826,45.771,245361
6.4,-0.000356424,998560,40.0962,-0.0210134,995238,3213.23,526800,118046,295406,28.8955,8865.19,3339.31,12.6898,20.0232,45.6971,244930
6.5,-0.000368907,998560,39.9362,-0.0210107,995167,3240.45,526802,119617,295392,28.7786,9029.06,3434.31,12.8513,20.7751,45.623,244501
6.6,-0.000380828,998560,39.7768,-0.0210076,995096,3266.99,526804,121173,295378,28.6623,9191.24,3530.09,13.0107,21.5379,45.5487,244074
6.7,-0.000392462,998560,39.618,-0.0210054,995025,3292.89,526805,122713,295364,28.5465,9351.62,3626.64,13.1679,22.3114,45.4743,243648
6.8,-0.000403633,998560,39.4598,-0.0210038,994955,3318.16,526807,124239,295351,28.4311,9510.16,3723.92,13.323,23.0955,45.3998,243224
6.9,-0.000414164,998560,39.3023,-0.0210027,994884,3342.79,526809,125749,295338,28.3163,9666.81,3821.92,13.4761,23.8899,45.3251,242801
7,-0.000423704,998560,39.1454,-0.021002,994815,3366.81,526810,127244,295325,28.2019,9821.61,3920.63,13.6271,24.6942,45.2503,242380
7.1,-0.000432015,998560,38.9891,-0.0210018,994745,3390.21,526812,128724,295313,28.0881,9974.54,4020.03,13.776,25.5082,45.1753,241961
7.2,-0.000438966,998560,38.8335,-0.0210017,994676,3413.01,526813,130189,295301,27.9747,10125.5,4120.09,13.9229,26.3318,45.1003,241543
7.3,-0.000444353,998560,38.6785,-0.0210017,994606,3435.23,526815,131640,295289,27.8618,10274.6,4220.8,14.0678,27.1645,45.025,241127
7.4,-0.000447969,998560,38.5241,-0.0210016,994538,3456.86,526817,133076,295278,27.7494,10421.6,4322.15,14.2108,28.0062,44.9497,240712
7.5,-0.000450258,998560,38.3703,-0.0210019,994469,3477.92,526818,134497,295267,27.6375,10566.8,4424.11,14.3517,28.8566,44.8742,240299
7.6,-0.000450979,998560,38.2171,-0.0210025,994401,3498.42,526820,135904,295256,27.526,10709.9,4526.67,14.4907,29.7154,44.7986,239887
7.7,-0.000449874,998560,38.0645,-0.021003,994333,3518.36,526821,137296,295246,27.4151,10851,4629.82,14.6278,30.5825,44.7228,239477
7.8,-0.000446823,998560,37.9126,-0.0210036,994265,3537.76,526823,138674,295235,27.3046,10990.1,4733.53,14.763,31.4574,44.647,239068
7.9,-0.000441704,998560,37.7612,-0.0210042,994198,3556.62,526824,140038,295225,27.1946,11127.2,4837.79,14.8962,32.34,44.571,238661
8,-0.000435877,998560,37.6105,-0.021005,994131,3574.94,526826,141388,295216,27.085,11262.3,4942.59,15.0276,33.23,44.4949,238256
8.1,-0.000428729,998560,37.4604,-0.0210058,994064,3592.75,526828,142723,295206,26.9759,11395.3,5047.9,15.1571,34.1272,44.4186,237852
8.2,-0.000420207,998560,37.3108,-0.0210067,993997,3610.05,526829,144045,295197,26.8673,11526.3,5153.73,15.2848,35.0312,44.3423,237449
