Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,65.6153,883506,4.52501,0.146664,999998,2.39113,492135,9.63603,295340,0.372491,0.116004,0.0234033,0.00110149,2.89806e-06,1.47623,140220
0.2,69.789,734413,7.42454,0.2317,999991,8.39286,482052,45.0273,327069,1.31816,0.914675,0.186155,0.00812394,4.60267e-05,2.37785,169224
0.3,73.7262,602370,8.91171,0.248024,999983,16.3626,473111,102.22,349275,2.5231,2.93807,0.603448,0.0246467,0.000226006,2.86075,204482
0.4,77.6317,504133,9.40153,0.236866,999974,25.0408,466454,170.24,364821,3.71902,6.48083,1.34393,0.0516204,0.000680708,3.04269,239058
0.5,81.6673,437023,9.29464,0.217608,999964,33.6224,461906,239.836,375708,4.74298,11.6139,2.43273,0.08811,0.00156471,3.0419,270690
0.6,85.9447,392719,8.88867,0.198237,999955,41.6762,458905,305.716,383336,5.52862,18.2574,3.86478,0.132206,0.00303054,2.94757,298977
0.7,90.5353,363713,8.37346,0.181379,999946,49.0234,456944,365.786,388684,6.07393,26.2527,5.61834,0.181748,0.00521712,2.81723,324299
0.8,95.4821,344599,7.85801,0.167778,999938,55.6362,455655,419.825,392439,6.41093,35.412,7.66464,0.234737,0.00824486,2.68416,347062
0.9,100.81,331824,7.39747,0.157289,999931,61.5667,454796,468.49,395081,6.58445,45.5497,9.974,0.289534,0.0122145,2.56556,367834
1,106.535,323146,7.01364,0.149826,999923,66.9023,454215,512.749,396946,6.63985,56.4974,12.519,0.344909,0.0172085,2.46849,387093
1.1,112.665,317171,6.70862,0.144501,999916,71.7397,453817,553.589,398268,6.61684,68.1102,15.2757,0.40001,0.0232928,2.39398,405200
1.2,119.207,313001,6.47549,0.141536,999910,76.1689,453540,591.857,399211,6.54659,80.268,18.2244,0.454303,0.03052,2.34027,422487
1.3,126.169,310057,6.30303,0.14073,999903,80.2675,453346,628.252,399890,6.45214,92.8728,21.3488,0.50749,0.0389314,2.30435,439307
1.4,133.56,307961,6.17899,0.140928,999897,84.0995,453208,663.32,400387,6.34949,105.845,24.636,0.559442,0.0485591,2.28272,455858
1.5,141.39,306460,6.09185,0.141549,999891,87.7148,453110,697.474,400756,6.24885,119.121,28.0753,0.610145,0.0594279,2.27204,472252
1.6,149.671,305380,6.03196,0.143212,999885,91.1514,453040,731.016,401039,6.15615,132.649,31.6584,0.659654,0.0715569,2.26945,488536
1.7,158.419,304601,5.99161,0.146318,999879,94.4378,452990,764.163,401262,6.07428,146.384,35.3781,0.708059,0.0849599,2.27281,504901
1.8,167.651,304039,5.96489,0.149208,999873,97.5945,452954,797.068,401444,6.00416,160.292,39.2286,0.755469,0.099647,2.28044,521448
1.9,177.387,303633,5.94748,0.152369,999867,100.637,452928,829.838,401601,5.94548,174.341,43.2047,0.80199,0.115625,2.29101,538150
2,187.646,303339,5.93634,0.156065,999861,103.575,452909,862.545,401740,5.89727,188.504,47.302,0.847724,0.132897,2.30364,555033
