Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,200000
0.1,65.5514,932004,0.758103,0.00765466,999999,0.58652,456448,0.382909,284224,0.0586591,0.0271594,0.00547913,0.000171523,6.76336e-07,1.56224,200055
0.2,70.076,873702,1.41769,0.0160823,999998,2.22117,419105,1.4692,308172,0.22155,0.221684,0.0451125,0.00131786,1.10861e-05,1.78844,200240
0.3,74.5759,826077,1.98251,0.0242691,999995,4.7237,388599,3.15051,324936,0.462693,0.747603,0.153449,0.00422764,5.60723e-05,1.9832,200553
0.4,79.0605,788500,2.45996,0.0321103,999992,7.92845,364529,5.32028,336675,0.754399,1.74549,0.361424,0.00944519,0.000175699,2.14898,200989
0.5,83.5437,759687,2.85942,0.0395263,999988,11.688,346073,7.88758,344897,1.07218,3.32474,0.694612,0.0172829,0.000422213,2.28893,201542
0.6,88.0424,738116,3.19089,0.0464846,999983,15.8738,332256,10.7793,350670,1.3964,5.56446,1.17316,0.0278656,0.000856572,2.4064,202202
0.7,92.5749,722273,3.46416,0.0529894,999978,20.3771,322107,13.939,354725,1.71283,8.51477,1.81189,0.0411622,0.00154612,2.50468,202963
0.8,97.16,710813,3.68824,0.0590671,999972,25.1072,314766,17.3227,357571,2.01195,12.2032,2.62139,0.0570391,0.00256157,2.58678,203815
0.9,101.816,702632,3.87114,0.0647573,999967,29.9885,309525,20.8944,359577,2.28783,16.6396,3.60882,0.0753028,0.00397468,2.65538,204752
1,106.562,696852,4.01977,0.0701053,999961,34.9596,305823,24.6246,360995,2.53747,21.8195,4.77847,0.0957198,0.0058571,2.7128,205767
1.1,111.413,692804,4.14009,0.0751586,999954,39.9706,303230,28.4882,361998,2.75997,27.7274,6.1324,0.11804,0.00827908,2.76103,206853
1.2,116.387,689988,4.23709,0.0799637,999948,44.9815,301426,32.4634,362711,2.95587,34.3404,7.67102,0.142016,0.0113084,2.80174,208006
1.3,121.499,688042,4.31497,0.0845656,999941,49.9605,300179,36.5313,363222,3.12653,41.6299,9.39344,0.167411,0.0150096,2.83633,209222
1.4,126.763,686706,4.37722,0.0890051,999935,54.8826,299323,40.6755,363591,3.27386,49.5634,11.2978,0.194005,0.0194438,2.86597,210495
1.5,132.194,685789,4.42678,0.09332,999928,59.7281,298736,44.882,363865,3.40002,58.1057,13.3813,0.221598,0.0246684,2.89165,211824
1.6,137.805,685159,4.46611,0.0975436,999921,64.4823,298332,49.1392,364071,3.50731,67.2196,15.6407,0.250008,0.0307365,2.91417,213205
1.7,143.608,684719,4.49724,0.101709,999914,69.1341,298050,53.4371,364233,3.59795,76.8677,18.0723,0.279077,0.0376975,2.93422,214636
1.8,149.615,684421,4.52175,0.105842,999907,73.6763,297859,57.7676,364360,3.67422,87.0112,20.6721,0.308664,0.0455964,2.95233,216116
1.9,155.84,684220,4.541,0.109966,999900,78.1036,297730,62.1241,364464,3.73811,97.6129,23.4358,0.33865,0.0544742,2.96895,217643
2,162.292,684082,4.5561,0.114107,999893,82.4117,297642,66.5004,364555,3.79139,108.637,26.3593,0.368931,0.0643681,2.98446,219216
2.1,168.983,684008,4.56776,0.118287,999886,86.6,297594,70.8926,364635,3.83574,120.046,29.4381,0.399424,0.075311,2.99909,220834
2.2,175.924,683940,4.5772,0.122495,999880,90.6671,297551,75.2976,364711,3.87245,131.807,32.668,0.43005,0.0873326,3.01325,222497
2.3,183.128,683868,4.58518,0.126719,999872,94.6153,297505,79.7143,364782,3.9028,143.884,36.0441,0.460754,0.100458,3.0272,224204
2.4,190.604,683814,4.59155,0.131055,999865,98.4452,297470,84.1398,364851,3.92789,156.245,39.5623,0.491485,0.11471,3.04089,225955
2.5,198.36,683820,4.59574,0.13563,999858,102.158,297474,88.5717,364919,3.94871,168.86,43.2183,0.522201,0.130108,3.05414,227753
2.6,206.408,683877,4.59831,0.140354,999851,105.757,297511,93.009,364985,3.96601,181.7,47.0079,0.552869,0.146666,3.06714,229595
2.7,214.764,683910,4.60105,0.144883,999844,109.245,297532,97.4515,365053,3.98026,194.738,50.9272,0.583459,0.164398,3.08046,231480
2.8,223.44,683895,4.60472,0.149136,999837,112.622,297523,101.899,365123,3.99195,207.948,54.9723,0.61395,0.183315,3.09435,233406
2.9,232.445,683863,4.60841,0.153889,999830,115.895,297502,106.351,365196,4.00179,221.304,59.1393,0.644321,0.203424,3.10854,235374
3,241.79,683827,4.61165,0.159158,999823,119.065,297479,110.809,365273,4.01023,234.785,63.4245,0.674559,0.224729,3.12288,237386
3.1,251.482,683828,4.61336,0.164574,999816,122.137,297480,115.271,365352,4.01764,248.366,67.8242,0.704653,0.247235,3.137,239447
3.2,261.541,683805,4.61576,0.169715,999809,125.112,297466,119.74,365435,4.02405,262.029,72.3349,0.734597,0.270941,3.15164,241553
3.3,271.983,683734,4.61986,0.174309,999802,127.995,297420,124.213,365520,4.02954,275.752,76.9532,0.764384,0.295847,3.16713,243700
3.4,282.807,683726,4.62154,0.180143,999795,130.788,297415,128.693,365608,4.03466,289.52,81.6759,0.794009,0.321948,3.18211,245888
3.5,294.027,683787,4.62047,0.186457,999788,133.492,297454,133.177,365700,4.03931,303.313,86.4998,0.82347,0.349241,3.19644,248128
3.6,305.669,683814,4.62126,0.191059,999781,136.107,297472,137.663,365796,4.04306,317.117,91.4217,0.852762,0.377719,3.21167,250409
3.7,317.747,683810,4.6232,0.197349,999774,138.638,297469,142.154,365896,4.04634,330.915,96.4386,0.881879,0.407374,3.22756,252725
3.8,330.263,683843,4.62324,0.20284,999767,141.089,297491,146.651,365999,4.04953,344.694,101.548,0.910822,0.438196,3.2431,255092
3.9,343.244,683854,4.62446,0.209724,999760,143.461,297498,151.153,366106,4.05228,358.441,106.746,0.939589,0.470174,3.25931,257498
4,356.701,683857,4.6258,0.215619,999753,145.757,297500,155.66,366218,4.05497,372.142,112.03,0.968178,0.503297,3.27581,259942
4.1,370.648,683866,4.62666,0.22215,999745,147.98,297506,160.173,366333,4.05757,385.788,117.399,0.996591,0.537552,3.29246,262435
4.2,385.104,683872,4.62761,0.228299,999738,150.133,297510,164.692,366454,4.06008,399.367,122.849,1.02483,0.572924,3.30938,264963
4.3,400.084,683876,4.6286,0.235086,999731,152.216,297512,169.217,366578,4.06252,412.87,128.378,1.05289,0.609399,3.32661,267537
4.4,415.606,683878,4.62957,0.241981,999724,154.233,297514,173.748,366708,4.06492,426.287,133.983,1.08078,0.646961,3.34411,270154
4.5,431.687,683880,4.6305,0.249071,999717,156.186,297515,178.285,366842,4.0673,439.612,139.663,1.10849,0.685594,3.36187,272811
4.6,448.346,683880,4.6314,0.256255,999710,158.077,297516,182.83,366981,4.06967,452.835,145.415,1.13603,0.725279,3.37986,275507
4.7,465.601,683881,4.63226,0.263505,999703,159.908,297516,187.381,367126,4.07203,465.951,151.236,1.1634,0.766,3.3981,278242
4.8,483.471,683881,4.63308,0.270936,999696,161.68,297516,191.939,367276,4.0744,478.954,157.126,1.19059,0.807738,3.41656,281014
4.9,501.977,683881,4.63386,0.278795,999689,163.395,297517,196.503,367432,4.07678,491.837,163.082,1.21762,0.850475,3.43526,283823
5,521.137,683881,4.63461,0.286709,999682,165.056,297517,201.075,367593,4.07916,504.594,169.102,1.24448,0.89419,3.45418,286669
5.1,540.972,683880,4.63532,0.294747,999675,166.664,297517,205.654,367760,4.08157,517.222,175.184,1.27118,0.938867,3.47332,289550
5.2,561.505,683880,4.636,0.302997,999668,168.22,297517,210.241,367934,4.084,529.716,181.326,1.29771,0.984483,3.49268,292466
5.3,582.756,683880,4.63665,0.311428,999660,169.727,297517,214.834,368114,4.08646,542.071,187.527,1.32407,1.03102,3.51224,295415
5.4,604.748,683879,4.63727,0.320025,999653,171.186,297517,219.435,368300,4.08895,554.286,193.785,1.35028,1.07846,3.532,298395
5.5,627.505,683879,4.63787,0.328833,999646,172.598,297517,224.044,368493,4.09147,566.358,200.099,1.37632,1.12677,3.55195,301406
5.6,651.051,683879,4.63843,0.337866,999639,173.965,297517,228.66,368693,4.09404,578.284,206.467,1.4022,1.17594,3.57209,304446
5.7,675.407,683878,4.63898,0.347122,999632,175.288,297517,233.283,368901,4.09665,590.061,212.887,1.42792,1.22596,3.5924,307515
5.8,700.601,683878,4.6395,0.356594,999625,176.568,297517,237.914,369116,4.0993,601.688,219.359,1.45349,1.27678,3.61287,310610
5.9,726.657,683878,4.64,0.366286,999618,177.808,297517,242.552,369338,4.10201,613.164,225.88,1.4789,1.32841,3.6335,313730
6,753.599,683877,4.64048,0.376201,999611,179.008,297517,247.198,369569,4.10477,624.486,232.449,1.50416,1.38081,3.65428,316874
6.1,781.458,683877,4.64093,0.386364,999604,180.17,297517,251.852,369808,4.1076,635.655,239.066,1.52927,1.43397,3.6752,320040
6.2,810.258,683876,4.64137,0.396777,999597,181.295,297517,256.513,370055,4.11048,646.67,245.729,1.55423,1.48786,3.69625,323227
6.3,840.025,683876,4.64178,0.407448,999589,182.383,297517,261.181,370311,4.11343,657.529,252.437,1.57903,1.54247,3.71742,326434
6.4,870.794,683875,4.64218,0.418353,999582,183.437,297517,265.856,370577,4.11645,668.234,259.189,1.60369,1.59777,3.7387,329658
6.5,902.589,683875,4.64258,0.429503,999575,184.457,297517,270.538,370851,4.11955,678.785,265.983,1.62821,1.65374,3.76007,332897
6.6,935.438,683874,4.64297,0.440902,999568,185.444,297517,275.228,371135,4.12273,689.181,272.819,1.65258,1.71036,3.78154,336150
6.7,969.379,683874,4.64329,0.452637,999561,186.4,297517,279.924,371430,4.12598,699.424,279.695,1.67681,1.76762,3.80306,339415
6.8,1004.44,683873,4.64355,0.464698,999554,187.325,297517,284.627,371734,4.12931,709.514,286.612,1.7009,1.8255,3.82464,342692
6.9,1040.65,683873,4.64376,0.477091,999547,188.22,297517,289.336,372049,4.13272,719.451,293.567,1.72485,1.88397,3.84625,345978
7,1078.04,683872,4.64423,0.489651,999540,189.087,297517,294.051,372376,4.13627,729.239,300.561,1.74866,1.94301,3.86798,349267
7.1,1116.66,683871,4.64491,0.502421,999533,189.926,297517,298.773,372713,4.13997,738.878,307.592,1.77234,2.00261,3.88979,352558
7.2,1156.52,683871,4.64576,0.515424,999526,190.739,297517,303.501,373062,4.14381,748.368,314.659,1.79588,2.06274,3.91165,355848
7.3,1197.68,683870,4.64612,0.528987,999519,191.526,297517,308.235,373424,4.14771,757.714,321.763,1.8193,2.1234,3.93337,359141
7.4,1240.15,683870,4.64614,0.543047,999511,192.287,297517,312.973,373797,4.1517,766.914,328.901,1.84258,2.18456,3.95497,362434
7.5,1283.99,683869,4.64583,0.557594,999504,193.024,297517,317.716,374184,4.15577,775.972,336.075,1.86574,2.2462,3.97645,365724
7.6,1329.22,683868,4.64583,0.572314,999497,193.737,297517,322.463,374584,4.15995,784.891,343.282,1.88877,2.3083,3.99797,369007
7.7,1375.89,683867,4.64592,0.58731,999490,194.427,297517,327.213,374997,4.16421,793.67,350.523,1.91168,2.37086,4.01948,372282
7.8,1424.03,683867,4.64611,0.60261,999483,195.094,297517,331.968,375425,4.16858,802.313,357.796,1.93447,2.43384,4.04096,375547
7.9,1473.69,683866,4.64622,0.61841,999476,195.74,297517,336.725,375867,4.17308,810.823,365.103,1.95713,2.49725,4.06232,378799
8,1524.91,683865,4.64633,0.634653,999469,196.365,297517,341.484,376325,4.17772,819.202,372.441,1.97968,2.56105,4.0836,382037
8.1,1577.72,683864,4.64647,0.651334,999462,196.969,297517,346.246,376798,4.18249,827.451,379.81,2.00211,2.62523,4.10477,385258
8.2,1632.18,683864,4.6467,0.66839,999455,197.555,297517,351.009,377286,4.18744,835.574,387.211,2.02443,2.68978,4.12584,388458
8.3,1688.32,683863,4.64701,0.685859,999448,198.121,297517,355.774,377792,4.19257,843.573,394.643,2.04663,2.75469,4.14678,391635
8.4,1746.18,683862,4.64732,0.703788,999440,198.67,297517,360.538,378314,4.19788,851.451,402.105,2.06873,2.81993,4.16756,394787
8.5,1805.83,683861,4.6474,0.722279,999433,199.2,297517,365.303,378855,4.20333,859.211,409.597,2.09072,2.8855,4.1881,397914
8.6,1867.29,683860,4.64729,0.741326,999426,199.713,297517,370.066,379413,4.20893,866.856,417.12,2.1126,2.95138,4.20839,401012
8.7,1930.61,683859,4.64726,0.760883,999419,200.21,297517,374.829,379990,4.21475,874.388,424.672,2.13438,3.01755,4.22851,404079
8.8,1995.86,683858,4.6478,0.780852,999412,200.692,297517,379.589,380587,4.22084,881.812,432.254,2.15606,3.08401,4.24859,407112
8.9,2063.07,683857,4.64883,0.801271,999405,201.159,297517,384.348,381203,4.22722,889.129,439.865,2.17764,3.15074,4.26858,410107
9,2132.29,683856,4.64961,0.822282,999398,201.611,297517,389.103,381840,4.2338,896.343,447.505,2.19912,3.21772,4.28825,413065
9.1,2203.57,683855,4.6486,0.844173,999391,202.047,297517,393.853,382499,4.24044,903.456,455.175,2.22052,3.28496,4.30708,415984
9.2,2276.97,683854,4.64742,0.866653,999384,202.469,297517,398.597,383179,4.2472,910.473,462.874,2.24182,3.35242,4.32557,418862
9.3,2352.54,683853,4.64778,0.889416,999376,202.877,297517,403.334,383882,4.25415,917.397,470.602,2.26303,3.42011,4.34429,421697
9.4,2430.33,683852,4.64827,0.912859,999369,203.272,297517,408.064,384609,4.26133,924.23,478.359,2.28416,3.48802,4.36275,424486
9.5,2510.4,683851,4.64847,0.937148,999362,203.654,297517,412.787,385360,4.26879,930.976,486.146,2.3052,3.55613,4.38082,427228
