Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,65.7189,933395,0.488311,0.00398305,1e+06,0.264157,460099,0.206125,275618,0.0365401,0.0122817,0.00247875,0.00011012,3.20682e-07,1.43896,130255
0.2,70.5849,876762,0.94293,0.00871233,999999,1.01775,426171,0.802096,293554,0.139028,0.0977996,0.0199087,0.000832476,4.98411e-06,1.61729,131191
0.3,75.5943,830121,1.36394,0.01367,999998,2.20422,398229,1.75545,306092,0.294313,0.328245,0.0673854,0.00267238,2.47842e-05,1.79003,132843
0.4,80.7447,792594,1.75234,0.0186732,999996,3.76924,375747,3.03828,314860,0.488383,0.769296,0.159301,0.00601888,7.75585e-05,1.95766,135222
0.5,86.0353,763056,2.10967,0.0236128,999994,5.66219,358051,4.62942,321007,0.708507,1.47681,0.30849,0.011145,0.000186859,2.12066,138318
0.6,91.466,740290,2.43781,0.0283991,999991,7.83672,344411,6.5146,325326,0.943941,2.49558,0.525928,0.0182176,0.000381076,2.2795,142108
0.7,97.0381,723083,2.73871,0.0329626,999989,10.2505,334103,8.68521,328367,1.18612,3.86067,0.82092,0.0273187,0.000692382,2.43457,146555
0.8,102.753,710317,3.01433,0.0372579,999985,12.8651,326454,11.1366,330519,1.42844,5.59825,1.2012,0.0384647,0.00115576,2.58616,151615
0.9,108.615,701009,3.26645,0.0412579,999982,15.6458,320878,13.8669,332043,1.66612,7.72618,1.67302,0.051619,0.00180829,2.73445,157238
1,114.627,694337,3.49669,0.044955,999978,18.5614,316880,16.8747,333122,1.8958,10.2558,2.2414,0.0667092,0.00268831,2.87953,163372
1.1,120.793,689633,3.70648,0.0483486,999974,21.5836,314061,20.1586,333890,2.11519,13.1929,2.91036,0.0836412,0.0038346,3.02143,169963
1.2,127.12,686368,3.89707,0.0514532,999970,24.6867,312105,23.7154,334444,2.32272,16.539,3.683,0.102307,0.00528594,3.16015,176963
1.3,133.614,684135,4.06962,0.0542617,999966,27.8473,310766,27.5407,334848,2.51744,20.2907,4.56153,0.122587,0.00708081,3.29561,184321
1.4,140.282,682623,4.2252,0.0568796,999961,31.0442,309860,31.6283,335149,2.69886,24.4415,5.54742,0.144358,0.00925687,3.42786,191998
1.5,147.135,681618,4.36477,0.0593128,999957,34.2585,309258,35.9703,335377,2.86691,28.9818,6.64151,0.167492,0.0118509,3.55687,199957
1.6,154.181,680970,4.48929,0.0614837,999952,37.4729,308869,40.5575,335551,3.02175,33.8993,7.84403,0.191862,0.0148983,3.68267,208163
1.7,161.431,680550,4.59982,0.0632829,999947,40.672,308617,45.3803,335689,3.16358,39.1793,9.1546,0.217348,0.0184327,3.80518,216565
1.8,168.897,680291,4.69729,0.0650293,999942,43.8419,308461,50.4268,335803,3.29285,44.8059,10.5725,0.24383,0.0224861,3.92447,225138
1.9,176.593,680140,4.78266,0.0667547,999937,46.9708,308371,55.685,335900,3.41007,50.7613,12.0966,0.271194,0.0270885,4.04068,233858
2,184.53,680052,4.85698,0.0682469,999932,50.0479,308318,61.1433,335988,3.51578,57.0263,13.7251,0.299334,0.0322679,4.15402,242705
2.1,192.725,680000,4.92127,0.0697912,999926,53.0644,308287,66.79,336069,3.61065,63.5812,15.4564,0.328146,0.0380502,4.26479,251673
2.2,201.191,679968,4.97649,0.0711076,999921,56.0127,308268,72.614,336147,3.69534,70.4055,17.2881,0.357535,0.0444589,4.37308,260734
2.3,209.943,679949,5.02363,0.0722044,999916,58.8868,308256,78.6046,336222,3.77059,77.4781,19.218,0.387411,0.0515155,4.4791,269870
2.4,218.998,679939,5.06361,0.0735374,999910,61.6817,308250,84.7515,336298,3.83714,84.7781,21.2434,0.417694,0.0592393,4.58313,279076
2.5,228.372,679932,5.09731,0.0745479,999905,64.3937,308246,91.0457,336373,3.8957,92.2845,23.3617,0.448306,0.0676471,4.68526,288327
2.6,238.08,679929,5.12554,0.0756252,999899,67.0203,308244,97.4786,336450,3.94702,99.9764,25.5701,0.479181,0.0767537,4.78584,297629
2.7,248.139,679929,5.14908,0.0771303,999893,69.5598,308243,104.043,336528,3.99179,107.834,27.8657,0.510256,0.0865717,4.88533,307000
2.8,258.566,679928,5.16863,0.0786447,999888,72.0114,308243,110.732,336608,4.03071,115.836,30.2455,0.541477,0.0971116,4.98425,316465
2.9,269.377,679928,5.1848,0.0796422,999882,74.375,308243,117.541,336692,4.06441,123.964,32.7068,0.572794,0.108382,5.08243,325982
3,280.59,679928,5.19817,0.0804662,999876,76.6511,308243,124.466,336777,4.09351,132.2,35.2466,0.604165,0.120389,5.17997,335541
3.1,292.221,679928,5.20922,0.0819882,999871,78.8409,308243,131.501,336866,4.11858,140.526,37.862,0.635551,0.133138,5.27711,345149
3.2,304.289,679928,5.21837,0.0832232,999865,80.9458,308243,138.645,336958,4.14015,148.924,40.5501,0.66692,0.146631,5.37408,354812
3.3,316.809,679928,5.22597,0.0845585,999860,82.9679,308243,145.893,337054,4.1587,157.379,43.3083,0.698243,0.16087,5.47107,364537
3.4,329.8,679928,5.23233,0.0858848,999854,84.9091,308243,153.245,337153,4.17466,165.876,46.1338,0.729498,0.175855,5.56822,374326
3.5,343.279,679928,5.2377,0.0870376,999848,86.7719,308243,160.699,337256,4.18841,174.4,49.024,0.760662,0.191583,5.6655,384165
3.6,357.264,679928,5.24228,0.0886467,999842,88.5587,308243,168.253,337363,4.2003,182.938,51.9764,0.791721,0.208051,5.76321,394081
3.7,371.775,679928,5.24624,0.0899271,999837,90.2721,308243,175.906,337474,4.21062,191.477,54.9885,0.822659,0.225256,5.86113,404041
3.8,386.829,679928,5.2497,0.0908688,999831,91.9147,308243,183.659,337590,4.21963,200.006,58.0579,0.853465,0.243191,5.95918,414034
3.9,402.445,679928,5.25276,0.0931633,999825,93.4892,308243,191.509,337710,4.22757,208.514,61.1825,0.884129,0.26185,6.05804,424128
4,418.643,679928,5.25552,0.0947108,999820,94.998,308243,199.458,337834,4.2346,216.991,64.3599,0.914644,0.281225,6.15798,434343
4.1,435.443,679927,5.25802,0.0957923,999814,96.4438,308243,207.506,337964,4.24091,225.428,67.5881,0.945004,0.301308,6.25841,444617
4.2,452.865,679927,5.26033,0.0978776,999808,97.8291,308243,215.653,338098,4.24662,233.816,70.865,0.975204,0.322089,6.35951,454971
4.3,470.93,679927,5.26247,0.099834,999803,99.1563,308243,223.898,338237,4.25184,242.148,74.1889,1.00524,0.343559,6.46175,465448
4.4,489.659,679927,5.26446,0.101364,999797,100.428,308243,232.244,338382,4.25668,250.416,77.5578,1.03511,0.365705,6.56491,476025
4.5,509.075,679927,5.26633,0.103341,999791,101.646,308243,240.689,338532,4.26121,258.615,80.97,1.06482,0.388518,6.66898,486701
