Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,59.4517,561244,42.1651,1.36361,998476,1509.32,456737,17975.8,259073,3.69391,71.0391,14.3388,0.0120594,0.00187491,32.2919,292984
0.2,40.1543,500025,50.6548,0.676068,995743,4170.49,447596,66675.1,265090,9.49165,432.049,88.0944,0.0691636,0.0240753,42.3264,428292
0.3,18.5264,498779,53.356,0.260881,992731,7037.28,446530,129472,268870,14.8129,1153.56,237.714,0.174633,0.0998928,47.389,485960
0.4,5.62295,498768,54.085,0.0703463,989639,9910.23,446265,199408,271079,19.2562,2240.31,466.692,0.321789,0.265376,50.5102,503855
0.5,1.09652,498769,54.1,0.0122736,986539,12717.5,446238,273337,272212,22.8045,3675.97,774.263,0.502501,0.555587,52.9515,506627
0.6,0.134949,498769,53.9227,0.00159196,983455,15437.5,446278,350223,272616,25.5732,5436.38,1157.94,0.709229,1.00325,55.2742,505571
0.7,0.0103126,498769,53.7116,-0.000276613,980393,18067.4,446331,429894,272530,27.7043,7495.46,1614.69,0.935653,1.63833,57.6508,503953
0.8,0.000477749,498769,53.4974,-0.00208089,977351,20608.8,446386,512400,272119,29.3255,9827.53,2141.37,1.17668,2.488,60.1138,502253
0.9,1.11817e-05,498769,53.2839,-0.00278329,974332,23064.1,446441,597834,271495,30.5422,12408,2734.87,1.42825,3.57673,62.6706,500555
1,-3.04539e-06,498769,53.0712,-0.0032599,971333,25435.6,446495,686292,270737,31.4391,15213.8,3392.22,1.68718,4.92641,65.3245,498865
1.1,-1.05386e-05,498769,52.8593,-0.00332485,968356,27725.8,446549,777877,269900,32.0844,18223.1,4110.56,1.95095,6.55657,68.0788,497181
1.2,-2.9116e-05,498769,52.6483,-0.00328325,965400,29936.7,446603,872691,269021,32.5319,21415.8,4887.18,2.2176,8.48444,70.9367,495505
1.3,-4.48697e-05,498769,52.4381,-0.00324841,962465,32070.8,446657,970842,268126,32.8247,24772.9,5719.53,2.48561,10.7252,73.9017,493837
1.4,-4.86965e-05,498769,52.2288,-0.00322241,959551,34130,446710,1.07244e+06,267232,32.9976,28276.8,6605.13,2.75376,13.2921,76.9772,492176
1.5,-4.08288e-05,498769,52.0203,-0.0032059,956657,36116.4,446763,1.17759e+06,266350,33.0784,31910.9,7541.67,3.02111,16.1971,80.1668,490523
1.6,-2.98291e-05,498769,51.8126,-0.00319808,953783,38032.2,446816,1.28641e+06,265490,33.0887,35659.8,8526.91,3.28693,19.4499,83.4742,488877
1.7,-2.86585e-05,498769,51.6058,-0.00319659,950929,39879.3,446869,1.39903e+06,264654,33.0453,39509.3,9558.76,3.5507,23.059,86.9031,487239
1.8,-4.68768e-05,498769,51.3998,-0.00319528,948096,41659.7,446922,1.51555e+06,263846,32.9614,43445.9,10635.2,3.81201,27.0312,90.4574,485609
1.9,-8.94804e-05,498769,51.1946,-0.00319174,945282,43375.1,446974,1.63612e+06,263068,32.8475,47457.3,11754.3,4.07055,31.3722,94.1411,483986
2,-0.000167213,498769,50.9902,-0.00317756,942487,45027.4,447026,1.76084e+06,262317,32.7091,51532.3,12914.2,4.3262,36.0858,97.9582,482370
2.1,-0.000270769,498769,50.7867,-0.00315988,939712,46618.4,447078,1.88986e+06,261597,32.5558,55659.6,14113.3,4.57868,41.1759,101.913,480762
2.2,-0.000409783,498769,50.584,-0.00312869,936957,48149.9,447130,2.02331e+06,260903,32.3864,59829.8,15349.7,4.82811,46.6434,106.009,479161
2.3,-0.000573018,498769,50.382,-0.0030917,934220,49623.4,447182,2.16132e+06,260238,32.21,64032.8,16622,5.07424,52.4905,110.252,477567
2.4,-0.000758951,498769,50.1809,-0.00304648,931503,51040.7,447233,2.30404e+06,259599,32.0253,68260.2,17928.4,5.31717,58.7166,114.646,475980
2.5,-0.000950981,498769,49.9806,-0.00299814,928804,52403.3,447284,2.45162e+06,258986,31.8363,72503.9,19267.5,5.55681,65.3213,119.195,474401
2.6,-0.00113151,498769,49.7811,-0.00295208,926124,53712.9,447335,2.60419e+06,258399,31.6451,76756.4,20638,5.79317,72.3033,123.904,472829
2.7,-0.00128061,498769,49.5824,-0.00291369,923462,54970.8,447386,2.76191e+06,257837,31.4527,81010.8,22038.4,6.02625,79.6603,128.778,471264
2.8,-0.00137359,498769,49.3844,-0.00288928,920819,56178.6,447437,2.92494e+06,257299,31.261,85260.4,23467.4,6.25606,87.3898,133.821,469707
2.9,-0.00138579,498769,49.1873,-0.00288591,918193,57337.8,447488,3.09343e+06,256784,31.0707,89499.2,24923.9,6.48261,95.4882,139.04,468156
3,-0.001306,498769,48.9909,-0.00290595,915586,58449.6,447534,3.26756e+06,256292,30.8826,93721.5,26406.4,6.70594,103.952,144.439,466613
3.1,-0.0011104,498769,48.7953,-0.00295573,912997,59515.5,447576,3.44747e+06,255822,30.6969,97922.1,27913.8,6.92609,112.776,150.023,465076
3.2,-0.000817427,498769,48.6005,-0.00303048,910425,60536.8,447651,3.63336e+06,255373,30.5141,102096,29445.1,7.1431,121.956,155.798,463547
3.3,-0.000424955,498767,48.4065,-0.00313054,907871,61514.7,447778,3.82538e+06,254945,30.334,106239,30999,7.35703,131.487,161.77,462024
3.4,-8.26333e-05,498767,48.2133,-0.00322416,905334,62450.6,447875,4.02372e+06,254535,30.1568,110347,32574.5,7.56791,141.362,167.943,460509
3.5,5.43597e-05,498767,48.0208,-0.003278,902814,63345.6,447871,4.22857e+06,254145,29.9826,114416,34170.7,7.7758,151.575,174.325,459000
3.6,-0.000166584,498769,47.8291,-0.0032799,900312,64201,447806,4.44011e+06,253772,29.8111,118442,35786.5,7.98074,162.121,180.921,457499
3.7,-0.00093869,498770,47.6382,-0.00323414,897826,65017.8,447822,4.65852e+06,253416,29.6426,122423,37420.9,8.18278,172.992,187.736,456004
3.8,-0.00249658,498769,47.448,-0.00311925,895358,65797.2,447914,4.884e+06,253078,29.4768,126355,39073.1,8.38197,184.182,194.778,454516
3.9,-0.00507372,498770,47.2586,-0.0029215,892905,66540.4,447926,5.11676e+06,252755,29.3139,130236,40742.2,8.57834,195.683,202.052,453035
4,-0.00895442,498771,47.07,-0.00262938,890470,67248.3,447855,5.357e+06,252447,29.1537,134064,42427.3,8.77195,207.487,209.566,451560
4.1,-0.0143715,498771,46.8821,-0.00222051,888051,67921.9,447960,5.60493e+06,252155,28.9963,137836,44127.6,8.96283,219.588,217.325,450092
4.2,-0.0216236,498766,46.695,-0.00167913,885648,68562.4,448309,5.86076e+06,251877,28.8414,141550,45842.3,9.15102,231.978,225.337,448631
4.3,-0.0244357,498768,46.5086,-0.00102853,883261,69170.7,448252,6.12472e+06,251613,28.6892,145205,47570.7,9.33657,244.648,233.609,447177
4.4,-0.0245462,498769,46.3229,-0.000747496,880890,69747.7,448238,6.39701e+06,251363,28.5394,148799,49312,9.51951,257.591,242.147,445729
4.5,-0.0245417,498769,46.138,-0.00217938,878535,70294.4,448279,6.67787e+06,251125,28.3921,152330,51065.4,9.69989,270.799,250.959,444288
4.6,-0.0246148,498769,45.9538,-0.00651163,876196,70811.7,448325,6.96753e+06,250900,28.2471,155798,52830.3,9.87775,284.263,260.052,442855
4.7,-0.0246603,498768,45.7704,-0.0135351,873873,71300.4,448401,7.26623e+06,250687,28.1043,159201,54606.1,10.0531,297.976,269.434,441428
4.8,-0.0246552,498768,45.5876,-0.0214883,871565,71761.4,448449,7.57421e+06,250486,27.9637,162538,56392,10.226,311.929,279.112,440008
4.9,-0.024653,498766,45.4057,-0.0269125,869272,72195.5,448616,7.89171e+06,250296,27.8253,165809,58187.5,10.3965,326.114,289.095,438594
5,-0.0246546,498770,45.2244,-0.0246298,866994,72603.6,448439,8.219e+06,250117,27.6889,169013,59991.9,10.5647,340.523,299.39,437185
5.1,-0.0246547,498770,45.0439,-0.00803294,864732,72986.4,448458,8.55631e+06,249949,27.5545,172149,61804.7,10.7304,355.147,310.006,435780
5.2,-0.0246546,498769,44.864,-0.00567931,862484,73344.7,448593,8.90392e+06,249790,27.422,175217,63625.3,10.8939,369.978,320.95,434382
5.3,-0.0246546,498769,44.685,-0.00580747,860253,73677,448639,9.26316e+06,249643,27.2916,178211,65453.8,11.0548,385.026,332.267,432994
5.4,-0.0246546,498769,44.5067,-0.00580747,858036,73987.2,448685,9.63296e+06,249504,27.1629,181137,67288.7,11.2136,400.257,343.92,431611
5.5,-0.0246546,498769,44.329,-0.00580747,855833,74276.3,448730,1.00133e+07,249375,27.0358,183999,69129.5,11.3703,415.66,355.912,430235
5.6,-0.0246546,498769,44.1521,-0.00580747,853644,74544.1,448776,1.04051e+07,249254,26.9104,186792,70975.8,11.5249,431.235,368.267,428864
5.7,-0.0246546,498769,43.9758,-0.00580747,851470,74791,448821,1.08085e+07,249141,26.7866,189517,72827.4,11.6772,446.974,380.995,427500
5.8,-0.0246546,498769,43.8003,-0.00580747,849309,75017.7,448866,1.1224e+07,249037,26.6644,192173,74683.6,11.8275,462.87,394.107,426142
5.9,-0.0246546,498769,43.6254,-0.00580747,847163,75224.6,448911,1.16517e+07,248941,26.5438,194762,76544.3,11.9756,478.918,407.609,424790
6,-0.0246546,498769,43.4512,-0.00580747,845031,75412.5,448956,1.20919e+07,248853,26.4247,197282,78409,12.1217,495.109,421.513,423445
6.1,-0.0246546,498769,43.2778,-0.00580747,842913,75581.7,449000,1.25451e+07,248772,26.307,199734,80277.2,12.2658,511.435,435.828,422106
6.2,-0.0246546,498769,43.105,-0.00580748,840809,75733,449044,1.30114e+07,248698,26.1907,202119,82148.6,12.4078,527.89,450.564,420772
6.3,-0.0246546,498769,42.9329,-0.00580748,838718,75866.8,449089,1.34912e+07,248632,26.0758,204437,84022.7,12.5478,544.465,465.731,419445
6.4,-0.0246546,498769,42.7616,-0.00580748,836641,75983.9,449133,1.39849e+07,248572,25.9622,206689,85899.2,12.6858,561.152,481.341,418124
6.5,-0.0246546,498769,42.5909,-0.00580748,834577,76084.6,449176,1.44928e+07,248519,25.8499,208874,87777.8,12.8219,577.945,497.406,416809
6.6,-0.0246546,498769,42.4208,-0.00580748,832527,76169.6,449220,1.50152e+07,248472,25.7388,210994,89657.9,12.9561,594.835,513.933,415500
