Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,65.6737,887675,3.99854,0.060146,999998,2.04335,454079,2.0664,296173,0.321574,0.0981965,0.0198093,0.000938727,2.43273e-06,1.34043,134011
0.2,69.9475,742898,7.13924,0.113343,999992,7.5638,394887,9.54655,328483,1.20702,0.805983,0.163988,0.0072185,3.99017e-05,2.29709,147136
0.3,73.9004,607807,9.34854,0.142815,999984,15.5554,339652,21.6935,351096,2.4561,2.69608,0.553396,0.0228713,0.000202426,2.98219,166207
0.4,77.651,502607,10.749,0.154174,999974,25.0754,296637,36.3895,366927,3.85015,6.18692,1.28153,0.0500214,0.00062926,3.42815,187937
0.5,81.3183,429135,11.5421,0.155937,999963,35.3783,266596,51.9514,378012,5.21764,11.5145,2.40767,0.0890541,0.00149133,3.69266,210230
0.6,85.0011,381043,11.922,0.15207,999951,45.9407,246932,67.4818,385776,6.45172,18.7615,3.96156,0.139146,0.00297387,3.83264,232059
0.7,88.774,350719,12.0407,0.147365,999939,56.4264,234534,82.6057,391217,7.50136,27.9029,5.9515,0.198807,0.00526329,3.89315,253000
0.8,92.6903,331978,12.0054,0.142496,999927,66.6367,226872,97.2037,395033,8.35429,38.8461,8.37192,0.266296,0.00853854,3.9062,272941
0.9,96.7875,320502,11.8868,0.137725,999915,76.4651,222181,111.265,397714,9.02139,51.4625,11.2092,0.33989,0.0129661,3.89311,291928
1,101.092,313495,11.7299,0.133589,999903,85.8649,219317,124.823,399600,9.52523,65.608,14.4457,0.418026,0.0186974,3.86747,310059
1.1,105.622,309213,11.5621,0.130329,999891,94.8256,217567,137.927,400932,9.89262,81.136,18.0623,0.499373,0.0258686,3.83765,327453
1.2,110.392,306591,11.3995,0.12722,999880,103.358,216495,150.635,401876,10.1503,97.9048,22.0397,0.582843,0.0346002,3.8086,344206
1.3,115.411,304979,11.2508,0.125838,999868,111.485,215837,163,402550,10.3225,115.782,26.3596,0.667578,0.0449982,3.78313,360481
1.4,120.689,303985,11.1203,0.124247,999857,119.234,215431,175.079,403036,10.4302,134.645,31.0048,0.75292,0.0571553,3.76259,376331
1.5,126.233,303369,11.0092,0.123916,999846,126.636,215180,186.919,403391,10.4908,154.383,35.9597,0.838386,0.0711519,3.7475,391875
1.6,132.049,302987,10.9172,0.123766,999835,133.72,215024,198.566,403656,10.5182,174.897,41.2101,0.923627,0.0870573,3.73789,407227
1.7,138.143,302750,10.8428,0.123934,999824,140.512,214928,210.06,403858,10.523,196.097,46.743,1.00841,0.104931,3.73326,422341
1.8,144.523,302602,10.784,0.124433,999814,147.039,214868,221.434,404017,10.5137,217.901,52.5468,1.09257,0.124823,3.73322,437360
1.9,151.195,302510,10.7389,0.125368,999803,153.322,214830,232.719,404147,10.4962,240.237,58.6107,1.17603,0.146776,3.73716,452315
2,158.167,302452,10.7051,0.126549,999792,159.381,214807,243.937,404257,10.4749,263.04,64.9253,1.25873,0.170826,3.74446,467225
2.1,165.445,302417,10.6807,0.128036,999781,165.233,214793,255.108,404355,10.4526,286.25,71.4817,1.34067,0.197,3.75457,482132
2.2,173.039,302395,10.6638,0.129749,999771,170.891,214784,266.249,404445,10.4312,309.815,78.2718,1.42185,0.225322,3.76696,497064
2.3,180.957,302381,10.6529,0.131612,999760,176.369,214779,277.372,404530,10.4121,333.683,85.2879,1.50229,0.255809,3.78119,512047
2.4,189.209,302373,10.6465,0.13365,999749,181.677,214775,288.489,404614,10.396,357.81,92.5229,1.58201,0.288476,3.79685,527101
2.5,197.804,302367,10.6434,0.135713,999739,186.824,214773,299.606,404697,10.3829,382.154,99.9701,1.66104,0.323331,3.8136,542233
