Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,200000
0.1,71.5166,969509,0.815278,0.00665268,999999,0.782598,499263,1.12339,247662,0.0557464,0.0320845,0.00647336,0.000164486,8.08135e-07,2.8536,200045
0.2,83.4406,946529,1.64568,0.0164485,999997,3.12575,498706,4.80369,246048,0.206757,0.252859,0.0514692,0.00123979,1.28266e-05,3.20754,200221
0.3,96.8751,930091,2.47732,0.0291543,999993,7.00384,498306,11.4894,244941,0.431947,0.840837,0.172632,0.00395202,6.37174e-05,3.56433,200570
0.4,111.923,918819,3.2943,0.0450578,999987,12.3631,498029,21.581,244193,0.713487,1.96239,0.406389,0.00885305,0.000198268,3.91783,201138
0.5,128.69,911408,4.07954,0.0642738,999980,19.1201,497844,35.3957,243697,1.03562,3.77021,0.787515,0.01635,0.000476429,4.2614,201972
0.6,147.294,906730,4.81582,0.0867448,999971,27.1602,497725,53.1284,243381,1.38411,6.40002,1.34843,0.0267134,0.000972542,4.58834,203120
0.7,167.87,903892,5.48743,0.112234,999961,36.3393,497651,74.8245,243194,1.74584,9.96765,2.11844,0.0400933,0.00177298,4.89253,204624
0.8,190.579,902231,6.08155,0.14036,999950,46.4902,497605,100.374,243102,2.10881,14.5673,3.12329,0.0565298,0.00297405,5.16896,206519
0.9,215.622,901289,6.58958,0.170651,999938,57.4288,497577,129.517,243080,2.46231,20.2695,4.38454,0.0759644,0.00467963,5.41428,208832
1,243.241,900771,7.00821,0.202609,999924,68.9648,497561,161.87,243113,2.7972,27.1204,5.91929,0.0982535,0.0069986,5.62725,211578
1.1,273.729,900495,7.33964,0.2358,999910,80.9115,497550,196.969,243187,3.10633,35.1424,7.74012,0.123183,0.0100424,5.80884,214764
1.2,307.437,900355,7.591,0.269934,999896,93.0967,497544,234.319,243297,3.38473,44.336,9.8553,0.150489,0.013923,5.962,218386
1.3,344.766,900287,7.77311,0.304906,999881,105.37,497540,273.442,243438,3.62971,54.6829,12.2693,0.179874,0.0187504,6.09118,222435
1.4,386.172,900256,7.89887,0.340807,999866,117.608,497538,313.921,243608,3.84071,66.1494,14.9833,0.21103,0.0246315,6.20168,226902
1.5,432.165,900242,7.98161,0.377877,999850,129.718,497536,355.416,243807,4.01903,78.6904,17.9959,0.243655,0.0316682,6.29901,231773
1.6,483.304,900236,8.03363,0.416508,999835,141.631,497535,397.675,244034,4.1673,92.2533,21.3039,0.277464,0.0399571,6.38825,237040
1.7,540.202,900232,8.06518,0.457083,999819,153.304,497534,440.529,244292,4.28908,106.781,24.9028,0.312205,0.0495884,6.47366,242695
1.8,603.527,900230,8.08397,0.500132,999803,164.713,497534,483.876,244584,4.38826,122.216,28.7876,0.347657,0.0606459,6.55844,248732
1.9,674.009,900228,8.09538,0.545812,999788,175.845,497534,527.661,244911,4.46874,138.499,32.9528,0.383638,0.0732073,6.64482,255146
2,752.444,900226,8.10261,0.594863,999772,186.699,497534,571.864,245279,4.53411,155.576,37.3929,0.419997,0.0873437,6.7341,261933
2.1,839.707,900224,8.10747,0.647703,999756,197.274,497534,616.486,245690,4.58748,173.393,42.1025,0.456615,0.103121,6.82704,269090
2.2,936.761,900224,8.11092,0.704238,999740,207.574,497533,661.534,246151,4.63146,191.899,47.0768,0.493398,0.120598,6.92398,276614
2.3,1044.67,900221,8.11421,0.764822,999725,217.607,497533,707.018,246666,4.66827,211.048,52.3109,0.530274,0.139829,7.02516,284478
2.4,1164.6,900220,8.11622,0.830165,999709,227.376,497533,752.957,247242,4.69962,230.798,57.8005,0.567186,0.160866,7.13005,292681
2.5,1297.83,900220,8.1182,0.900282,999693,236.889,497533,799.358,247885,4.72692,251.108,63.5419,0.604095,0.183751,7.23893,301201
2.6,1445.82,900218,8.12015,0.975957,999677,246.151,497533,846.232,248605,4.75134,271.943,69.5315,0.64097,0.208527,7.35148,310013
2.7,1610.13,900216,8.12183,1.05768,999661,255.169,497533,893.591,249409,4.77385,293.272,75.7667,0.677793,0.235231,7.46724,319089
2.8,1792.48,900214,8.1233,1.14581,999646,263.949,497533,941.438,250307,4.79527,315.064,82.2449,0.714549,0.263897,7.58584,328397
2.9,1994.74,900212,8.12423,1.24141,999630,272.498,497533,989.774,251312,4.81624,337.297,88.9645,0.751231,0.294557,7.70675,337904
3,2219.02,900209,8.12577,1.34427,999614,280.821,497533,1038.6,252434,4.83734,359.95,95.9244,0.78784,0.32724,7.82982,347563
3.1,2467.61,900207,8.12758,1.45606,999598,288.925,497533,1087.9,253690,4.85914,383.008,103.124,0.824379,0.361972,7.95438,357330
3.2,2742.98,900204,8.12834,1.57794,999582,296.814,497533,1137.67,255095,4.88201,406.459,110.565,0.860855,0.39878,8.07931,367158
3.3,3047.92,900201,8.12757,1.71049,999567,304.493,497533,1187.87,256668,4.90629,430.296,118.248,0.897281,0.437688,8.20372,376995
3.4,3385.44,900197,8.12823,1.8543,999551,311.967,497533,1238.49,258429,4.93244,454.519,126.175,0.933671,0.478719,8.32807,386780
3.5,3758.88,900194,8.12836,2.01168,999535,319.242,497533,1289.48,260402,4.96089,479.132,134.35,0.970044,0.521897,8.45081,396451
3.6,4171.88,900189,8.12857,2.18363,999519,326.323,497533,1340.8,262616,4.99213,504.147,142.778,1.00642,0.567247,8.57133,405943
3.7,4628.43,900185,8.12832,2.37214,999503,333.215,497533,1392.41,265102,5.0266,529.581,151.465,1.04283,0.614795,8.68864,415192
3.8,5132.89,900180,8.12846,2.57893,999488,339.923,497533,1444.23,267896,5.06488,555.458,160.42,1.0793,0.664568,8.80224,424132
3.9,5690.02,900174,8.12833,2.80606,999472,346.451,497533,1496.21,271040,5.10748,581.814,169.652,1.11586,0.716595,8.91102,432696
4,6304.98,900168,8.12154,3.05714,999456,352.797,497533,1548.22,274585,5.1546,608.689,179.174,1.15256,0.770912,9.01167,440833
4.1,6983.51,900162,8.12812,3.33205,999440,358.977,497533,1600.23,278586,5.20777,636.137,188.999,1.18944,0.827556,9.11158,448464
4.2,7731.83,900154,8.12714,3.63647,999425,364.996,497533,1652.13,283113,5.26782,664.228,199.145,1.22655,0.88657,9.20139,455547
4.3,8556.85,900146,8.12654,3.97309,999409,370.852,497533,1703.8,288247,5.33534,693.046,209.635,1.26395,0.948008,9.28403,462043
4.4,9466.02,900137,8.12559,4.34563,999393,376.55,497533,1755.11,294086,5.41153,722.691,220.494,1.30171,1.01193,9.35876,467921
4.5,10467.5,900127,8.12401,4.75821,999377,382.095,497533,1805.92,300744,5.49773,753.284,231.751,1.33991,1.07841,9.42523,473162
4.6,11570.3,900117,8.12372,5.21462,999361,387.493,497533,1856.13,308363,5.59577,784.974,243.445,1.37865,1.14752,9.48402,477759
4.7,12784,900105,8.12333,5.72073,999346,392.742,497533,1905.53,317114,5.70707,817.938,255.618,1.41802,1.21937,9.53499,481727
4.8,14119.3,900092,8.12214,6.28129,999330,397.849,497533,1953.99,327212,5.83429,852.393,268.324,1.45814,1.29408,9.57796,485091
4.9,15588,900077,8.12131,6.90198,999314,402.817,497533,2001.34,338921,5.98027,888.607,281.628,1.49917,1.37179,9.61394,487891
5,17202.7,900061,8.12015,7.58882,999298,407.651,497533,2047.41,352573,6.14846,926.9,295.606,1.54128,1.45266,9.64331,490177
5.1,18977.2,900043,8.11527,8.34843,999282,412.35,497533,2091.98,368590,6.34301,967.672,310.355,1.58466,1.53691,9.66543,492011
5.2,20926.7,900024,8.11624,9.18629,999267,416.92,497533,2134.88,387520,6.56956,1011.42,325.992,1.62956,1.62478,9.68498,493458
5.3,23067.8,900003,8.11455,10.1113,999251,421.366,497533,2175.9,410072,6.8351,1058.76,342.666,1.67628,1.71657,9.69947,494586
5.4,25418.4,899979,8.11075,11.13,999235,425.689,497533,2214.84,437197,7.14852,1110.5,360.562,1.72517,1.81265,9.7098,495459
5.5,27998.6,899953,8.10848,12.2505,999219,429.891,497533,2251.45,470168,7.52152,1167.64,379.919,1.77669,1.91348,9.71819,496135
5.6,30829.5,899925,8.10657,13.482,999204,433.97,497533,2285.47,510691,7.96907,1231.5,401.038,1.83139,2.01962,9.72492,496664
5.7,33934.9,899893,8.10312,14.8335,999188,437.941,497533,2316.71,561220,8.51271,1303.83,424.325,1.88999,2.13178,9.7294,497085
5.8,37340.5,899859,8.09975,16.3162,999172,441.799,497533,2344.86,625260,9.18138,1387.03,450.325,1.95341,2.25089,9.73294,497426
5.9,41074.6,899822,8.09573,17.9411,999157,445.546,497534,2369.66,707885,10.0158,1484.37,479.781,2.02287,2.37813,9.73541,497710
6,45167.6,899781,8.08989,19.7207,999141,449.186,497534,2390.78,816716,11.0749,1600.48,513.73,2.10001,2.51508,9.73649,497951
6.1,49653,899735,8.08816,21.668,999125,452.719,497534,2407.94,963505,12.4452,1742.04,553.662,2.18707,2.66386,9.73875,498160
6.2,54566.9,899686,8.08277,23.7983,999109,456.15,497534,2420.8,1.16696e+06,14.2589,1918.98,601.774,2.28722,2.82737,9.73911,498342
6.3,59948.5,899632,8.07734,26.1266,999094,459.48,497534,2429.04,1.45792e+06,16.7233,2146.61,661.423,2.40504,3.00975,9.73905,498504
6.4,65839.7,899573,8.07219,28.6692,999078,462.71,497534,2432.31,1.88901e+06,20.1753,2449.21,737.896,2.54741,3.21705,9.73874,498647
6.5,72285,899508,8.06654,31.4447,999062,465.845,497534,2430.27,2.55413e+06,25.182,2866.96,839.882,2.72494,3.45838,9.73814,498775
6.6,79330.4,899438,8.05898,34.4667,999047,468.881,497534,2422.57,3.62837e+06,32.7468,3469.08,982.243,2.95476,3.74809,9.73594,498889
6.7,87021.4,899360,8.05074,37.7563,999031,471.821,497534,2408.89,5.45806e+06,44.7347,4382.16,1191.98,3.26598,4.10991,9.73356,498991
6.8,95398.5,899276,8.04234,41.3249,999015,474.668,497534,2388.92,8.76414e+06,64.7936,5849.15,1520.61,3.71043,4.58512,9.73074,499083
6.9,104488,899185,8.03131,45.1815,999000,477.421,497534,2362.42,1.51466e+07,100.516,8366.58,2072.83,4.38606,5.24994,9.72667,499165
7,114282,899086,8.02341,49.3161,998984,480.082,497534,2329.2,2.8388e+07,168.686,13014.7,3075.25,5.48969,6.25415,9.72338,499238
7.1,124688,898980,8.01256,53.6901,998969,482.655,497534,2289.22,5.81501e+07,309.362,22337.5,5059.15,7.44809,7.91641,9.71884,499303
7.2,135416,898869,8.00133,58.1764,998953,485.138,497534,2242.65,1.30882e+08,625.593,42787.4,9366.55,11.2602,10.9693,9.71361,499359
7.3,145666,898756,7.99283,62.4479,998938,487.533,497534,2190.16,3.23863e+08,1402.08,92019.2,19657.2,19.4613,17.2445,9.70941,499406
7.4,153301,898654,7.98517,65.6364,998922,489.848,497534,2133.46,8.70348e+08,3472.13,221385,46549.7,38.9887,31.6989,9.70534,499440
7.5,152717,898594,7.98511,65.4768,998907,492.093,497534,2076.76,2.42848e+09,9283.11,581760,121212,89.7936,68.501,9.70406,499449
7.6,131366,898654,8.00444,56.8257,998891,494.293,497534,2030.01,6.20916e+09,24932.6,1.55659e+06,323098,227.307,167.182,9.71033,499398
7.7,76914.1,898964,8.05551,34.14,998876,496.502,497534,2012.12,1.13015e+10,57632.5,3.66261e+06,761675,571.319,415.973,9.72834,499168
7.8,19074.5,899509,8.11133,8.90064,998860,498.763,497534,2037.95,1.19112e+10,96999.2,6.50221e+06,1.36454e+06,1242.48,919.091,9.74328,498425
7.9,1126.78,899946,8.12319,0.563578,998844,501.031,497533,2091.01,8.87972e+09,120351,8.845e+06,1.88604e+06,2191.2,1684.52,9.73069,496903
8,10.4811,900136,8.09691,0.00570823,998828,503.221,497533,2148.64,6.22188e+09,125692,1.03837e+07,2.25952e+06,3252.87,2636.86,9.6979,495063
8.1,0.0121221,900202,8.0647,7.29272e-06,998813,505.292,497534,2205.85,4.34912e+09,120159,1.13211e+07,2.52067e+06,4301.47,3704.11,9.6623,493210
8.2,-6.5263e-05,900224,8.03251,-8.33264e-07,998797,507.246,497534,2262.42,3.04003e+09,109084,1.18403e+07,2.70273e+06,5267.73,4835.2,9.62683,491368
8.3,-0.000760259,900232,8.00044,-2.11646e-05,998782,509.087,497534,2318.36,2.12499e+09,95748.9,1.20706e+07,2.82923e+06,6119.63,5994.82,9.59154,489538
8.4,-0.00228006,900235,7.9685,-1.58938e-05,998766,510.816,497534,2373.67,1.4854e+09,82084.5,1.21028e+07,2.91672e+06,6847.51,7158.81,9.55644,487719
8.5,-0.00364012,900236,7.93669,-0.00258103,998751,512.439,497534,2428.37,1.03834e+09,69159.7,1.20003e+07,2.97683e+06,7454.51,8310.72,9.52152,485912
8.6,-0.0038549,900236,7.90501,-0.00276465,998735,513.956,497535,2482.45,7.25847e+08,57504.6,1.18077e+07,3.01774e+06,7950.5,9439.58,9.48678,484116
8.7,-0.00389188,900236,7.87345,-0.00280955,998720,515.373,497535,2535.92,5.07421e+08,47321.1,1.1556e+07,3.04517e+06,8348.3,10538.2,9.45223,482331
8.8,-0.00337048,900236,7.84202,-0.00245724,998705,516.691,497535,2588.79,3.54734e+08,38620.2,1.12669e+07,3.06315e+06,8661.51,11602.1,9.41785,480558
8.9,-0.00342493,900236,7.81071,-0.0024948,998690,517.914,497535,2641.06,2.48015e+08,31307.4,1.09554e+07,3.07451e+06,8903.22,12628.5,9.38366,478796
9,-0.00341029,900236,7.77953,-0.00248476,998674,519.043,497536,2692.74,1.73419e+08,25238.9,1.06319e+07,3.08123e+06,9085.36,13616,9.34964,477045
9.1,-0.00337759,900236,7.74848,-0.00246264,998659,520.083,497536,2743.84,1.21263e+08,20252.9,1.03037e+07,3.08471e+06,9218.43,14564.2,9.3158,475305
9.2,-0.00337004,900236,7.71755,-0.00245757,998644,521.036,497536,2794.35,8.48037e+07,16188.8,9.97571e+06,3.08592e+06,9311.47,15473,9.28213,473575
9.3,-0.00337283,900236,7.68674,-0.00245945,998629,521.903,497536,2844.28,5.93352e+07,12897.3,9.65116e+06,3.08553e+06,9372.08,16342.9,9.24865,471857
9.4,-0.00337286,900236,7.65605,-0.00245947,998615,522.689,497537,2893.65,4.15372e+07,10246.2,9.33231e+06,3.08404e+06,9406.6,17174.7,9.21533,470149
9.5,-0.00337228,900236,7.62549,-0.00245907,998600,523.394,497537,2942.45,2.90987e+07,8120.48,9.0206e+06,3.08177e+06,9420.25,17969.2,9.18219,468452
9.6,-0.00337233,900236,7.59505,-0.0024591,998585,524.022,497537,2990.68,2.04072e+07,6422.43,8.71694e+06,3.07896e+06,9417.3,18727.6,9.14922,466766
9.7,-0.00337241,900236,7.56473,-0.00245916,998570,524.575,497537,3038.36,1.43332e+07,5070.41,8.42184e+06,3.07577e+06,9401.2,19450.8,9.11643,465091
9.8,-0.00337239,900236,7.53453,-0.00245915,998556,525.055,497537,3085.49,1.00889e+07,3996.87,8.13559e+06,3.07233e+06,9374.74,20140,9.0838,463426
