Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,65.8801,1.07014e+06,0.423524,0.00221681,999993,7.1361,564426,0.646917,226605,0.0268941,0.271027,0.0546833,8.00652e-05,6.8396e-06,2.13556,130141
0.2,70.8485,1.12443e+06,0.885182,0.00535364,999971,29.4305,614290,2.95007,210246,0.0969898,2.07036,0.421439,0.000590353,0.000105293,2.3001,130697
0.3,75.8419,1.16557e+06,1.37738,0.00908372,999932,68.0164,652073,7.44483,198807,0.198663,6.73923,1.38397,0.00184816,0.00051559,2.48284,131762
0.4,80.793,1.19626e+06,1.89226,0.0133268,999876,123.761,680257,14.6489,190805,0.324204,15.5311,3.21731,0.00408711,0.00158343,2.68236,133418
0.5,85.6321,1.21874e+06,2.42193,0.0179573,999802,197.258,700898,25.0547,185200,0.468308,29.676,6.20049,0.00748356,0.00377574,2.89699,135728
0.6,90.2908,1.23487e+06,2.95871,0.0228148,999710,288.827,715702,39.1212,181274,0.627083,50.4003,10.6204,0.0121723,0.00768021,3.12477,138734
0.7,94.7038,1.24617e+06,3.49537,0.0277205,999599,398.53,726075,57.2676,178527,0.797389,78.9206,16.7706,0.0182565,0.0140018,3.36353,142453
0.8,98.8117,1.2539e+06,4.02536,0.0324973,999470,526.194,733164,79.8651,176604,0.976393,116.431,24.9484,0.0258138,0.0235601,3.61087,146872
0.9,102.564,1.25905e+06,4.54297,0.0369883,999323,671.435,737886,107.232,175251,1.1615,164.084,35.4511,0.0348987,0.0372858,3.86431,151955
1,105.918,1.26239e+06,5.04343,0.0410692,999159,833.693,740952,139.627,174293,1.35031,222.976,48.5725,0.0455429,0.0562154,4.12137,157645
1.1,108.842,1.26451e+06,5.52293,0.0446494,998978,1012.26,742887,177.255,173608,1.54052,294.114,64.5957,0.0577578,0.0814823,4.37962,163868
