Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,200000
0.1,64.8513,548638,1.62649,0.0165861,999936,63.601,624398,8.17626,287724,0.138321,3.09506,0.624489,0.000422672,7.84019e-05,6.51851,200129
0.2,68.1884,306639,2.35803,0.0267026,999793,206.507,691086,30.6011,314106,0.439287,22.6052,4.60298,0.0028618,0.00117112,6.97903,200461
0.3,71.3601,192723,2.62378,0.0314862,999617,382.187,722473,61.1016,332542,0.776598,68.6443,14.1119,0.00811771,0.00546718,7.15635,200886
0.4,74.5615,141430,2.6724,0.0336648,999432,567.586,736604,94.6222,345417,1.08443,145.639,30.2396,0.016166,0.0158439,7.20106,201339
0.5,77.8927,118735,2.62701,0.0346351,999246,752.421,742857,128.458,354400,1.33787,254.431,53.3749,0.0265999,0.0354089,7.18788,201791
0.6,81.4052,108826,2.54534,0.0351041,999066,932.465,745587,161.423,360657,1.5331,393.997,83.5323,0.038902,0.0672289,7.15189,202231
0.7,85.1268,104495,2.45433,0.0354138,998891,1106.21,746781,193.084,365011,1.67539,562.477,120.548,0.0525752,0.114195,7.10956,202655
0.8,89.0731,102593,2.36584,0.0357335,998723,1273.49,747306,223.36,368034,1.77346,757.69,164.18,0.0671877,0.178975,7.06815,203061
0.9,93.2537,101756,2.28473,0.0361427,998561,1434.67,747538,252.326,370129,1.83642,977.443,214.168,0.0823896,0.263998,7.03071,203453
1,97.675,101385,2.21277,0.0366802,998404,1590.35,747641,280.108,371577,1.87257,1219.66,270.261,0.0979094,0.371464,6.99842,203832
1.1,102.342,101214,2.15028,0.0373646,998252,1741.2,747689,306.852,372573,1.88891,1482.46,332.232,0.113543,0.50336,6.97156,204201
1.2,107.257,101138,2.09683,0.0382048,998104,1887.86,747711,332.701,373256,1.89116,1764.15,399.879,0.129145,0.66148,6.94995,204562
1.3,112.424,101109,2.05171,0.0392035,997959,2030.95,747720,357.789,373720,1.88383,2063.23,473.031,0.144613,0.847446,6.93325,204919
1.4,117.843,101098,2.01412,0.0403604,997817,2171.03,747724,382.234,374032,1.8704,2378.4,551.542,0.15988,1.06273,6.92103,205274
1.5,123.517,101091,1.98324,0.0416737,997678,2308.59,747727,406.144,374244,1.85354,2708.5,635.29,0.174903,1.30869,6.91289,205630
1.6,129.445,101084,1.95823,0.0431408,997541,2444.08,747729,429.611,374387,1.83522,3052.54,724.176,0.189662,1.58654,6.90837,205988
1.7,135.625,101080,1.93827,0.0447564,997405,2577.88,747731,452.716,374483,1.81676,3409.64,818.12,0.204152,1.89741,6.90704,206351
1.8,142.058,101080,1.92255,0.0465141,997270,2710.31,747731,475.529,374543,1.79896,3779.05,917.057,0.218383,2.24232,6.90846,206721
