Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,200000
0.1,64.3365,1.18007e+06,4.53372,0.015457,999996,3.68998,582658,4.62782,218040,0.276639,0.135325,0.0273046,0.00082292,3.42851e-06,4.94808,200108
0.2,64.7536,1.34923e+06,9.7714,0.0356044,999984,15.5194,660294,30.8835,195683,0.998619,1.02339,0.208328,0.0060789,5.21705e-05,8.1818,200504
0.3,61.8901,1.44899e+06,15.2406,0.054445,999963,36.1553,706060,102.576,180039,2.02795,3.2911,0.67596,0.0189854,0.000253197,11.5703,201203
0.4,56.1885,1.48736e+06,20.3644,0.0668273,999933,65.3138,723639,240.513,169087,3.23584,7.45684,1.54537,0.0415879,0.000769717,14.7561,202136
0.5,48.6838,1.49732e+06,24.7878,0.070952,999895,101.917,728174,454.207,161414,4.50848,13.9305,2.91328,0.0748592,0.00180991,17.5157,203185
0.6,40.5329,1.49934e+06,28.4065,0.0679542,999850,144.533,729077,742.852,156032,5.7596,23.0176,4.85798,0.118894,0.00361601,19.7809,204224
0.7,32.6606,1.49962e+06,31.2604,0.0603977,999799,191.718,729188,1099.14,152255,6.93315,34.9289,7.44063,0.173163,0.00645454,21.5742,205165
0.8,25.636,1.4997e+06,33.4453,0.0507993,999745,242.18,729208,1512.66,149600,7.99684,49.797,10.708,0.23677,0.0106068,22.9533,205959
0.9,19.7115,1.49939e+06,35.076,0.0410099,999687,294.832,729054,1972.13,147732,8.93586,67.6888,14.6943,0.308619,0.0163622,23.9887,206594
1,14.9113,1.4993e+06,36.2637,0.032127,999626,348.797,729008,2466.63,146417,9.74733,88.615,19.4229,0.387552,0.0240119,24.7486,207079
1.1,11.1359,1.49977e+06,37.1101,0.0245953,999564,403.399,729216,2986.74,145489,10.4362,112.543,24.9082,0.472431,0.0338438,25.2962,207433
1.2,8.23438,1.49914e+06,37.6916,0.0185024,999501,458.12,728923,3525.23,144832,11.0115,139.405,31.1575,0.562188,0.0461386,25.6788,207681
1.3,6.03919,1.49948e+06,38.0769,0.0137416,999437,512.576,729080,4075.55,144367,11.4852,169.107,38.172,0.655858,0.0611671,25.939,207843
1.4,4.39959,1.49988e+06,38.3172,0.0101167,999373,566.486,729260,4633.2,144036,11.8696,201.534,45.9482,0.752583,0.0791874,26.1086,207942
1.5,3.18839,1.49965e+06,38.4489,0.00736159,999308,619.654,729152,5194.86,143799,12.1772,236.558,54.4792,0.851625,0.100444,26.2104,207991
1.6,2.30087,1.49949e+06,38.4996,0.0053429,999243,671.935,729080,5757.81,143628,12.4193,274.044,63.7552,0.95235,0.125167,26.2615,208003
1.7,1.65341,1.49975e+06,38.4942,0.00384648,999178,723.233,729198,6319.98,143504,12.6065,313.849,73.7644,1.05423,0.153569,26.2775,207990
1.8,1.18458,1.49965e+06,38.4469,0.00276607,999113,773.486,729154,6880.16,143414,12.7479,355.828,84.4938,1.15681,0.18585,26.267,207957
1.9,0.847096,1.49935e+06,38.3679,0.00196257,999049,822.653,729015,7437.36,143346,12.8515,399.838,95.9289,1.25973,0.222191,26.2368,207910
2,0.604377,1.49933e+06,38.2674,0.00140051,998984,870.712,729007,7990.7,143295,12.924,445.735,108.055,1.3627,0.26276,26.1929,207854
2.1,0.429706,1.49957e+06,38.1526,0.00100814,998920,917.653,729116,8539.66,143256,12.9714,493.38,120.857,1.46546,0.307708,26.1398,207791
2.2,0.304587,1.49967e+06,38.0279,0.000715278,998855,963.479,729165,9083.98,143225,12.9985,542.637,134.318,1.56783,0.357171,26.0804,207723
2.3,0.214958,1.49971e+06,37.8964,0.000504203,998791,1008.2,729185,9623.44,143200,13.0093,593.373,148.424,1.66964,0.411273,26.0166,207653
2.4,0.151689,1.49961e+06,37.759,0.000355459,998728,1051.82,729138,10158,143180,13.007,645.462,163.159,1.77077,0.470122,25.9488,207580
2.5,0.107282,1.49951e+06,37.6173,0.000244274,998664,1094.36,729090,10687.4,143162,12.9941,698.782,178.508,1.87114,0.533814,25.8783,207507
2.6,0.0752781,1.49968e+06,37.4743,0.00017986,998601,1135.83,729174,11211.5,143147,12.973,753.215,194.454,1.97065,0.602431,25.8067,207432
2.7,0.0527029,1.49965e+06,37.3299,0.000119066,998538,1176.26,729161,11730.5,143133,12.9453,808.649,210.983,2.06926,0.676044,25.7342,207358
2.8,0.0368789,1.49962e+06,37.1842,8.91126e-05,998475,1215.65,729146,12244.4,143120,12.9125,864.977,228.081,2.16692,0.754714,25.6606,207284
2.9,0.025342,1.49972e+06,37.0389,5.98076e-05,998412,1254.03,729193,12753,143109,12.8757,922.096,245.731,2.26359,0.838488,25.5871,207210
3,0.017495,1.49968e+06,36.8931,4.77289e-05,998350,1291.43,729177,13256.4,143098,12.8357,979.91,263.921,2.35926,0.927406,25.5131,207136
3.1,0.0119015,1.49964e+06,36.7474,2.67759e-05,998288,1327.85,729160,13754.7,143088,12.7933,1038.32,282.636,2.4539,1.02149,25.439,207063
3.2,0.00836086,1.49958e+06,36.6014,1.94285e-05,998226,1363.31,729132,14247.9,143078,12.7489,1097.25,301.862,2.54751,1.12077,25.3646,206991
3.3,0.00583255,1.49961e+06,36.4557,1.34907e-05,998165,1397.84,729144,14736,143069,12.7032,1156.61,321.585,2.64007,1.22526,25.2902,206919
3.4,0.00404595,1.49962e+06,36.3106,9.29782e-06,998103,1431.46,729150,15219,143060,12.6563,1216.32,341.793,2.73158,1.33494,25.216,206848
3.5,0.00281664,1.49962e+06,36.1659,6.39585e-06,998042,1464.17,729154,15697,143052,12.6086,1276.3,362.472,2.82205,1.44982,25.1419,206777
