Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,65.1393,1.05709e+06,2.10168,0.0108625,999994,6.07234,449190,0.95331,219413,0.131047,0.225978,0.0455981,0.000392993,5.76256e-06,1.80127,130699
0.2,68.1555,1.11328e+06,4.3408,0.0250102,999975,24.6283,399174,4.28621,198019,0.459155,1.66829,0.339671,0.00283664,8.59448e-05,2.55428,133347
0.3,69.7984,1.1624e+06,6.66177,0.0389883,999942,55.9497,355451,10.5664,183055,0.914878,5.26251,1.08123,0.00869973,0.000410015,3.35235,138100
0.4,69.9317,1.20081e+06,8.99245,0.0511968,999896,99.9346,321261,20.2075,172583,1.45296,11.7796,2.44221,0.0188574,0.00122985,4.17061,144795
0.5,68.5617,1.22771e+06,11.2572,0.0601828,999836,156.05,297319,33.5518,165246,2.04169,21.8988,4.58122,0.033852,0.00286714,4.98093,153031
0.6,65.8359,1.24465e+06,13.3904,0.0653622,999763,223.354,282234,50.9285,160103,2.65706,36.2251,7.64658,0.053978,0.00570635,5.75715,162261
0.7,62.0077,1.25433e+06,15.345,0.0669439,999678,300.602,273615,72.6287,156499,3.2799,55.2896,11.7758,0.0793422,0.0101858,6.479,171916
0.8,57.3856,1.25941e+06,17.0958,0.065599,999582,386.377,269097,98.8457,153967,3.89431,79.5366,17.0922,0.109902,0.0167891,7.13397,181512
0.9,52.2846,1.26188e+06,18.6355,0.0626194,999477,479.213,266894,129.599,152183,4.4878,109.318,23.7037,0.145493,0.026036,7.71667,190702
1,46.9892,1.263e+06,19.9696,0.0573331,999363,577.681,265892,164.723,150923,5.05096,144.887,31.7007,0.185856,0.0384731,8.22672,199238
1.1,41.7321,1.26347e+06,21.1113,0.0520567,999241,680.455,265473,203.908,150028,5.57714,186.405,41.1561,0.230662,0.0546638,8.6667,206922
1.2,36.6879,1.26366e+06,22.0781,0.0468102,999114,786.339,265300,246.756,149389,6.06206,233.944,52.1262,0.27954,0.075179,9.04278,213814
1.3,31.9755,1.26373e+06,22.8891,0.0405744,998981,894.276,265231,292.83,148928,6.50352,287.495,64.6512,0.332094,0.100589,9.36058,219839
1.4,27.6655,1.26375e+06,23.5633,0.0352978,998844,1003.35,265212,341.677,148593,6.90094,346.98,78.757,0.387918,0.131455,9.62597,224965
1.5,23.7897,1.26376e+06,24.1186,0.030904,998703,1112.8,265207,392.864,148346,7.25506,412.26,94.457,0.446608,0.168323,9.84628,229361
1.6,20.3523,1.26376e+06,24.5716,0.0261723,998559,1221.95,265203,445.99,148162,7.56756,483.151,111.754,0.507777,0.211722,10.0275,233100
1.7,17.3375,1.26376e+06,24.9371,0.0225565,998413,1330.27,265201,500.694,148021,7.84081,559.428,130.641,0.571057,0.262152,10.1749,236225
1.8,14.7174,1.26376e+06,25.2281,0.0191457,998265,1437.31,265200,556.652,147911,8.07757,640.836,151.104,0.636103,0.32009,10.2935,238823
1.9,12.4571,1.26376e+06,25.456,0.0161991,998116,1542.71,265199,613.582,147824,8.28086,727.098,173.123,0.702602,0.38598,10.3874,240958
