Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,200000
0.1,64.3767,1.19115e+06,5.33406,0.0183681,999959,40.7161,581558,9.11067,253916,0.361584,1.67979,0.338862,0.00104692,4.15727e-05,6.16466,200126
0.2,64.3191,1.34054e+06,11.4396,0.0415146,999825,169.975,645277,57.2962,256647,1.43155,13.9371,2.83538,0.00832414,0.000685512,9.53462,200589
0.3,60.5585,1.41496e+06,17.6257,0.0615319,999593,390.982,676984,180.439,258530,3.12455,48.1182,9.87203,0.0276259,0.00354572,12.9636,201388
0.4,53.838,1.43932e+06,23.2365,0.0729731,999265,695.61,687326,405.162,259800,5.27086,114.975,23.7904,0.0635822,0.0113391,16.087,202424
0.5,45.4907,1.4448e+06,27.9439,0.0746541,998855,1068.28,689621,740.135,260629,7.66579,223.32,46.613,0.119122,0.0277457,18.7189,203545
0.6,36.8406,1.44589e+06,31.6944,0.0688356,998378,1491.23,690055,1179.8,261137,10.1222,379.429,79.908,0.195427,0.0571763,20.8253,204614
0.7,28.829,1.44593e+06,34.5699,0.0588984,997849,1947.89,690044,1710.66,261418,12.4969,587.06,124.774,0.29223,0.104505,22.4489,205544
0.8,21.9567,1.44639e+06,36.7073,0.0477107,997279,2424.15,690224,2315.62,261537,14.6936,847.801,181.895,0.408236,0.174834,23.6636,206297
0.9,16.3681,1.4462e+06,38.2529,0.0371582,996682,2908.77,690131,2977.75,261545,16.6578,1161.49,251.61,0.541491,0.273306,24.5497,206874
1,11.9992,1.44593e+06,39.338,0.0280599,996063,3393.18,690006,3681.82,261476,18.3666,1526.69,333.995,0.689741,0.404938,25.1794,207295
1.1,8.68081,1.446e+06,40.0754,0.0207373,995431,3871.09,690028,4415.17,261358,19.8198,1941.04,428.93,0.850653,0.57452,25.6153,207586
1.2,6.21423,1.44577e+06,40.5552,0.0150475,994790,4338.08,689927,5167.98,261207,21.0315,2401.6,536.158,1.02198,0.786541,25.9075,207776
1.3,4.40958,1.44592e+06,40.8486,0.0107903,994143,4791.16,689989,5932.51,261038,22.0241,2905.04,655.327,1.20164,1.04515,26.0955,207889
1.4,3.10603,1.44596e+06,41.0073,0.00765074,993493,5228.43,690004,6703.31,260858,22.8238,3447.87,786.023,1.3878,1.35411,26.208,207946
1.5,2.17401,1.44591e+06,41.0694,0.00538008,992841,5648.75,689982,7476.33,260674,23.4573,4026.54,927.798,1.57885,1.71683,26.2663,207961
