Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,200000
0.1,75.1704,1.12454e+06,5.5457,0.0214218,999993,7.04825,437656,3.1937,255090,0.371441,0.289098,0.0583175,0.00106636,7.12821e-06,3.17427,200139
0.2,90.7268,1.25837e+06,12.7985,0.0627468,999969,30.9599,370653,17.6421,258677,1.5421,2.4906,0.506563,0.00874921,0.000120682,5.49056,200764
0.3,106.623,1.36329e+06,21.8167,0.127322,999923,76.1933,318119,52.2025,261212,3.59851,9.0217,1.84963,0.0303176,0.000646553,8.37749,202195
0.4,121.353,1.42165e+06,32.2034,0.214064,999851,146.687,288883,118.749,263008,6.58077,22.8117,4.7136,0.073582,0.00215637,11.7122,204772
0.5,133.284,1.4438e+06,43.2527,0.313144,999750,244.789,277771,233.301,264278,10.436,47.126,9.81342,0.146257,0.00552796,15.2715,208723
0.6,141.07,1.44941e+06,54.2499,0.408891,999619,370.884,274941,413.608,265171,15.0171,85.3043,17.902,0.255137,0.0119613,18.8271,214052
0.7,143.975,1.45051e+06,64.6501,0.485998,999460,523.62,274369,674.176,265786,20.1155,140.502,29.7182,0.405384,0.0229782,22.2028,220504
0.8,141.974,1.45048e+06,74.0982,0.534652,999274,700.488,274361,1022.94,266193,25.5037,215.493,45.9459,0.600206,0.040385,25.2815,227644
0.9,135.656,1.45055e+06,82.3995,0.552217,999064,898.291,274310,1461.61,266443,30.9647,312.564,67.1883,0.840848,0.0662279,27.9973,234987
1,126.008,1.45045e+06,89.4977,0.541917,998833,1113.55,274345,1986.35,266573,36.3112,433.462,93.9554,1.12678,0.10274,30.3285,242100
1.1,114.161,1.45032e+06,95.431,0.510338,998586,1342.84,274400,2589.7,266611,41.3966,579.403,126.661,1.45603,0.152286,32.2849,248670
