Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,72.6921,1.20841e+06,4.95389,0.0413779,999852,146.504,630987,25.0205,272866,0.347263,6.32956,1.27668,0.000983122,0.000154097,9.09582,132504
0.2,83.2763,1.34231e+06,11.2276,0.109318,999348,637.831,715076,180.467,288840,1.49122,56.4872,11.4865,0.00833595,0.0027031,15.1377,143476
0.3,90.9623,1.38534e+06,18.1283,0.175931,998425,1523.49,741998,630.848,299930,3.48287,206.965,42.4249,0.0292559,0.0147309,22.1444,164541
0.4,94.3563,1.39202e+06,24.9176,0.218666,997070,2803.21,746064,1542.21,307529,6.21783,519.215,107.296,0.0706453,0.0492356,29.3695,193338
0.5,92.8786,1.39308e+06,31.1354,0.233225,995307,4439.08,746626,3039.7,312610,9.49265,1050.29,218.844,0.137966,0.125093,36.2438,225612
0.6,86.8421,1.39232e+06,36.5323,0.226591,993183,6372.97,746053,5191.41,315864,13.0726,1846.98,388.121,0.234703,0.266258,42.4059,257635
0.7,77.2808,1.39258e+06,41.0017,0.204134,990756,8537.91,746138,7998.3,317784,16.7333,2943.07,623.865,0.362303,0.500539,47.6633,286848
0.8,65.612,1.39237e+06,44.5558,0.174509,988085,10866.9,745948,11408.7,318735,20.2867,4358.93,932.313,0.520403,0.85825,51.9675,311764
0.9,53.2767,1.39245e+06,47.2727,0.142275,985227,13298.4,745949,15336.5,318984,23.5934,6102.58,1317.34,0.707219,1.37089,55.3665,331921
1,41.4708,1.39245e+06,49.2721,0.110476,982232,15780.1,745916,19681,318733,26.5628,8171.72,1780.76,0.919985,2.07,57.9595,347235
1.1,31.009,1.39245e+06,50.6823,0.0838533,979141,18269.2,745893,24342.5,318135,29.1484,10556,2322.74,1.15536,2.98625,59.8772,358265
1.2,22.3111,1.39245e+06,51.6274,0.0607642,975989,20732.9,745877,29231.7,317304,31.3381,13239.2,2942.18,1.4098,4.14878,61.2519,365677
1.3,15.4685,1.39245e+06,52.2176,0.0422463,972800,23146.7,745867,34274,316324,33.1449,16201.3,3637.11,1.67976,5.58467,62.2047,370160
1.4,10.3451,1.39245e+06,52.5459,0.0287673,969595,25493.6,745861,39410.7,315258,34.5987,19420,4404.9,1.96195,7.31871,62.8431,372438
1.5,6.67916,1.39245e+06,52.6872,0.0183701,966386,27762.3,745859,44597.9,314151,35.7382,22872,5242.62,2.25338,9.37323,63.2549,373104
