Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,200000
0.1,66.7418,3.82758e+06,13.296,0.66316,999665,331.526,687692,131.765,240902,0.76319,11.9752,2.41455,0.00202898,0.000279468,20.5411,203921
0.2,71.2089,4.68591e+06,30.0862,1.60197,998352,1614.55,744381,1207.55,234446,3.41657,115.823,23.5446,0.0189421,0.00543433,37.0277,220928
0.3,73.7798,4.73083e+06,40.2704,2.02379,996230,3648.49,747151,3726.55,229736,7.0834,407.044,83.4844,0.0640635,0.0296336,47.852,245662
0.4,74.2705,4.7318e+06,45.3383,2.0679,993677,6038.47,747117,7312.48,226191,10.7418,933.859,193.382,0.14114,0.0942242,53.8785,269908
0.5,72.6315,4.73099e+06,47.7544,1.94976,990919,8550.15,747017,11523.4,223437,13.9416,1707.38,357.155,0.247572,0.223173,57.2666,290512
0.6,68.9723,4.73188e+06,48.8703,1.76331,988069,11068,747056,16075.7,221232,16.5688,2720.91,575.17,0.378531,0.440375,59.2608,306980
0.7,63.5721,4.73089e+06,49.3895,1.55323,985182,13539,746980,20813.7,219415,18.6537,3960.28,846.22,0.52895,0.768461,60.5364,319671
0.8,56.8475,4.73115e+06,49.6265,1.33414,982282,15940.1,746993,25655.8,217876,20.2751,5408.77,1168.48,0.694321,1.22834,61.41,329103
0.9,49.3,4.73111e+06,49.7264,1.11876,979381,18262,746989,30558.1,216540,21.5186,7049.15,1539.89,0.870895,1.83906,62.0397,335791
1,41.4507,4.73112e+06,49.7548,0.914633,976486,20501.8,746988,35495.1,215357,22.4605,8864.6,1958.37,1.05567,2.61784,62.5057,340190
1.1,33.7763,4.73111e+06,49.7413,0.728201,973598,22658.9,746988,40450,214290,23.1648,10839,2421.87,1.24626,3.58011,62.8524,342690
1.2,26.6642,4.73111e+06,49.6997,0.563764,970721,24734.2,746989,45411.1,213315,23.6828,12957,2928.36,1.44079,4.73965,63.1064,343632
1.3,20.3901,4.73111e+06,49.6358,0.424194,967856,26729.1,746990,50369,212416,24.0556,15204.2,3475.9,1.6378,6.10872,63.286,343317
1.4,15.1025,4.73112e+06,49.5517,0.309742,965003,28645,746991,55316.1,211581,24.315,17566.8,4062.61,1.83615,7.69806,63.4038,342011
1.5,10.8318,4.73112e+06,49.449,0.219433,962165,30483.6,746993,60246.1,210802,24.4853,20032,4686.67,2.03496,9.51697,63.4707,339943
1.6,7.52411,4.73112e+06,49.3287,0.150909,959340,32246.6,746995,65153.4,210071,24.5858,22587.7,5346.33,2.23353,11.5735,63.4962,337314
1.7,5.06222,4.73112e+06,49.1924,0.100012,956532,33935.5,746997,70033.6,209385,24.6312,25222.4,6039.89,2.43135,13.8744,63.4884,334289
1.8,3.30108,4.73112e+06,49.042,0.0649334,953740,35552.1,746999,74882.7,208740,24.6333,27925.5,6765.72,2.62797,16.4252,63.4549,331010
1.9,2.08601,4.73112e+06,48.8799,0.0405291,950965,37098.2,747002,79697.9,208131,24.6013,30687,7522.27,2.82309,19.2307,63.4024,327584
2,1.27705,4.73112e+06,48.7084,0.024592,948208,38575.6,747004,84476.8,207557,24.5427,33497.3,8308,3.01645,22.2943,63.3364,324092
2.1,0.757896,4.73112e+06,48.5299,0.0144793,945469,39986.3,747007,89217.9,207015,24.4633,36347.7,9121.47,3.20786,25.6186,63.2616,320592
2.2,0.435232,4.73112e+06,48.3466,0.00821423,942748,41332.2,747010,93920.2,206503,24.3681,39229.9,9961.28,3.39717,29.2055,63.1815,317125
2.3,0.242172,4.73112e+06,48.1601,0.00450224,940045,42615.5,747013,98583.2,206018,24.2608,42136.3,10826.1,3.58428,33.0558,63.099,313718
2.4,0.130615,4.73112e+06,47.9717,0.00254072,937360,43838.1,747016,103207,205559,24.1448,45059.7,11714.6,3.76911,37.1699,63.0159,310386
2.5,0.0683137,4.73112e+06,47.7824,0.00105308,934693,45002.2,747019,107791,205125,24.0224,47993.6,12625.6,3.95162,41.5471,62.9335,307137
2.6,0.0346296,4.73112e+06,47.5929,-0.000110051,932045,46109.7,747022,112335,204714,23.8958,50931.8,13557.9,4.13177,46.1865,62.8525,303975
2.7,0.0170644,4.73112e+06,47.4036,-0.000213002,929415,47162.7,747025,116841,204324,23.7665,53868.5,14510.3,4.30956,51.0862,62.7736,300902
2.8,0.00816671,4.73112e+06,47.2147,-0.0027129,926803,48163.1,747028,121308,203956,23.6357,56798.6,15481.8,4.48497,56.2441,62.6968,297920
2.9,0.00379622,4.73112e+06,47.0264,-0.00385356,924208,49112.7,747031,125737,203607,23.5045,59717.2,16471.4,4.65803,61.6575,62.6224,295024
3,0.00170864,4.73112e+06,46.8388,-0.000469818,921631,50013.5,747034,130127,203276,23.3735,62619.9,17478,4.82875,67.3232,62.5502,292211
3.1,0.000733627,4.73112e+06,46.6518,-0.00491969,919072,50867.1,747037,134481,202964,23.2434,65502.5,18500.8,4.99714,73.2377,62.4804,289485
3.2,0.000305613,4.73112e+06,46.4656,-0.00454657,916530,51675.3,747040,138797,202669,23.1143,68361.3,19538.7,5.16323,79.397,62.4128,286837
3.3,0.000122527,4.73112e+06,46.2801,-0.00440577,914005,52439.8,747043,143077,202390,22.9868,71192.9,20591,5.32705,85.7969,62.3473,284267
3.4,4.48386e-05,4.73112e+06,46.0954,-0.00430452,911497,53162,747046,147320,202126,22.8609,73994.1,21656.8,5.48863,92.4329,62.2839,281773
3.5,1.12802e-05,4.73112e+06,45.9114,-0.00418515,909006,53843.7,747049,151528,201877,22.7369,76762.1,22735.3,5.648,99.3,62.2224,279354
3.6,6.95239e-07,4.73112e+06,45.7281,-0.00409071,906532,54486.3,747052,155700,201643,22.6147,79494.2,23825.7,5.80519,106.393,62.163,277005
3.7,-4.01321e-07,4.73112e+06,45.5455,-0.0040814,904074,55091.1,747055,159836,201422,22.4944,82188.1,24927.4,5.96023,113.708,62.1053,274727
3.8,-5.08797e-06,4.73112e+06,45.3637,-0.00412406,901633,55659.6,747058,163938,201214,22.3761,84841.8,26039.5,6.11316,121.237,62.0495,272515
3.9,-1.24188e-05,4.73112e+06,45.1826,-0.00419913,899209,56193.2,747061,168005,201019,22.2598,87453.2,27161.5,6.26401,128.977,61.9953,270370
4,-2.40559e-05,4.73112e+06,45.0023,-0.00437279,896800,56693.1,747064,172038,200835,22.1453,90020.7,28292.6,6.4128,136.92,61.9428,268287
4.1,-6.71497e-05,4.73112e+06,44.8226,-0.00449027,894408,57160.7,747067,176038,200664,22.0327,92542.8,29432.4,6.55956,145.062,61.8919,266267
4.2,-0.000158837,4.73112e+06,44.6437,-0.00457015,892032,57597,747069,180003,200503,21.922,95018.1,30580.1,6.70434,153.396,61.8424,264306
4.3,-0.000300872,4.73112e+06,44.4655,-0.00456356,889671,58003.2,747072,183936,200352,21.8131,97445.5,31735.2,6.84716,161.916,61.7945,262403
4.4,-0.000467623,4.73112e+06,44.288,-0.0044796,887327,58380.6,747075,187835,200212,21.706,99823.9,32897.2,6.98804,170.616,61.7479,260556
4.5,-0.000586527,4.73112e+06,44.1112,-0.00439241,884997,58730.2,747078,191702,200081,21.6005,102152,34065.5,7.12702,179.49,61.7026,258764
4.6,-0.000594566,4.73112e+06,43.9351,-0.00436484,882684,59052.9,747081,195536,199960,21.4967,104430,35239.7,7.26412,188.532,61.6586,257025
4.7,-0.000453215,4.73112e+06,43.7597,-0.00444092,880385,59350,747084,199338,199847,21.3944,106657,36419.2,7.39937,197.735,61.6158,255338
4.8,-0.000250455,4.73112e+06,43.585,-0.00457473,878102,59622.2,747086,203109,199743,21.2937,108832,37603.6,7.5328,207.093,61.5742,253700
4.9,-0.000111186,4.73112e+06,43.411,-0.00468386,875834,59870.6,747089,206847,199648,21.1945,110955,38792.5,7.66443,216.6,61.5337,252111
5,-0.000209004,4.73112e+06,43.2377,-0.00464129,873580,60096.1,747092,210555,199560,21.0967,113026,39985.4,7.79429,226.249,61.4942,250569
5.1,-0.000554993,4.73112e+06,43.0651,-0.00444204,871342,60299.6,747095,214231,199479,21.0003,115044,41181.9,7.9224,236.035,61.4558,249073
5.2,-0.00106283,4.73112e+06,42.8932,-0.00413401,869118,60481.9,747097,217877,199406,20.9053,117009,42381.7,8.04879,245.952,61.4184,247621
5.3,-0.00139321,4.73112e+06,42.722,-0.00392986,866909,60643.8,747100,221492,199340,20.8115,118922,43584.3,8.17348,255.992,61.3818,246212
5.4,-0.00130168,4.73112e+06,42.5515,-0.00397753,864714,60786.2,747103,225077,199280,20.7189,120782,44789.4,8.29649,266.15,61.3461,244844
5.5,-0.000729624,4.73112e+06,42.3816,-0.00431855,862534,60909.8,747106,228632,199227,20.6276,122590,45996.6,8.41785,276.42,61.3113,243517
5.6,-0.000483714,4.73112e+06,42.2124,-0.00446725,860368,61015.3,747108,232157,199180,20.5374,124345,47205.7,8.53757,286.796,61.2772,242229
5.7,-0.000991727,4.73112e+06,42.0439,-0.0041678,858216,61103.4,747111,235652,199139,20.4483,126048,48416.2,8.65568,297.272,61.2439,240980
5.8,-0.00260308,4.73112e+06,41.8761,-0.00320679,856078,61174.9,747114,239118,199103,20.3603,127699,49628,8.7722,307.842,61.2114,239767
5.9,-0.00380919,4.73112e+06,41.709,-0.00248653,853954,61230.4,747116,242554,199073,20.2734,129299,50840.6,8.88714,318.5,61.1795,238590
6,-0.00396009,4.73112e+06,41.5425,-0.0023958,851843,61270.6,747119,245962,199048,20.1874,130848,52053.9,9.00054,329.241,61.1482,237448
6.1,-0.00342403,4.73112e+06,41.3766,-0.00271586,849747,61296,747122,249341,199028,20.1024,132346,53267.5,9.1124,340.058,61.1175,236340
6.2,-0.0033163,4.73112e+06,41.2114,-0.00278049,847664,61307.3,747124,252692,199013,20.0183,133793,54481.2,9.22275,350.947,61.0874,235265
6.3,-0.00387265,4.73112e+06,41.047,-0.00244833,845594,61305,747127,256014,199002,19.9352,135192,55694.7,9.33161,361.902,61.0578,234221
6.4,-0.00427995,4.73112e+06,40.8831,-0.00220499,843538,61289.7,747130,259308,198996,19.8529,136541,56907.8,9.43899,372.917,61.0288,233209
6.5,-0.00359934,4.73112e+06,40.7199,-0.00261155,841495,61261.9,747132,262574,198994,19.7714,137842,58120.3,9.54491,383.988,61.0001,232226
6.6,-0.00278533,4.73112e+06,40.5573,-0.00309785,839465,61222.2,747135,265812,198996,19.6908,139094,59332,9.64939,395.108,60.9719,231272
6.7,-0.00274135,4.73112e+06,40.3954,-0.00312414,837448,61171,747137,269023,199002,19.6109,140300,60542.6,9.75244,406.273,60.9441,230347
6.8,-0.00324612,4.73112e+06,40.2341,-0.00282258,835444,61108.8,747140,272206,199012,19.5318,141459,61751.9,9.85409,417.478,60.9168,229449
6.9,-0.00319619,4.73112e+06,40.0735,-0.00285244,833453,61036.2,747142,275362,199025,19.4535,142571,62959.8,9.95434,428.719,60.8897,228578
7,-0.00268859,4.73112e+06,39.9135,-0.00315573,831475,60953.5,747145,278492,199041,19.3758,143639,64166.1,10.0532,439.989,60.863,227732
7.1,-0.00271559,4.73112e+06,39.7542,-0.00313958,829509,60861.1,747148,281594,199061,19.2989,144662,65370.5,10.1507,451.285,60.8366,226911
7.2,-0.00341702,4.73112e+06,39.5955,-0.00272044,827556,60759.6,747150,284670,199084,19.2226,145641,66573,10.2469,462.602,60.8105,226115
7.3,-0.00377359,4.73112e+06,39.4375,-0.0025074,825615,60649.3,747153,287719,199110,19.147,146576,67773.3,10.3418,473.935,60.7846,225342
7.4,-0.00317247,4.73112e+06,39.28,-0.00286659,823687,60530.5,747155,290742,199139,19.072,147470,68971.4,10.4353,485.281,60.7589,224592
7.5,-0.00286856,4.73112e+06,39.1232,-0.00304818,821771,60403.7,747158,293738,199171,18.9976,148321,70167,10.5275,496.634,60.7335,223865
7.6,-0.00375053,4.73112e+06,38.9671,-0.00252118,819867,60269.2,747160,296709,199205,18.9238,149132,71360,10.6185,507.991,60.7083,223158
7.7,-0.00411452,4.73112e+06,38.8115,-0.00230369,817975,60127.4,747163,299654,199242,18.8506,149902,72550.3,10.7081,519.347,60.6832,222473
7.8,-0.00264244,4.73112e+06,38.6565,-0.00318329,816095,59978.6,747165,302573,199281,18.7779,150633,73737.7,10.7966,530.699,60.6582,221808
7.9,-0.00205011,4.73112e+06,38.5022,-0.00353722,814226,59823.1,747168,305467,199322,18.7058,151325,74922.2,10.8837,542.042,60.6333,221163
8,-0.0028796,4.73112e+06,38.3485,-0.00304158,812370,59661.2,747170,308335,199366,18.6342,151979,76103.5,10.9697,553.374,60.6086,220536
8.1,-0.00265752,4.73112e+06,38.1954,-0.00317427,810525,59493.3,747173,311178,199412,18.5632,152596,77281.7,11.0544,564.69,60.584,219929
8.2,-0.00238538,4.73112e+06,38.0429,-0.00333688,808692,59319.6,747175,313997,199459,18.4926,153176,78456.5,11.1379,575.986,60.5594,219339
8.3,-0.00426391,4.73112e+06,37.8911,-0.00221442,806871,59140.4,747177,316790,199509,18.4225,153721,79628,11.2202,587.26,60.5349,218767
8.4,-0.00538111,4.73112e+06,37.7399,-0.00154687,805061,58956,747180,319558,199561,18.3529,154231,80795.9,11.3014,598.508,60.5105,218211
8.5,-0.00290066,4.73112e+06,37.5892,-0.00302899,803262,58766.7,747182,322302,199614,18.2837,154706,81960.2,11.3814,609.726,60.4859,217673
8.6,-0.00172153,4.73112e+06,37.439,-0.00373355,801474,58572.6,747185,325022,199669,18.215,155148,83120.8,11.4602,620.912,60.4614,217150
8.7,-0.00220648,4.73112e+06,37.2896,-0.00344378,799698,58374.1,747187,327717,199725,18.1467,155557,84277.6,11.5379,632.062,60.4369,216642
8.8,-0.00199959,4.73112e+06,37.1407,-0.00356741,797932,58171.3,747189,330388,199783,18.0789,155934,85430.6,11.6144,643.173,60.4124,216150
8.9,-0.00196351,4.73112e+06,36.9925,-0.00358896,796178,57964.5,747192,333035,199843,18.0114,156280,86579.6,11.6898,654.243,60.3878,215672
9,-0.00205139,4.73112e+06,36.8448,-0.00353645,794434,57753.9,747194,335658,199904,17.9444,156596,87724.6,11.7642,665.269,60.3632,215208
9.1,-0.00192978,4.73112e+06,36.6977,-0.00360912,792702,57539.7,747196,338257,199966,17.8777,156881,88865.5,11.8374,676.248,60.3385,214758
9.2,-0.00166516,4.73112e+06,36.5512,-0.00376724,790980,57322.1,747199,340833,200029,17.8115,157138,90002.3,11.9095,687.177,60.3137,214321
9.3,-0.00147694,4.73112e+06,36.4053,-0.0038797,789269,57101.3,747201,343385,200094,17.7456,157366,91134.9,11.9806,698.054,60.2889,213897
9.4,-0.00144699,4.73112e+06,36.26,-0.0038976,787568,56877.5,747203,345914,200159,17.68,157566,92263.2,12.0506,708.877,60.2639,213486
9.5,-0.00148237,4.73112e+06,36.1152,-0.00387646,785878,56650.9,747206,348420,200226,17.6149,157739,93387.1,12.1195,719.642,60.2388,213087
9.6,-0.00148742,4.73112e+06,35.971,-0.00387344,784198,56421.6,747208,350902,200294,17.5501,157885,94506.7,12.1874,730.349,60.2136,212700
9.7,-0.00145714,4.73112e+06,35.8274,-0.00389153,782529,56189.8,747210,353362,200363,17.4856,158006,95621.9,12.2543,740.994,60.1883,212324
9.8,-0.00139756,4.73112e+06,35.6844,-0.00392713,780869,55955.6,747213,355799,200432,17.4214,158102,96732.6,12.3201,751.575,60.1628,211959
9.9,-0.001311,4.73112e+06,35.542,-0.00397885,779220,55719.3,747215,358213,200503,17.3576,158174,97838.8,12.3849,762.091,60.1371,211606
10,-0.00125208,4.73112e+06,35.4001,-0.00401406,777581,55480.9,747217,360605,200574,17.2941,158221,98940.4,12.4487,772.54,60.1113,211262
10.1,-0.00121661,4.73112e+06,35.2587,-0.00403525,775953,55240.7,747219,362974,200646,17.231,158246,100037,12.5115,782.919,60.0853,210929
10.2,-0.00120658,4.73112e+06,35.118,-0.00404125,774334,54998.7,747222,365320,200719,17.1681,158247,101130,12.5734,793.228,60.0591,210605
10.3,-0.0012145,4.73112e+06,34.9778,-0.00403652,772725,54755,747224,367645,200792,17.1055,158227,102218,12.6342,803.463,60.0328,210292
10.4,-0.0012341,4.73112e+06,34.8382,-0.0040248,771126,54509.9,747226,369948,200866,17.0432,158186,103301,12.6941,813.624,60.0062,209987
10.5,-0.00129001,4.73112e+06,34.6991,-0.0039914,769536,54263.3,747228,372228,200941,16.9813,158124,104379,12.7531,823.709,59.9794,209692
