Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,66.1528,946060,2.26708,0.0410537,999997,2.56247,464390,1.91836,306464,0.185613,0.126058,0.0254285,0.000537238,3.10411e-06,0.856492,132722
0.2,71.5689,881389,4.20276,0.083772,999990,9.73194,421691,8.6704,345976,0.723661,1.06955,0.217567,0.00424512,5.22701e-05,1.46967,142077
0.3,77.2702,817615,5.78398,0.116117,999979,20.6801,379581,20.3876,373632,1.53492,3.69606,0.758285,0.0138488,0.000272252,1.97946,156901
0.4,83.2852,762179,7.02448,0.137435,999965,34.5816,342975,36.1299,392997,2.51377,8.76002,1.81292,0.0312244,0.00086838,2.38799,175478
0.5,89.6473,718086,7.96325,0.151234,999948,50.6834,313858,54.7091,406563,3.56052,16.8303,3.51436,0.0573257,0.002111,2.70548,196309
0.6,96.3929,685193,8.65116,0.159622,999930,68.3444,292137,75.1394,416071,4.59649,28.2845,5.96051,0.0923208,0.00431559,2.94643,218360
0.7,103.56,661776,9.14046,0.164009,999910,87.0477,276672,96.7404,422743,5.56765,43.3342,9.21809,0.135802,0.00782442,3.12633,241013
0.8,111.189,645659,9.47861,0.166961,999889,106.394,266029,119.081,427431,6.44222,62.0609,13.3289,0.186997,0.0129917,3.25942,263855
0.9,119.318,634814,9.70591,0.168816,999868,126.085,258868,141.892,430738,7.20596,84.4504,18.316,0.244926,0.020177,3.35799,286693
1,127.99,627634,9.85414,0.170416,999846,145.907,254126,165.009,433081,7.85726,110.422,24.1889,0.308557,0.0297315,3.43182,309426
1.1,137.243,622986,9.94658,0.171942,999824,165.719,251057,188.331,434738,8.40184,139.862,30.9481,0.376943,0.0419747,3.48811,332028
1.2,147.119,620019,10.0017,0.173638,999802,185.419,249098,211.79,435917,8.84987,172.626,38.5886,0.449173,0.0572256,3.53261,354504
1.3,157.661,618126,10.0331,0.175617,999780,204.94,247849,235.342,436770,9.21369,208.557,47.102,0.524419,0.0757923,3.56962,376883
1.4,168.913,616915,10.0503,0.177993,999757,224.24,247049,258.962,437400,9.50618,247.494,56.4776,0.601978,0.0979608,3.60214,399207
1.5,180.922,616134,10.0597,0.180731,999735,243.297,246534,282.641,437877,9.73967,289.276,66.7037,0.681267,0.123998,3.63219,421522
1.6,193.735,615631,10.0651,0.18406,999713,262.103,246202,306.377,438250,9.92529,333.745,77.768,0.761809,0.154153,3.66106,443890
1.7,207.401,615306,10.0688,0.187384,999690,280.656,245988,330.174,438552,10.0726,380.75,89.6584,0.843223,0.188657,3.68951,466331
1.8,221.972,615098,10.072,0.191634,999668,298.957,245851,354.038,438807,10.1896,430.148,102.364,0.925207,0.227725,3.71793,488914
1.9,237.503,614966,10.075,0.196028,999646,317.01,245764,377.973,439032,10.2828,481.802,115.872,1.00752,0.271557,3.74654,511679
2,254.049,614882,10.0782,0.20078,999623,334.817,245709,401.985,439239,10.3572,535.582,130.173,1.08999,0.320338,3.77545,534658
2.1,271.673,614829,10.0816,0.20593,999601,352.383,245675,426.078,439437,10.4171,591.363,145.257,1.17245,0.374239,3.80473,557879
2.2,290.435,614795,10.0852,0.211299,999578,369.713,245653,450.256,439633,10.4656,649.029,161.112,1.25481,0.433417,3.83438,581364
2.3,310.401,614774,10.0889,0.217318,999556,386.808,245639,474.522,439831,10.5053,708.466,177.73,1.33697,0.498019,3.86441,605156
2.4,331.642,614760,10.0925,0.223068,999534,403.673,245631,498.876,440034,10.5382,769.568,195.101,1.41887,0.568176,3.8948,629241
2.5,354.227,614750,10.0961,0.230221,999511,420.311,245625,523.322,440246,10.5658,832.233,213.215,1.50046,0.644013,3.92564,653738
2.6,378.232,614744,10.0994,0.236764,999489,436.724,245622,547.86,440469,10.5893,896.363,232.065,1.5817,0.725641,3.95676,678522
2.7,403.737,614740,10.1025,0.243736,999466,452.916,245620,572.49,440704,10.6096,961.866,251.64,1.66256,0.813158,3.98827,703671
2.8,430.823,614737,10.1055,0.251235,999444,468.888,245618,597.214,440953,10.6274,1028.65,271.934,1.74303,0.906658,4.02023,729251
2.9,459.575,614735,10.1082,0.258701,999422,484.644,245617,622.031,441218,10.6433,1096.64,292.937,1.82307,1.00622,4.05254,755177
3,490.083,614733,10.1107,0.266712,999399,500.186,245617,646.944,441499,10.6578,1165.75,314.641,1.90269,1.11192,4.08526,781495
3.1,522.437,614731,10.1131,0.27515,999377,515.516,245617,671.951,441798,10.6712,1235.91,337.04,1.98188,1.22383,4.1184,808211
3.2,556.736,614730,10.1152,0.283863,999354,530.637,245616,697.054,442116,10.6838,1307.04,360.124,2.06062,1.34199,4.15198,835335
3.3,593.078,614728,10.1172,0.292891,999332,545.552,245616,722.253,442455,10.6959,1379.07,383.888,2.13893,1.46646,4.186,862877
3.4,631.57,614726,10.119,0.302245,999309,560.264,245616,747.549,442815,10.7076,1451.94,408.325,2.21679,1.59728,4.22048,890836
3.5,672.313,614725,10.1207,0.312044,999287,574.773,245616,772.942,443198,10.7191,1525.59,433.426,2.29421,1.73448,4.25543,919222
3.6,715.424,614723,10.1223,0.322039,999265,589.084,245616,798.433,443605,10.7305,1599.97,459.187,2.37119,1.8781,4.29082,948013
3.7,761.009,614721,10.1238,0.332308,999242,603.199,245616,824.023,444037,10.7421,1675,485.601,2.44773,2.02817,4.32667,977212
3.8,809.191,614720,10.1251,0.343134,999220,617.12,245616,849.711,444496,10.7538,1750.65,512.661,2.52384,2.18469,4.36299,1.00683e+06
3.9,860.084,614718,10.1263,0.35452,999197,630.849,245616,875.497,444983,10.7658,1826.86,540.362,2.59952,2.34769,4.39978,1.03688e+06
4,913.818,614716,10.1275,0.366263,999175,644.389,245616,901.383,445499,10.7781,1903.59,568.699,2.67478,2.51718,4.43705,1.06734e+06
4.1,970.516,614714,10.1285,0.378348,999152,657.743,245616,927.368,446047,10.7909,1980.79,597.666,2.74962,2.69315,4.4748,1.09822e+06
4.2,1030.31,614711,10.1295,0.390563,999130,670.913,245616,953.451,446627,10.804,2058.43,627.26,2.82405,2.87562,4.51296,1.12947e+06
4.3,1093.33,614709,10.1303,0.403072,999107,683.901,245616,979.634,447242,10.8178,2136.47,657.474,2.89807,3.06456,4.55154,1.16109e+06
4.4,1159.72,614707,10.1312,0.416372,999085,696.709,245616,1005.91,447892,10.832,2214.87,688.306,2.97171,3.25999,4.59055,1.19309e+06
4.5,1229.61,614704,10.1319,0.430231,999062,709.341,245616,1032.29,448581,10.847,2293.61,719.751,3.04495,3.46188,4.62998,1.22544e+06
4.6,1303.15,614702,10.1326,0.444312,999040,721.797,245616,1058.77,449309,10.8626,2372.66,751.806,3.11782,3.67023,4.66979,1.25814e+06
4.7,1380.47,614699,10.1332,0.45881,999017,734.082,245616,1085.33,450078,10.8789,2451.98,784.467,3.19032,3.88502,4.70998,1.29116e+06
4.8,1461.72,614696,10.1338,0.473856,998995,746.196,245616,1112,450891,10.896,2531.57,817.733,3.26245,4.10622,4.75052,1.32449e+06
4.9,1547.05,614693,10.1343,0.489322,998972,758.142,245616,1138.75,451750,10.914,2611.39,851.6,3.33424,4.33383,4.79138,1.3581e+06
5,1636.61,614690,10.1348,0.50515,998950,769.923,245616,1165.6,452656,10.9329,2691.43,886.067,3.40568,4.56781,4.83253,1.39196e+06
5.1,1730.54,614687,10.1352,0.521597,998928,781.54,245616,1192.53,453613,10.9527,2771.68,921.132,3.47679,4.80815,4.87397,1.42607e+06
5.2,1829,614683,10.1356,0.538765,998905,792.995,245616,1219.55,454621,10.9735,2852.11,956.793,3.54759,5.05482,4.91566,1.46041e+06
5.3,1932.13,614680,10.1359,0.556126,998883,804.292,245616,1246.65,455683,10.9954,2932.73,993.05,3.61807,5.30779,4.95754,1.49491e+06
5.4,2040.08,614676,10.1362,0.573705,998860,815.432,245616,1273.83,456803,11.0184,3013.52,1029.9,3.68826,5.56704,4.99957,1.52955e+06
