Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,200000
0.1,74.2658,982671,1.48558,0.0142311,999999,1.11757,521110,4.73028,212781,0.0909009,0.0407003,0.00821304,0.000274273,1.0446e-06,5.422,200095
0.2,89.6325,971889,3.04785,0.036901,999995,4.50175,534234,21.7159,186766,0.310838,0.292538,0.0595761,0.00194335,1.52726e-05,6.37737,200482
0.3,107.197,965976,4.64478,0.0681249,999989,10.1552,541423,55.0896,168585,0.604847,0.900906,0.185175,0.00585962,7.12746e-05,7.36418,201283
0.4,127.018,963074,6.22357,0.108544,999981,18.0082,544939,108.563,155885,0.93956,1.97294,0.409316,0.0124929,0.000209869,8.35363,202631
0.5,149.133,961797,7.72582,0.157801,999970,27.9096,546477,184.976,147013,1.29344,3.59675,0.753161,0.0220794,0.000481108,9.31341,204655
0.6,173.583,961284,9.09562,0.214574,999957,39.6258,547083,285.86,140822,1.65127,5.84745,1.23585,0.0346957,0.000942889,10.212,207464
0.7,200.437,961097,10.2875,0.276765,999942,52.8534,547294,411.225,136514,2.00119,8.78696,1.87437,0.0502992,0.00165964,11.0235,211128
0.8,229.824,961038,11.2738,0.34196,999926,67.2448,547352,559.574,133526,2.33312,12.4619,2.68303,0.0687553,0.00270068,11.7312,215673
0.9,261.949,961026,12.0476,0.407933,999908,82.4382,547355,728.18,131465,2.63893,16.9019,3.67298,0.0898521,0.00413867,12.3303,221078
1,297.101,961026,12.6219,0.473151,999889,98.091,547345,913.613,130052,2.91286,22.119,4.85202,0.113318,0.0060478,12.827,227284
1.1,335.641,961028,13.024,0.536948,999869,113.904,547337,1112.3,129098,3.1517,28.1081,6.22454,0.138844,0.00850214,13.2359,234212
1.2,377.987,961027,13.2883,0.599504,999849,129.637,547334,1321.04,128467,3.35474,34.8501,7.79205,0.166109,0.0115739,13.5756,241775
1.3,424.604,961024,13.4523,0.661307,999828,145.113,547334,1537.19,128065,3.52355,42.3144,9.55355,0.194794,0.0153323,13.8669,249891
1.4,475.967,961023,13.5468,0.724401,999807,160.213,547332,1758.89,127831,3.66119,50.4624,11.5063,0.224604,0.0198428,14.127,258491
1.5,532.577,961024,13.5983,0.788606,999787,174.869,547329,1984.88,127719,3.77188,59.2515,13.6463,0.255276,0.0251663,14.3705,267515
1.6,594.957,961026,13.6308,0.854323,999766,189.05,547325,2214.37,127698,3.86064,68.6374,15.969,0.286595,0.0313587,14.6105,276895
1.7,663.593,961025,13.6482,0.924482,999745,202.751,547325,2447.13,127745,3.93157,78.5768,18.4698,0.318386,0.0384711,14.8488,286598
1.8,739.003,961025,13.6581,0.998247,999724,215.97,547324,2682.96,127847,3.98821,89.027,21.1439,0.350505,0.0465502,15.0888,296576
1.9,821.724,961024,13.6651,1.07701,999703,228.718,547324,2921.78,127995,4.03381,99.9468,23.9864,0.382841,0.0556381,15.3325,306788
2,912.297,961023,13.67,1.16072,999682,241.009,547324,3163.59,128182,4.07094,111.298,26.9927,0.415308,0.0657726,15.5796,317201
2.1,1011.28,961022,13.674,1.24884,999661,252.858,547324,3408.37,128406,4.10166,123.043,30.1584,0.447842,0.0769874,15.8289,327733
2.2,1119.25,961020,13.6774,1.34413,999640,264.278,547324,3656.1,128664,4.12758,135.148,33.4792,0.480393,0.0893127,16.0798,338347
2.3,1236.79,961019,13.6803,1.44489,999618,275.286,547324,3906.75,128955,4.14998,147.582,36.9512,0.512926,0.102775,16.3313,348995
2.4,1364.49,961018,13.6828,1.55077,999597,285.895,547324,4160.26,129281,4.16986,160.315,40.5708,0.545415,0.117397,16.582,359610
2.5,1502.95,961016,13.6849,1.66531,999576,296.119,547324,4416.57,129642,4.18799,173.32,44.3345,0.577841,0.133201,16.8301,370118
2.6,1652.76,961015,13.6867,1.78848,999555,305.973,547324,4675.56,130039,4.20501,186.572,48.2391,0.610193,0.150202,17.0748,380477
2.7,1814.51,961013,13.6882,1.91889,999534,315.468,547324,4937.11,130475,4.22141,200.05,52.2819,0.642464,0.168417,17.3143,390614
2.8,1988.79,961011,13.6895,2.05729,999513,324.619,547324,5201.06,130951,4.23759,213.733,56.4604,0.674651,0.187858,17.5477,400478
2.9,2176.16,961009,13.6905,2.20645,999492,333.436,547324,5467.25,131469,4.25389,227.603,60.7722,0.706754,0.208537,17.7732,410000
3,2377.16,961007,13.6914,2.3659,999471,341.932,547324,5735.48,132033,4.27059,241.645,65.2154,0.738775,0.230462,17.99,419137
3.1,2592.32,961005,13.6921,2.53717,999450,350.119,547324,6005.52,132646,4.28793,255.843,69.7884,0.770721,0.253642,18.1964,427822
3.2,2822.13,961003,13.6926,2.71862,999429,358.007,547324,6277.12,133309,4.30612,270.187,74.4899,0.802598,0.278082,18.3914,436000
3.3,3067.03,961000,13.6929,2.91373,999408,365.607,547324,6550.03,134026,4.32534,284.667,79.3188,0.834414,0.303788,18.5746,443660
3.4,3327.43,960998,13.6932,3.1215,999387,372.93,547324,6823.96,134800,4.34576,299.275,84.2745,0.866181,0.330764,18.7449,450756
3.5,3603.68,960995,13.6933,3.34331,999366,379.984,547324,7098.62,135635,4.36752,314.004,89.3567,0.897908,0.359013,18.9019,457266
3.6,3896.1,960992,13.6932,3.57996,999345,386.781,547324,7373.7,136533,4.39078,328.85,94.5652,0.929609,0.388539,19.0453,463177
3.7,4204.91,960989,13.6931,3.83207,999324,393.328,547324,7648.9,137499,4.41567,343.812,99.9004,0.961299,0.419344,19.175,468488
3.8,4530.29,960986,13.6929,4.10022,999303,399.636,547324,7923.9,138535,4.44233,358.887,105.363,0.99299,0.451431,19.2912,473208
3.9,4872.25,960982,13.6925,4.38483,999282,405.712,547324,8198.39,139645,4.47087,374.079,110.954,1.0247,0.484802,19.3945,477362
4,5231.01,960979,13.6921,4.68654,999261,411.565,547324,8472.07,140833,4.50143,389.386,116.675,1.05645,0.51946,19.485,480954
4.1,5606.35,960975,13.6916,5.00586,999240,417.202,547324,8744.63,142103,4.53415,404.817,122.526,1.08825,0.555409,19.564,484049
4.2,5998.32,960971,13.691,5.34335,999219,422.633,547324,9015.79,143459,4.56913,420.371,128.511,1.12012,0.59265,19.6322,486669
4.3,6406.72,960967,13.6902,5.69848,999197,427.863,547324,9285.26,144904,4.60652,436.058,134.63,1.15208,0.631189,19.6903,488853
4.4,6831.24,960962,13.6894,6.07038,999176,432.901,547324,9552.79,146442,4.64643,451.885,140.888,1.18416,0.671029,19.7394,490645
4.5,7271.7,960958,13.6885,6.45955,999155,437.753,547324,9818.1,148078,4.68899,467.86,147.285,1.21636,0.712176,19.7805,492090
4.6,7727.43,960953,13.6882,6.86691,999134,442.427,547324,10081,149816,4.73439,483.998,153.827,1.24873,0.754638,19.8158,493268
4.7,8198.24,960948,13.6886,7.29238,999113,446.931,547324,10341.3,151659,4.78275,500.305,160.515,1.28128,0.798418,19.8463,494223
4.8,8683.45,960943,13.6872,7.73166,999092,451.267,547324,10598.7,153614,4.83413,516.798,167.355,1.31402,0.843527,19.8709,494964
4.9,9182.46,960938,13.6846,8.18511,999071,455.442,547324,10853,155683,4.88867,533.491,174.349,1.347,0.889974,19.8907,495534
5,9694.51,960932,13.6837,8.65562,999050,459.463,547324,11104,157873,4.94651,550.4,181.504,1.38024,0.937772,19.9086,495985
5.1,10218.8,960927,13.6822,9.13946,999029,463.334,547324,11351.7,160186,5.00781,567.542,188.824,1.41376,0.986932,19.9241,496345
5.2,10754.5,960921,13.681,9.63585,999008,467.061,547324,11595.9,162629,5.07274,584.936,196.314,1.44759,1.03747,19.9382,496641
5.3,11300.7,960916,13.6809,10.1438,998987,470.65,547324,11836.4,165205,5.14148,602.601,203.98,1.48177,1.0894,19.9516,496888
5.4,11856.4,960910,13.678,10.6627,998966,474.105,547324,12073.1,167920,5.21408,620.556,211.828,1.51632,1.14275,19.9624,497098
5.5,12420.7,960904,13.6778,11.1911,998945,477.433,547324,12306,170778,5.29083,638.824,219.864,1.55128,1.19753,19.9741,497279
5.6,12992.5,960898,13.6824,11.7279,998924,480.641,547324,12534.9,173785,5.37197,657.426,228.095,1.58668,1.25376,19.988,497438
5.7,13570.6,960892,13.6766,12.2733,998903,483.728,547324,12759.6,176944,5.45737,676.385,236.528,1.62255,1.31147,19.9952,497580
5.8,14154,960885,13.6723,12.8246,998882,486.697,547324,12980.2,180262,5.54723,695.727,245.171,1.65893,1.37069,20.0028,497706
5.9,14741.6,960879,13.6717,13.3807,998861,489.555,547324,13196.4,183742,5.6417,715.475,254.031,1.69586,1.43144,20.0119,497819
6,15332.2,960873,13.6688,13.9419,998840,492.303,547324,13408.2,187390,5.74096,735.655,263.115,1.73337,1.49376,20.0195,497921
6.1,15924.7,960867,13.6691,14.5059,998819,494.95,547324,13615.6,191210,5.8453,756.293,272.434,1.7715,1.55767,20.0286,498013
6.2,16517.8,960860,13.6694,15.072,998798,497.498,547324,13818.5,195207,5.95481,777.417,281.994,1.81029,1.62322,20.0373,498096
6.3,17110.4,960854,13.6623,15.6395,998777,499.947,547324,14016.8,199386,6.06955,799.054,291.806,1.84979,1.69045,20.0415,498173
6.4,17701.4,960848,13.6646,16.2056,998756,502.304,547324,14210.5,203752,6.18978,821.233,301.878,1.89002,1.75938,20.0506,498244
