Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,65.8595,877266,0.775642,0.0106039,999999,0.605832,479030,0.467281,214343,0.049639,0.0226311,0.00456732,0.000152632,5.88355e-07,2.35931,130706
0.2,70.6684,774462,1.41374,0.0220425,999998,2.25389,461465,1.87604,189415,0.157396,0.153868,0.0313508,0.00102135,8.25024e-06,2.80388,133145
0.3,75.4477,695878,1.92778,0.0320035,999995,4.70846,448037,4.17786,171981,0.283809,0.450088,0.0925991,0.00292003,3.68368e-05,3.1915,137161
0.4,80.2253,639431,2.33746,0.0402522,999992,7.76795,438392,7.28818,159784,0.409445,0.937412,0.194789,0.00590889,0.000104106,3.53106,142495
0.5,85.0308,600873,2.66333,0.0468912,999988,11.2692,431803,11.1186,151257,0.525747,1.62832,0.3418,0.00992984,0.000229547,3.83196,148885
0.6,89.8921,575614,2.92381,0.0521578,999984,15.0838,427486,15.5902,145290,0.629618,2.5293,0.536373,0.0148788,0.000433391,4.10263,156096
0.7,94.8337,559640,3.13391,0.0563344,999979,19.1135,424755,20.6369,141113,0.72077,3.64354,0.780625,0.020639,0.000736204,4.34994,163935
0.8,99.8774,549840,3.30512,0.059682,999974,23.284,423080,26.2041,138191,0.800132,4.97186,1.07621,0.0270976,0.00115861,4.57915,172251
0.9,105.042,543977,3.44597,0.0623906,999969,27.539,422078,32.2461,136154,0.86909,6.51328,1.42442,0.0341524,0.00172108,4.7941,180932
1,110.345,540547,3.56269,0.0646622,999964,31.8348,421491,38.7235,134736,0.929006,8.26522,1.82622,0.041715,0.00244377,4.99758,189894
1.1,115.802,538593,3.6598,0.0664904,999958,36.137,421157,45.6019,133750,0.981056,10.2233,2.28218,0.0497091,0.00334633,5.19154,199067
1.2,121.428,537508,3.74069,0.0683914,999952,40.4185,420971,52.85,133067,1.02627,12.3816,2.79256,0.0580683,0.00444776,5.37772,208424
1.3,127.239,536948,3.80796,0.0693361,999946,44.6575,420875,60.4399,132594,1.06553,14.733,3.35728,0.0667349,0.00576628,5.55677,217891
1.4,133.248,536653,3.86378,0.0709206,999941,48.8368,420824,68.3455,132269,1.09963,17.2694,3.97602,0.0756585,0.00731923,5.72988,227456
1.5,139.471,536496,3.90989,0.0721369,999935,52.9426,420797,76.5437,132047,1.12919,19.9814,4.6482,0.0847954,0.00912293,5.89816,237118
1.6,145.922,536414,3.94776,0.0731403,999929,56.9641,420783,85.0139,131899,1.15476,22.8592,5.37302,0.094107,0.0111927,6.06217,246850
