Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,67.9875,896751,0.786081,0.00536711,999999,0.527952,458323,0.720937,254222,0.0554595,0.0227535,0.004592,0.000167727,5.90946e-07,3.07179,130350
0.2,75.6117,815059,1.52148,0.0124008,999998,2.04179,425346,2.95015,257190,0.202448,0.175325,0.0356957,0.00123439,9.01534e-06,3.67648,131665
0.3,83.9195,756725,2.21258,0.020164,999995,4.44403,401797,6.77102,259281,0.416099,0.573797,0.117847,0.00387086,4.40729e-05,4.26687,134077
0.4,92.9591,718130,2.86841,0.0285812,999992,7.65128,386216,12.2962,260758,0.677171,1.31995,0.273459,0.00855439,0.000134972,4.85193,137681
0.5,102.781,694320,3.49766,0.037544,999988,11.5939,376602,19.6934,261810,0.971186,2.50393,0.523329,0.0156193,0.00032084,5.4401,142561
0.6,113.434,680580,4.10658,0.0469192,999983,16.2148,371054,29.1758,262566,1.28766,4.20407,0.886437,0.0252899,0.000648412,6.03753,148778
0.7,124.969,673143,4.69817,0.0565543,999977,21.4655,368050,40.9866,263118,1.61903,6.48857,1.38027,0.0377086,0.00117157,6.64737,156368
0.8,137.437,669363,5.27227,0.0662867,999970,27.3011,366521,55.3785,263528,1.95961,9.4169,2.021,0.052958,0.00195033,7.26978,165343
0.9,150.89,667535,5.82635,0.0759562,999962,33.6769,365781,72.5919,263840,2.30477,13.0405,2.82362,0.0710759,0.00304977,7.90254,175687
1,165.383,666692,6.35628,0.0854312,999954,40.5448,365439,92.8363,264084,2.65037,17.4031,3.80186,0.0920633,0.00453921,8.5417,187362
1.1,180.974,666329,6.85721,0.0945743,999945,47.8524,365290,116.277,264284,2.99254,22.5406,4.96819,0.115888,0.0064914,9.18233,200307
1.2,197.729,666205,7.32431,0.103372,999936,55.5424,365238,143.026,264455,3.32757,28.4804,6.33359,0.142484,0.00898175,9.81929,214453
1.3,215.716,666190,7.75342,0.111415,999926,63.5537,365230,173.138,264609,3.65197,35.2414,7.9075,0.171756,0.0120875,10.4473,229692
1.4,235.013,666222,8.14129,0.119623,999915,71.8224,365241,206.609,264753,3.96252,42.8339,9.69773,0.203578,0.0158867,11.0626,245966
1.5,255.706,666241,8.48604,0.12706,999904,80.2836,365248,243.38,264892,4.25637,51.2593,11.7104,0.2378,0.0204576,11.6623,263198
1.6,277.89,666243,8.78697,0.133911,999892,88.8727,365247,283.344,265032,4.53111,60.511,13.95,0.27425,0.0258775,12.244,281288
1.7,301.671,666241,9.0447,0.140797,999880,97.5277,365245,326.352,265175,4.7849,70.5743,16.4192,0.312738,0.0322222,12.8064,300156
1.8,327.164,666243,9.26107,0.146708,999868,106.19,365245,372.228,265323,5.01646,81.4276,19.1194,0.353061,0.0395651,13.35,319744
1.9,354.493,666245,9.43902,0.152774,999855,114.807,365245,420.782,265479,5.22517,93.0425,22.0502,0.395012,0.0479767,13.8745,339913
2,383.795,666244,9.58231,0.158581,999842,123.331,365245,471.818,265644,5.411,105.386,25.2102,0.438379,0.0575236,14.3829,360680
2.1,415.214,666244,9.69523,0.164066,999830,131.724,365244,525.15,265820,5.57452,118.419,28.5967,0.482958,0.0682687,14.8785,382028
2.2,448.904,666244,9.78233,0.169582,999816,139.951,365244,580.61,266007,5.71679,132.103,32.2063,0.528551,0.0802704,15.363,403858
2.3,485.028,666244,9.84813,0.175365,999803,147.989,365243,638.049,266208,5.83928,146.392,36.0346,0.574972,0.0935826,15.8398,426177
2.4,523.757,666244,9.8969,0.181257,999790,155.819,365243,697.345,266424,5.94376,161.243,40.0769,0.622051,0.108254,16.3127,448993
2.5,565.269,666243,9.9325,0.186919,999777,163.427,365243,758.403,266655,6.03219,176.612,44.3279,0.669637,0.12433,16.7832,472226
2.6,609.749,666243,9.95822,0.193102,999763,170.807,365243,821.153,266904,6.10661,192.453,48.7822,0.717595,0.141848,17.2562,496009
2.7,657.391,666243,9.97675,0.199161,999750,177.956,365243,885.553,267171,6.16901,208.725,53.4344,0.76581,0.160845,17.7327,520273
2.8,708.394,666243,9.99021,0.205653,999736,184.874,365243,951.575,267458,6.22131,225.384,58.279,0.814185,0.181351,18.2141,545003
2.9,762.965,666243,10.0002,0.211665,999723,191.562,365243,1019.21,267765,6.26526,242.392,63.3106,0.862638,0.203391,18.7025,570242
3,821.32,666243,10.0078,0.219103,999710,198.026,365243,1088.45,268096,6.30241,259.711,68.5238,0.911103,0.226989,19.1985,595982
3.1,883.68,666243,10.0139,0.227019,999696,204.271,365243,1159.32,268451,6.33414,277.304,73.9137,0.959529,0.252161,19.7035,622267
3.2,950.274,666242,10.0189,0.234531,999683,210.303,365243,1231.82,268831,6.36158,295.14,79.4753,1.00787,0.278923,20.2181,649093
3.3,1021.35,666242,10.0231,0.242646,999669,216.128,365243,1305.98,269239,6.38572,313.185,85.2039,1.0561,0.307287,20.7427,676476
3.4,1097.19,666242,10.0268,0.251133,999656,221.754,365242,1381.82,269677,6.40745,331.408,91.0945,1.10419,0.337262,21.2778,704431
3.5,1178.02,666242,10.0301,0.259971,999642,227.187,365242,1459.38,270145,6.42731,349.785,97.1433,1.15212,0.368851,21.8236,732966
3.6,1264.1,666242,10.0331,0.26918,999629,232.432,365242,1538.66,270647,6.44579,368.293,103.347,1.19988,0.402057,22.3802,762087
3.7,1355.71,666241,10.0357,0.278757,999615,237.496,365242,1619.7,271184,6.46336,386.908,109.701,1.24747,0.436881,22.9479,791800
3.8,1453.04,666241,10.0381,0.288706,999602,242.383,365242,1702.51,271758,6.48027,405.617,116.203,1.29487,0.473321,23.5267,822106
3.9,1556.4,666241,10.0402,0.299035,999588,247.1,365242,1787.12,272372,6.4969,424.396,122.85,1.3421,0.511374,24.1167,853008
4,1666.07,666241,10.0421,0.309747,999575,251.654,365242,1873.56,273026,6.51348,443.229,129.639,1.38914,0.551035,24.7178,884503
4.1,1782.34,666240,10.0438,0.32085,999561,256.048,365242,1961.85,273725,6.53026,462.1,136.566,1.43599,0.592299,25.33,916591
4.2,1905.51,666240,10.0455,0.332362,999548,260.289,365242,2052,274471,6.54743,480.994,143.63,1.48266,0.635157,25.9534,949264
4.3,2035.86,666240,10.0471,0.34428,999534,264.383,365242,2144.05,275266,6.56511,499.903,150.827,1.52917,0.679597,26.5877,982513
4.4,2173.7,666240,10.0487,0.356613,999521,268.334,365242,2238,276112,6.58349,518.814,158.157,1.5755,0.725611,27.2328,1.01633e+06
4.5,2319.29,666239,10.0504,0.369369,999507,272.147,365242,2333.88,277014,6.60273,537.716,165.616,1.62167,0.77319,27.8887,1.05071e+06
4.6,2472.94,666239,10.0513,0.382555,999494,275.827,365242,2431.69,277974,6.62278,556.607,173.204,1.6677,0.822318,28.5543,1.08562e+06
4.7,2634.91,666239,10.0518,0.39618,999480,279.378,365242,2531.45,278995,6.64383,575.474,180.919,1.71358,0.872986,29.2296,1.12107e+06
4.8,2805.49,666238,10.052,0.410243,999467,282.804,365242,2633.17,280079,6.66598,594.315,188.76,1.75932,0.92518,29.9146,1.15702e+06
4.9,2984.94,666238,10.0526,0.424742,999453,286.111,365242,2736.85,281232,6.68931,613.13,196.726,1.80495,0.978885,30.6089,1.19346e+06
5,3173.54,666238,10.0535,0.439683,999440,289.302,365242,2842.49,282455,6.71393,631.91,204.816,1.85046,1.03409,31.3125,1.23037e+06
5.1,3371.48,666237,10.0537,0.455105,999426,292.38,365242,2950.1,283753,6.73987,650.663,213.032,1.89587,1.09078,32.0238,1.2677e+06
5.2,3579.04,666237,10.0534,0.471009,999413,295.349,365242,3059.66,285129,6.76721,669.384,221.371,1.9412,1.14895,32.7425,1.30545e+06
5.3,3796.43,666237,10.0528,0.487394,999399,298.213,365242,3171.17,286586,6.79605,688.073,229.833,1.98646,1.20857,33.4684,1.34358e+06
5.4,4023.8,666236,10.0525,0.504224,999386,300.976,365242,3284.61,288130,6.82654,706.739,238.421,2.03166,1.26964,34.2009,1.38204e+06
5.5,4261.39,666236,10.0525,0.521511,999372,303.641,365242,3399.98,289763,6.85873,725.381,247.134,2.07681,1.33214,34.9397,1.42082e+06
5.6,4509.31,666235,10.0527,0.539276,999359,306.212,365242,3517.25,291491,6.89279,744.006,255.973,2.12193,1.39606,35.6837,1.45986e+06
5.7,4767.67,666235,10.0529,0.55753,999345,308.692,365242,3636.4,293317,6.92883,762.622,264.939,2.16705,1.4614,36.4322,1.49913e+06
5.8,5036.65,666235,10.0533,0.576271,999332,311.085,365242,3757.41,295245,6.96694,781.231,274.033,2.21217,1.52813,37.1844,1.53858e+06
5.9,5316.17,666234,10.0533,0.595474,999318,313.393,365242,3880.22,297281,7.0072,799.847,283.258,2.25732,1.59625,37.9389,1.57817e+06
6,5606.38,666234,10.0531,0.615146,999305,315.62,365242,4004.81,299428,7.04971,818.476,292.615,2.30251,1.66575,38.6951,1.61784e+06
6.1,5907.26,666233,10.0528,0.635305,999291,317.768,365242,4131.14,301691,7.09459,837.128,302.105,2.34776,1.73663,39.452,1.65756e+06
6.2,6218.7,666233,10.0528,0.655978,999278,319.84,365242,4259.15,304074,7.14197,855.817,311.733,2.3931,1.80887,40.2092,1.69727e+06
6.3,6540.76,666233,10.0531,0.677164,999264,321.839,365242,4388.79,306584,7.19194,874.549,321.499,2.43854,1.88248,40.9657,1.73693e+06
6.4,6873.12,666232,10.0531,0.698799,999251,323.767,365242,4520,309223,7.24456,893.343,331.408,2.48411,1.95744,41.7199,1.77648e+06
6.5,7215.73,666232,10.0525,0.72088,999237,325.626,365242,4652.71,311998,7.29995,912.209,341.462,2.52983,2.03375,42.4708,1.81586e+06
6.6,7568.43,666231,10.0517,0.743408,999224,327.419,365242,4786.86,314912,7.35822,931.161,351.664,2.57573,2.11142,43.2174,1.85503e+06
6.7,7930.76,666231,10.0515,0.766401,999210,329.149,365242,4922.36,317971,7.41953,950.217,362.019,2.62182,2.19044,43.9595,1.89393e+06
6.8,8302.63,666230,10.0518,0.789848,999197,330.817,365242,5059.15,321180,7.48398,969.39,372.53,2.66814,2.27081,44.6959,1.93251e+06
6.9,8683.55,666230,10.0519,0.813718,999183,332.426,365242,5197.14,324543,7.55167,988.696,383.201,2.7147,2.35254,45.4251,1.97071e+06
7,9073.11,666229,10.0515,0.837987,999170,333.978,365242,5336.23,328064,7.62268,1008.15,394.037,2.76155,2.43563,46.1457,2.00847e+06
7.1,9471.01,666229,10.0506,0.86265,999156,335.474,365242,5476.35,331749,7.69714,1027.78,405.042,2.80869,2.52008,46.8569,2.04575e+06
7.2,9876.46,666228,10.0499,0.887697,999143,336.916,365242,5617.38,335602,7.77516,1047.59,416.221,2.85617,2.60592,47.5582,2.08249e+06
7.3,10289.1,666228,10.0494,0.913114,999129,338.307,365242,5759.23,339627,7.85685,1067.61,427.579,2.90401,2.69314,48.2485,2.11865e+06
7.4,10708.4,666227,10.0486,0.938874,999116,339.648,365242,5901.8,343828,7.94226,1087.85,439.122,2.95224,2.78176,48.9265,2.15417e+06
7.5,11133.4,666227,10.0468,0.964937,999102,340.938,365242,6044.96,348209,8.03141,1108.34,450.854,3.00089,2.87179,49.5909,2.189e+06
7.6,11563.8,666226,10.0439,0.991288,999089,342.18,365242,6188.6,352774,8.1244,1129.08,462.782,3.04999,2.96324,50.2407,2.2231e+06
7.7,11998.5,666226,10.0421,1.0179,999075,343.377,365242,6332.64,357525,8.22151,1150.11,474.911,3.09957,3.05614,50.8769,2.25644e+06
7.8,12437,666225,10.042,1.04475,999062,344.531,365242,6476.97,362464,8.32286,1171.44,487.247,3.14967,3.1505,51.4991,2.28897e+06
7.9,12878.5,666225,10.0432,1.07181,999048,345.643,365242,6621.47,367595,8.42856,1193.1,499.796,3.20031,3.24634,52.1063,2.32066e+06
8,13321.8,666224,10.0431,1.09904,999035,346.715,365242,6766.04,372919,8.53859,1215.09,512.565,3.25154,3.3437,52.696,2.35147e+06
8.1,13766.4,666224,10.0422,1.12643,999021,347.749,365242,6910.56,378437,8.6531,1237.44,525.56,3.30338,3.44258,53.2681,2.38138e+06
8.2,14211.2,666223,10.0411,1.1539,999008,348.745,365242,7054.93,384150,8.77212,1260.18,538.787,3.35587,3.54301,53.8224,2.41036e+06
8.3,14655.3,666223,10.0407,1.18141,998994,349.705,365242,7199.04,390057,8.89565,1283.31,552.253,3.40905,3.64504,54.3591,2.43838e+06
8.4,15097.8,666222,10.0405,1.20892,998981,350.631,365242,7342.78,396159,9.02379,1306.86,565.964,3.46294,3.74867,54.8775,2.46543e+06
8.5,15537.6,666222,10.0393,1.23642,998967,351.522,365242,7486.03,402450,9.15636,1330.85,579.927,3.51759,3.85395,55.3767,2.49151e+06
8.6,15973.9,666222,10.0373,1.26385,998954,352.379,365242,7628.7,408929,9.29342,1355.29,594.148,3.57303,3.96091,55.8564,2.51658e+06
8.7,16405.6,666221,10.0352,1.29115,998940,353.205,365242,7770.68,415593,9.43499,1380.19,608.634,3.62929,4.06958,56.317,2.54066e+06
8.8,16831.7,666221,10.0354,1.31823,998927,354.002,365242,7911.94,422432,9.58114,1405.58,623.39,3.6864,4.18,56.7604,2.56373e+06
8.9,17251.2,666220,10.0378,1.34503,998913,354.772,365242,8052.35,429445,9.73186,1431.46,638.423,3.7444,4.2922,57.1862,2.58579e+06
9,17663.3,666220,10.0384,1.37158,998900,355.513,365242,8191.81,436618,9.8868,1457.85,653.738,3.80332,4.40623,57.5918,2.60686e+06
9.1,18066.8,666219,10.0358,1.39785,998887,356.224,365242,8330.24,443943,10.0458,1484.75,669.341,3.86318,4.52211,57.9763,2.62694e+06
9.2,18460.7,666219,10.0304,1.42379,998873,356.908,365242,8467.55,451412,10.2088,1512.18,685.237,3.92403,4.63989,58.34,2.64604e+06
9.3,18844.3,666218,10.0294,1.44914,998860,357.566,365242,8603.7,459008,10.3756,1540.14,701.431,3.98588,4.7596,58.6886,2.66417e+06
9.4,19216.6,666218,10.0312,1.47392,998846,358.2,365242,8738.63,466719,10.5462,1568.63,717.927,4.04877,4.8813,59.0213,2.68135e+06
9.5,19576.6,666218,10.0304,1.49827,998833,358.811,365242,8872.31,474524,10.7202,1597.65,734.728,4.11271,5.005,59.3346,2.69761e+06
9.6,19923.5,666217,10.0297,1.52196,998819,359.399,365242,9004.67,482406,10.8973,1627.19,751.837,4.17772,5.13077,59.6309,2.71296e+06
9.7,20256.5,666217,10.0291,1.5449,998806,359.966,365242,9135.7,490343,11.0773,1657.26,769.257,4.24383,5.25862,59.9104,2.72744e+06
9.8,20574.8,666217,10.0283,1.56713,998792,360.512,365242,9265.34,498313,11.2596,1687.83,786.988,4.31105,5.38861,60.1736,2.74107e+06
9.9,20877.6,666216,10.0275,1.58856,998779,361.037,365242,9393.58,506290,11.4439,1718.9,805.032,4.37939,5.52076,60.4212,2.75387e+06
10,21164.2,666216,10.0271,1.60909,998765,361.543,365242,9520.4,514248,11.6297,1750.44,823.389,4.44886,5.6551,60.654,2.76588e+06
10.1,21434,666216,10.0265,1.62873,998752,362.031,365242,9645.79,522157,11.8164,1782.43,842.055,4.51946,5.79168,60.8721,2.77713e+06
10.2,21686.3,666215,10.0258,1.6474,998739,362.5,365242,9769.74,529986,12.0036,1814.85,861.029,4.59118,5.93051,61.0763,2.78765e+06
10.3,21920.6,666215,10.0256,1.66501,998725,362.951,365242,9892.27,537704,12.1907,1847.66,880.309,4.66403,6.07162,61.2675,2.79746e+06
10.4,22136.3,666215,10.0251,1.68157,998712,363.386,365242,10013.4,545274,12.3769,1880.82,899.887,4.73799,6.21504,61.4457,2.80661e+06
10.5,22332.8,666215,10.0244,1.69701,998698,363.805,365242,10133.1,552662,12.5616,1914.3,919.758,4.81304,6.36078,61.6116,2.81512e+06
10.6,22510,666215,10.0244,1.71126,998685,364.209,365242,10251.5,559830,12.744,1948.04,939.915,4.88916,6.50884,61.7665,2.82302e+06
10.7,22667.2,666214,10.0243,1.72429,998671,364.598,365242,10368.5,566741,12.9235,1981.98,960.349,4.96631,6.65925,61.9103,2.83035e+06
10.8,22804.2,666214,10.0231,1.73611,998658,364.972,365243,10484.1,573355,13.0992,2016.09,981.049,5.04447,6.812,62.043,2.83713e+06
10.9,22920.7,666214,10.0234,1.74658,998644,365.333,365243,10598.6,579633,13.2701,2050.28,1002,5.12359,6.96709,62.167,2.8434e+06
11,23016.5,666214,10.0241,1.75572,998631,365.68,365242,10711.8,585536,13.4356,2084.49,1023.2,5.20361,7.1245,62.2821,2.84918e+06
11.1,23091.4,666214,10.0219,1.76359,998618,366.014,365243,10823.8,591025,13.5948,2118.65,1044.62,5.28448,7.28422,62.3863,2.85451e+06
11.2,23145.4,666214,10.0222,1.77001,998604,366.337,365243,10934.8,596062,13.7466,2152.67,1066.25,5.36614,7.44622,62.4842,2.85941e+06
11.3,23178.2,666214,10.0254,1.77493,998591,366.65,365242,11044.6,600612,13.8901,2186.49,1088.08,5.4485,7.61048,62.5764,2.8639e+06
11.4,23190,666214,10.0217,1.77863,998577,366.948,365243,11153.5,604638,14.0251,2220.01,1110.08,5.53151,7.77694,62.6564,2.86802e+06
11.5,23180.7,666214,10.019,1.7808,998564,367.233,365243,11261.4,608109,14.1502,2253.14,1132.23,5.61506,7.94557,62.7302,2.87178e+06
11.6,23150.5,666214,10.0238,1.78136,998550,367.511,365243,11368.5,610994,14.2642,2285.79,1154.51,5.69907,8.11631,62.8033,2.8752e+06
11.7,23099.4,666214,10.0245,1.78067,998537,367.78,365242,11474.9,613269,14.3666,2317.87,1176.9,5.78343,8.28908,62.8676,2.87831e+06
11.8,23027.7,666214,10.0239,1.77844,998524,368.041,365242,11580.5,614910,14.4567,2349.29,1199.38,5.86804,8.4638,62.9251,2.88113e+06
11.9,22935.6,666215,10.0234,1.77479,998510,368.292,365242,11685.5,615900,14.5339,2379.94,1221.93,5.95279,8.64041,62.9775,2.88367e+06
12,22823.4,666215,10.0235,1.76961,998497,368.534,365243,11790,616225,14.5976,2409.73,1244.5,6.03755,8.81879,63.0254,2.88596e+06
12.1,22691.4,666215,10.0238,1.76304,998483,368.767,365242,11894,615875,14.6471,2438.57,1267.1,6.12221,8.99885,63.0689,2.88801e+06
12.2,22540,666215,10.0242,1.75498,998470,368.992,365242,11997.6,614849,14.6821,2466.36,1289.67,6.20666,9.18048,63.1083,2.88983e+06
12.3,22369.6,666215,10.0245,1.74556,998456,369.209,365242,12100.9,613146,14.7021,2493.02,1312.21,6.29075,9.36355,63.1435,2.89144e+06
12.4,22180.6,666216,10.025,1.73467,998443,369.419,365242,12204,610774,14.7068,2518.46,1334.69,6.37436,9.54794,63.1751,2.89285e+06
12.5,21973.7,666216,10.0252,1.72248,998429,369.622,365242,12306.9,607746,14.6962,2542.6,1357.07,6.45736,9.73352,63.2029,2.89407e+06
12.6,21749.2,666216,10.026,1.70887,998416,369.819,365242,12409.8,604079,14.6702,2565.36,1379.34,6.53963,9.92014,63.2278,2.89512e+06
12.7,21507.8,666217,10.026,1.69402,998403,370.009,365242,12512.6,599796,14.6289,2586.67,1401.48,6.62102,10.1077,63.249,2.896e+06
12.8,21250.1,666217,10.0271,1.67779,998389,370.192,365242,12615.6,594924,14.5724,2606.48,1423.45,6.70143,10.2959,63.268,2.89673e+06
12.9,20976.7,666217,10.0263,1.66058,998376,370.369,365242,12718.7,589495,14.5013,2624.72,1445.24,6.78073,10.4848,63.2831,2.89732e+06
13,20688.4,666218,10.0277,1.6418,998362,370.541,365242,12822.1,583546,14.4158,2641.35,1466.83,6.85879,10.674,63.2971,2.89776e+06
13.1,20385.7,666218,10.0284,1.62198,998349,370.707,365242,12925.9,577115,14.3162,2656.33,1488.2,6.9355,10.8635,63.3079,2.89807e+06
13.2,20069.5,666219,10.0293,1.601,998335,370.868,365242,13030,570245,14.2033,2669.63,1509.32,7.01076,11.0531,63.3163,2.89824e+06
13.3,19740.5,666219,10.0298,1.57907,998322,371.025,365242,13134.6,562980,14.0778,2681.23,1530.2,7.08446,11.2427,63.3221,2.89828e+06
13.4,19399.3,666220,10.0305,1.55601,998309,371.176,365242,13239.7,555366,13.9406,2691.13,1550.8,7.1565,11.4319,63.3258,2.89821e+06
13.5,19047,666220,10.0312,1.53222,998295,371.323,365242,13345.4,547451,13.7925,2699.3,1571.12,7.22681,11.6208,63.3276,2.89804e+06
13.6,18684.1,666221,10.0319,1.5072,998282,371.466,365242,13451.8,539283,13.6346,2705.77,1591.15,7.2953,11.809,63.3274,2.89775e+06
13.7,18311.6,666221,10.0327,1.48139,998268,371.604,365242,13558.9,530909,13.4677,2710.54,1610.87,7.3619,11.9965,63.3251,2.89736e+06
13.8,17930.3,666222,10.0335,1.45479,998255,371.738,365242,13666.8,522375,13.2928,2713.65,1630.29,7.42656,12.1831,63.3208,2.89685e+06
13.9,17541,666222,10.0342,1.42749,998241,371.868,365242,13775.5,513727,13.1111,2715.11,1649.39,7.48921,12.3687,63.3146,2.89624e+06
14,17144.5,666223,10.035,1.39946,998228,371.995,365242,13885.1,505008,12.9235,2714.97,1668.18,7.54983,12.553,63.3065,2.89553e+06
14.1,16741.7,666223,10.0358,1.37083,998214,372.118,365242,13995.7,496259,12.731,2713.27,1686.64,7.60838,12.7359,63.2967,2.89473e+06
