Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,66.116,1.01035e+06,1.05081,0.0176465,999994,5.59071,451606,0.332922,287141,0.0809341,0.259739,0.0523983,0.000234874,6.44685e-06,0.532899,131142
0.2,71.5516,1.02169e+06,2.04347,0.0385651,999978,21.6602,398583,1.41412,313134,0.315878,2.16728,0.44091,0.00185017,0.00010656,0.893451,135324
0.3,77.3221,1.03301e+06,2.97131,0.0592066,999951,47.1325,345677,3.24919,331330,0.68118,7.46232,1.53105,0.0060776,0.000550835,1.23465,142602
0.4,83.4451,1.04351e+06,3.82824,0.0780848,999914,80.9088,296548,5.73025,344071,1.14595,17.7685,3.67694,0.0138975,0.00175695,1.55405,152767
0.5,89.9403,1.05271e+06,4.60913,0.0944762,999869,121.876,253563,8.69715,352996,1.67858,34.4766,7.19672,0.0260091,0.00429049,1.84936,165445
0.6,96.8305,1.06035e+06,5.31032,0.108209,999816,168.921,217820,11.9897,359250,2.25001,58.7037,12.3625,0.0428419,0.00883832,2.11876,180227
0.7,104.141,1.06643e+06,5.92992,0.119376,999756,220.945,189379,15.4803,363637,2.83528,91.2895,19.3977,0.0645879,0.0161798,2.36103,196693
0.8,111.901,1.07109e+06,6.46809,0.128936,999690,276.887,167601,19.0851,366717,3.41394,132.813,28.4786,0.0912406,0.0271593,2.57577,214459
0.9,120.141,1.07454e+06,6.92711,0.135926,999618,335.743,151469,22.7598,368884,3.97008,183.615,39.7371,0.122636,0.0426609,2.7635,233294
1,128.899,1.07703e+06,7.31122,0.142786,999542,396.584,139859,26.4876,370413,4.49201,243.831,53.2655,0.158493,0.0635862,2.92539,252936
1.1,138.211,1.07877e+06,7.62634,0.147995,999462,458.573,131706,30.2669,371496,4.97181,313.416,69.1203,0.198447,0.0908345,3.06327,273151
1.2,148.119,1.07997e+06,7.8796,0.152094,999379,520.975,126099,34.1008,372270,5.40484,392.177,87.3279,0.24208,0.125287,3.17954,293806
1.3,158.667,1.08078e+06,8.0789,0.156038,999293,583.168,122309,37.9922,372829,5.78918,479.802,107.888,0.288953,0.167792,3.27688,314798
1.4,169.901,1.08132e+06,8.2324,0.159562,999206,644.641,119790,41.9409,373238,6.1252,575.883,130.781,0.338621,0.219157,3.35813,336064
1.5,181.872,1.08167e+06,8.34809,0.162735,999118,704.985,118134,45.9436,373546,6.41483,679.947,155.968,0.390653,0.280138,3.42609,357544
1.6,194.629,1.0819e+06,8.43345,0.166134,999028,763.886,117053,49.9951,373785,6.66125,791.476,183.399,0.444643,0.351441,3.48342,379222
1.7,208.226,1.08205e+06,8.49517,0.169265,998937,821.122,116352,54.089,373979,6.86849,909.919,213.016,0.500221,0.43371,3.53247,401073
1.8,222.719,1.08215e+06,8.53902,0.172426,998846,876.545,115901,58.2187,374144,7.04099,1034.72,244.751,0.557054,0.52753,3.57528,423055
1.9,238.164,1.08221e+06,8.56976,0.1758,998755,930.069,115611,62.3788,374292,7.18331,1165.31,278.535,0.614852,0.633424,3.6136,445222
2,254.622,1.08225e+06,8.59116,0.179411,998663,981.654,115427,66.5647,374431,7.29987,1301.14,314.296,0.673365,0.751861,3.64879,467569
