Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,67.5778,2.12154e+06,9.67193,0.515307,999798,202.095,572354,21.0306,212504,0.547914,7.05639,1.42359,0.00159064,0.000176168,4.2518,162830
0.2,73.9082,3.61034e+06,25.0378,0.963957,999027,972.177,668295,211.202,186233,2.21869,57.7758,11.7546,0.0127468,0.00285024,9.86179,270167
0.3,79.2576,4.55442e+06,42.8989,1.17642,997475,2522.93,728901,960.595,167763,4.9328,200.587,41.1506,0.0430553,0.0147476,16.5601,413049
0.4,83.0348,4.81472e+06,56.6203,1.20716,995190,4805.87,745371,2596.2,154700,8.14372,478.476,99.0095,0.0993569,0.0472451,22.0158,557697
0.5,84.9904,4.84999e+06,64.5692,1.14274,992422,7568.52,747453,5023.73,145390,11.1979,914.692,191.017,0.1828,0.115,25.5576,685960
0.6,85.0572,4.85307e+06,68.6389,1.04845,989399,10584.7,747558,7975.96,138693,13.7559,1514.6,319.377,0.29011,0.233919,27.7288,793135
0.7,83.2552,4.85342e+06,70.6356,0.948827,986254,13720.3,747536,11241.3,133821,15.7535,2274.87,484.556,0.416407,0.419832,29.0984,880303
0.8,79.6952,4.85345e+06,71.5997,0.850968,983055,16906.9,747517,14690.5,130224,17.2526,3189.3,686.409,0.556916,0.687955,30.0086,949883
0.9,74.5886,4.85345e+06,72.0575,0.7562,979837,20111.2,747507,18250.3,127520,18.3484,4251.27,924.667,0.707631,1.05274,30.6421,1.00425e+06
1,68.2359,4.85345e+06,72.2677,0.664855,976614,23316.7,747503,21877.5,125443,19.1326,5454.4,1199.06,0.865396,1.52788,31.0945,1.04538e+06
1.1,60.9989,4.85345e+06,72.3559,0.577256,973396,26515.2,747501,25545.4,123801,19.682,6792.57,1509.32,1.02779,2.12638,31.418,1.07493e+06
1.2,53.2712,4.85346e+06,72.3768,0.49405,970187,29702.7,747500,29236.1,122466,20.0567,8259.83,1855.18,1.19301,2.86055,31.6406,1.09432e+06
1.3,45.4402,4.85346e+06,72.3559,0.416171,966988,32877,747500,32936.5,121346,20.3018,9850.32,2236.36,1.35973,3.74201,31.78,1.1048e+06
1.4,37.8535,4.85346e+06,72.3054,0.344442,963802,36036.6,747501,36635.7,120379,20.4506,11558.3,2652.52,1.52697,4.78173,31.8487,1.10751e+06
1.5,30.7921,4.85346e+06,72.2308,0.280424,960629,39180.4,747502,40325,119522,20.5277,13377.9,3103.32,1.694,5.99,31.8572,1.10356e+06
1.6,24.4585,4.85346e+06,72.1339,0.223189,957470,42307.5,747504,43996.7,118743,20.5512,15303.4,3588.36,1.86029,7.37651,31.814,1.09399e+06
1.7,18.9688,4.85346e+06,72.0155,0.174402,954326,45417,747505,47644.2,118023,20.534,17329.2,4107.21,2.02544,8.95027,31.7266,1.07972e+06
1.8,14.3641,4.85346e+06,71.8755,0.133457,951198,48508,747508,51261.8,117347,20.486,19449.6,4659.44,2.18915,10.7197,31.6024,1.06171e+06
1.9,10.6215,4.85346e+06,71.7144,0.0999445,948088,51579.9,747510,54844.7,116704,20.4141,21659.1,5244.59,2.35119,12.6926,31.4478,1.04077e+06
2,7.66973,4.85346e+06,71.5329,0.0733054,944994,54631.7,747513,58388.8,116089,20.3236,23952.3,5862.16,2.51139,14.8761,31.2692,1.01767e+06
2.1,5.40871,4.85346e+06,71.3324,0.0527419,941920,57662.8,747516,61891,115495,20.2184,26323.9,6511.69,2.66963,17.2768,31.0721,993078
2.2,3.7256,4.85346e+06,71.1147,0.0369697,938864,60672.5,747519,65348.7,114919,20.1014,28768.9,7192.66,2.82579,19.9008,30.8617,967564
2.3,2.50692,4.85346e+06,70.8822,0.0253872,935828,63660.2,747523,68760.1,114360,19.9752,31282.3,7904.58,2.97981,22.7537,30.642,941571
2.4,1.64817,4.85347e+06,70.6374,0.0170757,932812,66625.6,747527,72123.9,113814,19.8417,33859.3,8646.95,3.13163,25.8403,30.4168,915476
2.5,1.05895,4.85347e+06,70.383,0.0111965,929816,69568.3,747531,75439.6,113281,19.7023,36495.3,9419.27,3.2812,29.1652,30.1893,889567
2.6,0.665077,4.85347e+06,70.1214,0.00709455,926841,72488,747535,78706.8,112759,19.5585,39185.8,10221,3.4285,32.7323,29.9619,864052
2.7,0.408405,4.85347e+06,69.8546,0.00439629,923886,75384.8,747539,81925.7,112248,19.4115,41926.6,11051.8,3.57352,36.5451,29.7362,839080
2.8,0.245267,4.85347e+06,69.5845,0.00268845,920953,78258.6,747543,85096.7,111746,19.2623,44713.5,11911,3.71624,40.6069,29.5138,814747
2.9,0.144092,4.85347e+06,69.3123,0.00161629,918040,81109.4,747548,88220.5,111254,19.1116,47542.8,12798.2,3.85666,44.9201,29.2954,791112
3,0.082823,4.85347e+06,69.0391,0.000947735,915148,83937.2,747552,91297.8,110771,18.9602,50410.6,13713,3.99479,49.4872,29.0816,768205
3.1,0.0465417,4.85347e+06,68.7656,0.000541704,912276,86742.4,747557,94329.3,110297,18.8087,53313.4,14654.9,4.13064,54.31,28.8728,746038
3.2,0.0256357,4.85347e+06,68.4924,0.00030339,909425,89524.9,747561,97316,109831,18.6576,56247.9,15623.3,4.26424,59.39,28.6692,724609
3.3,0.0138482,4.85347e+06,68.2197,0.00016654,906594,92285,747565,100259,109372,18.5071,59210.7,16618,4.39559,64.7284,28.4707,703906
3.4,0.00733632,4.85347e+06,67.9478,8.96127e-05,903783,95022.9,747570,103159,108922,18.3577,62198.8,17638.5,4.52473,70.3261,28.2773,683912
3.5,0.0038314,4.85347e+06,67.6768,4.74129e-05,900992,97738.6,747574,106016,108479,18.2095,65209.3,18684.2,4.65168,76.1837,28.0889,664609
3.6,0.00213495,4.85347e+06,67.4067,2.64981e-05,898221,100433,747578,108833,108043,18.0627,68239.5,19755,4.77646,82.3013,27.9055,645975
3.7,0.00155938,4.85347e+06,67.1377,1.91904e-05,895470,103105,747583,111608,107614,17.9175,71286.8,20850.2,4.89911,88.679,27.7267,627989
3.8,0.00100412,4.85347e+06,66.8697,1.34671e-05,892738,105755,747587,114345,107192,17.7739,74348.4,21969.6,5.01965,95.3167,27.5526,610629
3.9,0.000472738,4.85347e+06,66.6028,5.25652e-06,890025,108385,747591,117042,106778,17.632,77422.1,23112.7,5.13811,102.214,27.3829,593875
4,0.000122914,4.85347e+06,66.3369,-5.25707e-06,887331,110993,747595,119702,106369,17.4919,80505.7,24279.2,5.25453,109.37,27.2175,577704
4.1,-3.91073e-05,4.85347e+06,66.0721,-1.25184e-05,884657,113580,747600,122324,105967,17.3535,83597,25468.7,5.36892,116.784,27.0563,562096
4.2,-5.155e-05,4.85347e+06,65.8084,-8.31628e-06,882001,116147,747604,124910,105572,17.2169,86694,26680.8,5.48132,124.454,26.899,547032
4.3,-5.64815e-06,4.85347e+06,65.5456,4.70254e-06,879363,118693,747608,127460,105182,17.0821,89794.8,27915.2,5.59176,132.38,26.7456,532493
4.4,9.49284e-05,4.85347e+06,65.284,1.42303e-05,876745,121218,747612,129975,104799,16.949,92897.6,29171.5,5.70028,140.559,26.596,518461
4.5,5.73626e-05,4.85347e+06,65.0234,5.47237e-06,874144,123724,747616,132455,104422,16.8176,96000.7,30449.5,5.80688,148.991,26.4499,504918
4.6,3.95084e-05,4.85347e+06,64.7638,-3.39617e-05,871561,126209,747621,134901,104050,16.688,99102.4,31748.7,5.91161,157.673,26.3073,491848
4.7,-0.000160286,4.85347e+06,64.5053,-0.00012427,868997,128674,747625,137314,103684,16.56,102201,33068.8,6.0145,166.603,26.1681,479233
4.8,-0.000462941,4.85347e+06,64.2478,-0.000282319,866450,131120,747629,139695,103324,16.4337,105296,34409.6,6.11557,175.78,26.0322,467059
4.9,-0.000796575,4.85347e+06,63.9913,-0.000527153,863921,133546,747633,142043,102968,16.3091,108385,35770.7,6.21484,185.201,25.8993,455309
5,-0.00115745,4.85347e+06,63.7359,-0.000880273,861409,135952,747637,144360,102619,16.1861,111466,37151.8,6.31234,194.863,25.7695,443970
5.1,-0.00146525,4.85347e+06,63.4815,-0.001362,858915,138340,747641,146646,102274,16.0647,114540,38552.6,6.40811,204.765,25.6426,433026
5.2,-0.00165344,4.85347e+06,63.2281,-0.00199513,856438,140708,747645,148902,101935,15.9448,117604,39972.8,6.50216,214.904,25.5185,422463
5.3,-0.00170904,4.85347e+06,62.9757,-0.00279953,853978,143057,747649,151128,101600,15.8264,120658,41412.1,6.59453,225.276,25.3971,412269
5.4,-0.001555,4.85347e+06,62.7243,-0.00379816,851535,145388,747653,153324,101271,15.7096,123701,42870.3,6.68523,235.881,25.2784,402431
5.5,-0.00127041,4.85347e+06,62.4739,-0.0050082,849109,147700,747657,155492,100946,15.5942,126731,44347,6.77429,246.713,25.1622,392935
5.6,-0.000865506,4.85347e+06,62.2244,-0.00644979,846699,149994,747661,157631,100626,15.4803,129748,45842,6.86174,257.772,25.0484,383771
5.7,-0.000451217,4.85347e+06,61.976,-0.008136,844306,152269,747665,159742,100311,15.3678,132750,47355,6.94759,269.053,24.9369,374927
5.8,-0.000182495,4.85347e+06,61.7286,-0.0100773,841930,154527,747669,161825,99999.8,15.2566,135738,48885.8,7.03188,280.554,24.8278,366393
5.9,-0.000122645,4.85347e+06,61.4822,-0.0122755,839569,156766,747673,163882,99693.4,15.1469,138711,50434.1,7.11462,292.272,24.7209,358156
6,-0.000181515,4.85347e+06,61.2367,-0.0147105,837225,158988,747677,165911,99391.2,15.0384,141667,51999.7,7.19584,304.204,24.6161,350208
6.1,-0.00041647,4.85347e+06,60.9923,-0.0173691,834896,161192,747681,167915,99093.3,14.9313,144606,53582.2,7.27555,316.346,24.5133,342538
6.2,-0.000731351,4.85347e+06,60.7488,-0.0202123,832583,163378,747685,169892,98799.6,14.8255,147528,55181.6,7.35379,328.695,24.4126,335136
6.3,-0.00105991,4.85347e+06,60.5063,-0.0232012,830286,165547,747689,171844,98510,14.7209,150431,56797.4,7.43057,341.248,24.3137,327992
6.4,-0.00133039,4.85347e+06,60.2648,-0.0262725,828005,167699,747693,173771,98224.4,14.6176,153316,58429.5,7.50591,354.003,24.2167,321098
6.5,-0.00142257,4.85347e+06,60.0242,-0.029357,825739,169833,747696,175673,97942.8,14.5155,156182,60077.7,7.57984,366.954,24.1215,314444
6.6,-0.00136167,4.85347e+06,59.7846,-0.0323618,823488,171951,747700,177551,97665,14.4146,159029,61741.8,7.65237,380.101,24.028,308021
6.7,-0.0012339,4.85347e+06,59.5459,-0.035176,821252,174052,747704,179405,97391,14.3148,161856,63421.4,7.72353,393.438,23.9361,301821
6.8,-0.00105097,4.85347e+06,59.3082,-0.0376779,819032,176137,747708,181235,97120.7,14.2162,164662,65116.5,7.79333,406.963,23.8458,295837
6.9,-0.000885511,4.85347e+06,59.0715,-0.0397243,816826,178204,747712,183041,96854.1,14.1188,167449,66826.7,7.86179,420.672,23.7571,290060
7,-0.000809926,4.85347e+06,58.8356,-0.0411596,814635,180256,747715,184825,96591.1,14.0224,170214,68551.9,7.92893,434.562,23.6698,284483
7.1,-0.000655516,4.85347e+06,58.6008,-0.041823,812459,182291,747719,186586,96331.6,13.9272,172958,70291.9,7.99478,448.63,23.584,279099
7.2,-0.000558724,4.85347e+06,58.3668,-0.0415246,810297,184310,747723,188324,96075.6,13.833,175681,72046.4,8.05935,462.872,23.4996,273899
7.3,-0.000608582,4.85347e+06,58.1338,-0.0400611,808150,186313,747727,190040,95823,13.7398,178382,73815.3,8.12265,477.285,23.4164,268879
7.4,-0.000916463,4.85347e+06,57.9018,-0.0372657,806017,188300,747730,191734,95573.7,13.6477,181061,75598.3,8.18471,491.865,23.3346,264031
7.5,-0.00096275,4.85347e+06,57.6706,-0.0369195,803898,190272,747734,193407,95327.7,13.5566,183719,77395.3,8.24554,506.61,23.2541,259357
7.6,-0.000965923,4.85347e+06,57.4404,-0.0368936,801793,192227,747738,195058,95085,13.4665,186354,79206.2,8.30516,521.515,23.1747,254848
7.7,-0.00096918,4.85347e+06,57.2111,-0.0368692,799702,194168,747741,196688,94845.4,13.3774,188967,81030.6,8.36359,536.578,23.0966,250495
7.8,-0.000957545,4.85347e+06,56.9827,-0.0369621,797625,196093,747745,198297,94608.9,13.2893,191558,82868.4,8.42084,551.795,23.0195,246295
7.9,-0.000931966,4.85347e+06,56.7552,-0.0371656,795562,198003,747749,199886,94375.5,13.2021,194127,84719.5,8.47694,567.164,22.9436,242241
8,-0.000917618,4.85347e+06,56.5287,-0.0372797,793512,199898,747752,201455,94145,13.1158,196672,86583.6,8.53189,582.679,22.8687,238329
8.1,-0.000888398,4.85347e+06,56.303,-0.037512,791476,201777,747756,203003,93917.6,13.0304,199196,88460.6,8.58571,598.34,22.7949,234553
8.2,-0.000869233,4.85347e+06,56.0782,-0.0376643,789454,203642,747760,204532,93693,12.946,201697,90350.3,8.63842,614.141,22.722,230909
