Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,200000
0.1,63.3564,732424,1.05309,0.0302664,999991,8.86599,570509,2.3032,245900,0.0799094,0.38202,0.0770957,0.000249987,9.90014e-06,3.10948,200239
0.2,65.5876,530715,1.51576,0.0477089,999971,28.4624,623658,8.49689,243033,0.234951,2.55108,0.519798,0.00159516,0.000136934,3.38866,200865
0.3,67.8124,394983,1.62951,0.0536743,999946,51.4704,659422,16.7725,241030,0.387926,7.21204,1.48454,0.00430234,0.0006012,3.46698,201661
0.4,70.1048,307606,1.56406,0.0532976,999922,73.91,682444,25.5018,239629,0.506848,14.3896,2.994,0.0081811,0.00165376,3.44118,202492
0.5,72.5056,252182,1.42336,0.0501633,999899,93.9641,697048,33.7341,238651,0.584379,23.7903,5.00612,0.012884,0.00352825,3.37083,203291
0.6,75.0356,217019,1.26495,0.0460194,999879,111.061,706313,41.0859,237969,0.624721,35.0097,7.45415,0.0180596,0.00642067,3.28908,204029
0.7,77.7031,194547,1.11738,0.0420056,999860,125.274,712235,47.5051,237494,0.636257,47.6399,10.2677,0.0234173,0.0104846,3.21252,204700
0.8,80.5108,180038,0.992414,0.0385269,999844,136.964,716060,53.0934,237166,0.627804,61.3184,13.3829,0.0287447,0.0158339,3.14814,205312
0.9,83.4579,170595,0.892575,0.0357952,999830,146.584,718549,58.0047,236940,0.607004,75.7447,16.7458,0.033903,0.0225485,3.09759,205874
1,86.5431,164403,0.816116,0.033825,999817,154.571,720182,62.3917,236786,0.579739,90.6818,20.3133,0.0388133,0.0306811,3.06005,206399
1.1,89.7652,160315,0.759498,0.0325435,999805,161.302,721260,66.3862,236683,0.55018,105.948,24.0521,0.0434405,0.0402632,3.03363,206898
1.2,93.1238,157596,0.718745,0.0318501,999794,167.086,721977,70.095,236616,0.5211,121.408,27.9368,0.0477795,0.0513104,3.01618,207380
1.3,96.6192,155779,0.690088,0.0316384,999783,172.164,722457,73.6005,236575,0.494155,136.961,31.9481,0.051844,0.0638267,3.00563,207855
1.4,100.253,154565,0.670364,0.0318005,999773,176.716,722777,76.964,236552,0.47018,152.534,36.0721,0.0556591,0.0778071,3.00022,208328
1.5,104.026,153758,0.657015,0.0322656,999762,180.874,722990,80.2292,236542,0.449456,168.077,40.2983,0.0592542,0.0932405,2.99856,208804
1.6,107.943,153221,0.648153,0.0329459,999752,184.731,723132,83.4271,236542,0.43194,183.549,44.6187,0.0626589,0.110112,2.99958,209288
1.7,112.006,152862,0.64237,0.033808,999743,188.351,723227,86.5792,236548,0.417394,198.924,49.027,0.0659013,0.128402,3.00252,209783
1.8,116.22,152619,0.638662,0.0347969,999733,191.784,723291,89.7005,236559,0.405494,214.181,53.5184,0.0690066,0.148092,3.00681,210290
1.9,120.589,152458,0.636305,0.0359008,999723,195.06,723334,92.8011,236575,0.395867,229.304,58.0889,0.0719972,0.169158,3.01208,210811
2,125.118,152351,0.634858,0.037073,999713,198.2,723362,95.8872,236593,0.388145,244.282,62.735,0.074892,0.191577,3.01806,211348
2.1,129.811,152277,0.634014,0.038312,999704,201.221,723382,98.9634,236613,0.381998,259.105,67.454,0.0777069,0.215325,3.0246,211902
2.2,134.676,152229,0.633565,0.0396195,999694,204.131,723395,102.032,236636,0.377122,273.765,72.2432,0.0804548,0.240376,3.03159,212473
2.3,139.716,152200,0.633283,0.0409986,999684,206.94,723402,105.095,236660,0.373279,288.257,77.1001,0.0831459,0.266705,3.03891,213062
2.4,144.938,152176,0.633273,0.0423902,999675,209.653,723408,108.154,236686,0.370276,302.575,82.0224,0.0857888,0.294285,3.04661,213670
2.5,150.347,152164,0.633202,0.0438767,999665,212.276,723412,111.209,236714,0.367933,316.713,87.0079,0.0883902,0.323091,3.05453,214298
2.6,155.951,152156,0.633179,0.0454085,999655,214.813,723414,114.261,236743,0.366121,330.669,92.0546,0.0909555,0.353095,3.06273,214946
2.7,161.756,152138,0.633623,0.046857,999646,217.27,723419,117.313,236773,0.36475,344.439,97.1606,0.0934891,0.384272,3.07143,215613
2.8,167.768,152122,0.633921,0.0485282,999636,219.65,723423,120.364,236804,0.363732,358.02,102.324,0.0959947,0.416595,3.08033,216302
2.9,173.994,152111,0.6341,0.0501904,999626,221.956,723426,123.414,236836,0.362983,371.411,107.543,0.0984751,0.450035,3.08943,217011
3,180.441,152107,0.634067,0.0518918,999617,224.188,723427,126.463,236870,0.362426,384.609,112.816,0.100933,0.484567,3.09868,217744
3.1,187.116,152110,0.633888,0.0537597,999607,226.345,723426,129.51,236906,0.361992,397.613,118.141,0.103369,0.520164,3.10815,218500
3.2,194.027,152115,0.633829,0.0554207,999597,228.43,723424,132.555,236942,0.36165,410.421,123.517,0.105785,0.556799,3.11796,219278
3.3,201.182,152119,0.633911,0.0572582,999588,230.445,723423,135.597,236980,0.361392,423.032,128.942,0.108181,0.594444,3.12815,220080
3.4,208.589,152122,0.63398,0.0592337,999578,232.394,723422,138.639,237020,0.361204,435.445,134.414,0.110559,0.633074,3.13863,220906
3.5,216.255,152127,0.633924,0.0611599,999568,234.28,723421,141.681,237060,0.361079,447.659,139.932,0.112918,0.672661,3.14934,221755
3.6,224.19,152110,0.634712,0.0632188,999559,236.11,723426,144.724,237103,0.361053,459.675,145.494,0.115261,0.71318,3.16085,222632
3.7,232.402,152102,0.6349,0.0653726,999549,237.885,723428,147.769,237147,0.361084,471.493,151.1,0.117587,0.754603,3.17238,223534
3.8,240.899,152105,0.634528,0.0675454,999539,239.602,723427,150.814,237192,0.361132,483.113,156.747,0.119898,0.796905,3.18393,224464
3.9,249.691,152113,0.634187,0.0696593,999530,241.259,723425,153.858,237240,0.361153,494.537,162.435,0.122192,0.840061,3.19579,225420
4,258.787,152121,0.634111,0.0718997,999520,242.858,723423,156.9,237289,0.361152,505.763,168.163,0.124471,0.884043,3.20816,226404
4.1,268.198,152127,0.634167,0.0742141,999510,244.402,723421,159.943,237339,0.361153,516.794,173.928,0.126734,0.928828,3.22095,227414
4.2,277.932,152129,0.634345,0.0765985,999501,245.897,723421,162.987,237392,0.361179,527.629,179.73,0.128981,0.97439,3.23416,228453
4.3,288.001,152129,0.634541,0.0790332,999491,247.345,723421,166.033,237446,0.361245,538.269,185.568,0.131213,1.0207,3.24774,229520
4.4,298.415,152129,0.634623,0.0815493,999481,248.748,723421,169.081,237503,0.361338,548.718,191.44,0.13343,1.06775,3.26163,230617
