Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,65.5056,943608,0.475401,0.00295134,1e+06,0.283027,499025,0.158288,235581,0.0316427,0.0115,0.00232122,9.69689e-05,3.03543e-07,0.840193,130188
0.2,70.0317,892565,0.928577,0.00648536,999999,1.09925,498141,0.65581,225501,0.111462,0.0847362,0.0172563,0.000691518,4.41634e-06,0.9851,130884
0.3,74.555,847573,1.35718,0.0102509,999997,2.39873,497363,1.52062,218467,0.222501,0.268116,0.0550865,0.00211584,2.08832e-05,1.12527,132126
0.4,79.0545,808746,1.75985,0.0140932,999996,4.1304,496690,2.77386,213552,0.352963,0.601624,0.124727,0.00458439,6.27435e-05,1.26037,133929
0.5,83.5126,775890,2.13618,0.0179088,999993,6.24506,496121,4.42933,210120,0.494893,1.11771,0.233832,0.00822097,0.000146439,1.39026,136296
0.6,87.9146,748595,2.48644,0.0216146,999991,8.69545,495648,6.495,207727,0.642687,1.84347,0.389191,0.0130913,0.000291254,1.51497,139211
0.7,92.2481,726311,2.81143,0.02514,999987,11.4369,495261,8.97403,206054,0.792282,2.8014,0.596837,0.019221,0.000518707,1.63461,142651
0.8,96.5035,708418,3.1123,0.0284346,999984,14.4278,494950,11.8654,204880,0.940775,4.00942,0.862032,0.026605,0.000852214,1.74935,146580
0.9,100.673,694269,3.39042,0.0314665,999980,17.6301,494704,15.1648,204059,1.08621,5.48142,1.18936,0.035215,0.00131673,1.8594,150960
1,104.751,683235,3.64725,0.0342213,999976,21.0087,494512,18.8652,203492,1.22727,7.2278,1.58277,0.0450073,0.00193831,1.96499,155744
1.1,108.733,674735,3.88424,0.0366887,999971,24.5319,494364,22.9577,203104,1.36293,9.25501,2.04551,0.0559301,0.00274357,2.06631,160888
1.2,112.616,668262,4.10277,0.0388884,999966,28.1711,494251,27.4317,202843,1.49247,11.5664,2.58021,0.0679252,0.00375941,2.16357,166347
1.3,116.4,663383,4.30414,0.040814,999961,31.9002,494166,32.2757,202669,1.61544,14.1624,3.18896,0.0809302,0.00501275,2.25693,172077
1.4,120.083,659745,4.4895,0.0424912,999956,35.6961,494102,37.4772,202555,1.7316,17.0414,3.8734,0.0948806,0.00653024,2.34655,178040
1.5,123.665,657065,4.6599,0.0439979,999951,39.5377,494055,43.0228,202479,1.8409,20.1999,4.63476,0.109711,0.00833804,2.43257,184200
1.6,127.149,655115,4.81634,0.0450417,999945,43.4062,494020,48.8987,202431,1.9434,23.6322,5.47389,0.125356,0.0104617,2.51503,190508
