Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,63.8721,947773,0.185937,0.0024274,999995,4.6552,474576,0.0777628,214634,0.0118044,0.172731,0.0348592,3.61132e-05,4.48118e-06,0.635962,130163
0.2,66.8519,901375,0.349228,0.00516357,999982,17.8676,451990,0.296216,189895,0.0381308,1.20586,0.24562,0.000245774,6.35576e-05,0.699205,130732
0.3,69.9455,860810,0.491416,0.00758911,999961,38.5623,432244,0.634084,172590,0.0702782,3.60861,0.742059,0.000712024,0.000290249,0.756337,131699
0.4,73.1591,825703,0.614164,0.0100991,999934,65.7433,415154,1.07206,160483,0.103711,7.69486,1.59768,0.00146171,0.000836584,0.807823,133029
0.5,76.4995,795595,0.719202,0.0123463,999901,98.4982,400497,1.59316,152015,0.136172,13.6874,2.86961,0.00249282,0.00187982,0.854225,134703
0.6,79.9737,769977,0.808268,0.0143343,999864,136,388026,2.18281,146090,0.166574,21.7658,4.60768,0.00378983,0.00361557,0.896065,136693
0.7,83.589,748333,0.883076,0.0161874,999822,177.506,377490,2.82861,141940,0.194454,32.0804,6.85704,0.00533084,0.00625449,0.933835,138966
0.8,87.3529,730157,0.945281,0.0178326,999778,222.358,368642,3.52022,139039,0.219703,44.7588,9.65927,0.00709128,0.0100198,0.968023,141493
0.9,91.2731,714976,0.996455,0.0193206,999730,269.974,361252,4.24902,137014,0.242333,59.9017,13.0514,0.00904671,0.0151446,0.999106,144249
1,95.3577,702359,1.03807,0.0206574,999680,319.852,355109,5.00791,135599,0.262419,77.5851,17.066,0.0111735,0.0218687,1.02752,147209
1.1,99.6149,691916,1.07149,0.0218011,999628,371.554,350026,5.791,134610,0.280092,97.8622,21.7317,0.0134491,0.0304372,1.05367,150348
1.2,104.053,683306,1.09794,0.0228862,999575,424.709,345834,6.59352,133919,0.29551,120.762,27.0726,0.0158521,0.0410973,1.07793,153649
1.3,108.681,676231,1.11857,0.0239084,999521,479.004,342390,7.41156,133438,0.308842,146.293,33.1083,0.0183627,0.0540963,1.10065,157093
1.4,113.507,670437,1.13435,0.0244941,999466,534.178,339570,8.242,133102,0.320263,174.441,39.8548,0.0209631,0.0696794,1.12208,160656
