Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,68.5517,809213,4.11419,0.882716,999901,98.1741,556981,356.222,276282,0.440343,5.23895,1.05784,0.00154412,0.000143801,2.83923,230022
0.2,76.2891,638927,3.5075,0.576926,999775,220.956,607749,923.396,294666,0.928248,27.9138,5.69782,0.00760734,0.00164419,2.69718,329580
0.3,85.1045,528845,2.85258,0.433254,999671,318.186,640625,1385.96,307530,1.22653,67.2762,13.8936,0.017018,0.00625344,2.44897,395419
0.4,95.1014,455399,2.41491,0.36184,999586,395.807,662610,1761.6,316538,1.38799,120.017,25.0882,0.0283114,0.0154464,2.29618,445559
0.5,106.348,404486,2.11971,0.324468,999512,460.071,677885,2081.3,322855,1.46345,183.349,38.8071,0.0405233,0.0303793,2.21032,487491
0.6,118.936,368324,1.91442,0.304627,999446,514.933,688759,2364.27,327292,1.48614,255.095,54.6809,0.0530584,0.0519526,2.16753,524731
0.7,132.972,342213,1.76847,0.295437,999386,562.982,696629,2622.68,330421,1.47767,333.554,72.422,0.065555,0.0808722,2.15386,559264
0.8,148.578,323179,1.66336,0.293273,999330,605.966,702379,2864.54,332641,1.45196,417.407,91.8085,0.0778071,0.117688,2.16087,592278
0.9,165.885,309235,1.58711,0.296901,999277,645.105,706601,3095.36,334230,1.41785,505.63,112.669,0.0897089,0.162829,2.1833,624651
1,185.035,299000,1.53163,0.304523,999227,681.278,709707,3319.1,335383,1.38094,597.419,134.872,0.101216,0.21663,2.21746,656887
1.1,206.181,291489,1.49118,0.314775,999177,715.12,711991,3538.63,336235,1.34459,692.144,158.311,0.112324,0.279355,2.26089,689435
1.2,229.484,285988,1.46173,0.32817,999129,747.099,713668,3756.1,336883,1.31072,789.304,182.907,0.123048,0.351206,2.3118,722566
1.3,255.11,281969,1.44053,0.344325,999082,777.564,714896,3973.14,337394,1.28033,888.497,208.594,0.133419,0.432343,2.36914,756566
