Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,65.7528,992604,1.12043,0.0163644,999996,4.29885,451704,0.118534,307749,0.0909766,0.211668,0.0426981,0.000261936,5.21821e-06,0.495141,131084
0.2,70.7835,984661,2.16877,0.0361439,999983,16.6521,399831,0.494959,348156,0.365714,1.82248,0.370709,0.00211236,8.88151e-05,0.811548,135005
0.3,76.1064,976799,3.13756,0.0550037,999963,36.2169,348490,1.12327,376430,0.803474,6.40877,1.31457,0.00706029,0.0004684,1.10799,141802
0.4,81.7378,969498,4.02174,0.0720361,999935,62.1313,300808,1.96303,396226,1.36784,15.4784,3.20189,0.0163464,0.00151426,1.38266,151253
0.5,87.6957,963064,4.81867,0.0866756,999901,93.5329,258790,2.95869,410087,2.01863,30.3309,6.3286,0.0308626,0.00373567,1.63436,163014
0.6,94.0005,957645,5.52798,0.0988684,999861,129.577,223400,4.05589,419806,2.71826,52.014,10.9482,0.0511613,0.00775326,1.86247,176696
0.7,100.674,953251,6.15136,0.108869,999816,169.451,194709,5.21111,426620,3.43474,81.309,17.2675,0.0774792,0.0142775,2.06702,191928
0.8,107.742,949805,6.69221,0.117213,999767,212.39,172201,6.39539,431400,4.14256,118.761,25.4509,0.109803,0.024079,2.24861,208394
0.9,115.231,947178,7.15527,0.123855,999714,257.685,155043,7.59268,434759,4.82241,164.705,35.6233,0.147929,0.0379659,2.40836,225860
1,123.169,945224,7.54636,0.128988,999657,304.693,142286,8.79633,437126,5.46059,219.295,47.8753,0.19151,0.0567646,2.54764,244057
1.1,131.588,943802,7.872,0.133729,999598,352.835,133001,10.0056,438800,6.0482,282.534,62.2681,0.240108,0.0813034,2.66821,262837
1.2,140.521,942786,8.1392,0.137747,999536,401.606,126362,11.2224,439990,6.58031,354.299,78.8369,0.293223,0.1124,2.77201,282095
1.3,150.002,942069,8.35512,0.141004,999473,450.57,121683,12.4494,440841,7.05509,434.366,97.5955,0.350331,0.150847,2.86104,301726
1.4,160.069,941571,8.52689,0.14397,999408,499.36,118431,13.6885,441458,7.47308,522.433,118.541,0.410908,0.197407,2.93731,321654
1.5,170.76,941228,8.66135,0.146977,999342,547.675,116196,14.9404,441913,7.83658,618.139,141.654,0.474448,0.252803,3.00278,341812
1.6,182.116,940995,8.76492,0.149651,999275,595.274,114676,16.2054,442257,8.14916,721.076,166.907,0.54047,0.317714,3.05941,362245
1.7,194.177,940838,8.84343,0.152328,999208,641.969,113649,17.4829,442526,8.41515,830.812,194.261,0.608537,0.392773,3.10883,382872
1.8,206.989,940732,8.90205,0.155112,999140,687.622,112961,18.7718,442747,8.63936,946.893,223.671,0.67825,0.478564,3.15258,403703
1.9,220.596,940661,8.94525,0.157843,999071,732.133,112502,20.071,442935,8.82674,1068.86,255.089,0.749256,0.575622,3.19201,424742
2,235.045,940614,8.97678,0.160768,999002,775.438,112196,21.3795,443104,8.98215,1196.26,288.462,0.82125,0.684431,3.22823,445992
2.1,250.384,940582,8.99966,0.163893,998933,817.502,111993,22.6964,443263,9.11026,1328.63,323.736,0.893967,0.805429,3.26216,467465
2.2,266.663,940561,9.01631,0.166799,998864,858.31,111859,24.0208,443418,9.21536,1465.55,360.856,0.967184,0.939005,3.29449,489143
2.3,283.933,940548,9.02855,0.170144,998795,897.865,111772,25.3522,443574,9.30131,1606.57,399.767,1.04071,1.0855,3.32578,511038
2.4,302.249,940538,9.03773,0.174296,998726,936.18,111716,26.6902,443734,9.37152,1751.3,440.415,1.11441,1.24522,3.35652,533218
2.5,321.665,940532,9.04483,0.178115,998656,973.279,111680,28.0345,443902,9.42888,1899.36,482.747,1.18814,1.41841,3.38701,555697
2.6,342.237,940528,9.0505,0.18198,998587,1009.19,111657,29.385,444078,9.47586,2050.36,526.713,1.2618,1.6053,3.41742,578441
2.7,364.024,940525,9.05522,0.18625,998517,1043.94,111642,30.7417,444264,9.51453,2203.98,572.26,1.33533,1.80606,3.44795,601508
2.8,387.086,940523,9.05928,0.190721,998448,1077.56,111633,32.1044,444463,9.5466,2359.87,619.343,1.40864,2.02085,3.47868,624893
2.9,411.485,940521,9.06286,0.195475,998379,1110.09,111626,33.4732,444675,9.57345,2517.74,667.912,1.4817,2.24978,3.50969,648611
3,437.283,940520,9.06608,0.200378,998309,1141.55,111623,34.848,444900,9.5962,2677.3,717.924,1.55447,2.49292,3.54103,672677
3.1,464.546,940518,9.06901,0.20545,998239,1171.99,111620,36.229,445141,9.61577,2838.27,769.335,1.62691,2.75034,3.57273,697096
3.2,493.34,940517,9.0717,0.210737,998170,1201.44,111619,37.6162,445398,9.63282,3000.4,822.103,1.699,3.02206,3.60481,721874
3.3,523.732,940516,9.07417,0.216268,998100,1229.92,111618,39.0095,445672,9.64798,3163.46,876.188,1.77074,3.30808,3.63729,747017
3.4,555.791,940515,9.07645,0.222001,998031,1257.46,111617,40.4091,445963,9.6617,3327.22,931.55,1.84209,3.6084,3.67019,772534
3.5,589.588,940514,9.07856,0.227953,997961,1284.1,111617,41.8149,446272,9.67425,3491.49,988.155,1.91307,3.92293,3.7035,798429
3.6,625.191,940513,9.08052,0.234103,997892,1309.87,111616,43.2271,446601,9.68612,3656.06,1045.96,1.98365,4.25168,3.73727,824708
3.7,662.674,940512,9.08232,0.240421,997822,1334.78,111616,44.6456,446950,9.69735,3820.77,1104.95,2.05385,4.5945,3.77145,851364
3.8,702.105,940510,9.08398,0.246891,997753,1358.88,111616,46.0705,447320,9.70834,3985.41,1165.06,2.12365,4.95138,3.80608,878401
3.9,743.559,940509,9.08552,0.253562,997683,1382.18,111616,47.5019,447712,9.71908,4149.88,1226.29,2.19306,5.32214,3.84114,905811
4,787.105,940508,9.08696,0.26043,997613,1404.72,111616,48.9397,448127,9.72981,4314,1288.59,2.26207,5.70672,3.87665,933593
4.1,832.815,940507,9.08829,0.26757,997544,1426.51,111616,50.384,448565,9.74056,4477.67,1351.93,2.33069,6.10493,3.9126,961757
4.2,880.761,940505,9.08952,0.275022,997474,1447.58,111616,51.8348,449028,9.75144,4640.74,1416.3,2.39893,6.51666,3.949,990303
4.3,931.012,940504,9.09067,0.282613,997404,1467.96,111616,53.2921,449517,9.76251,4803.11,1481.66,2.46679,6.94173,3.98584,1.01921e+06
4.4,983.637,940502,9.09175,0.290216,997335,1487.66,111616,54.756,450032,9.77382,4964.7,1547.98,2.53427,7.37999,4.0231,1.04847e+06
4.5,1038.7,940501,9.09275,0.297974,997265,1506.71,111616,56.2264,450574,9.78545,5125.4,1615.25,2.60138,7.83125,4.06077,1.07807e+06
4.6,1096.27,940499,9.09367,0.306032,997196,1525.13,111616,57.7034,451145,9.79742,5285.14,1683.44,2.66812,8.29532,4.09884,1.10801e+06
4.7,1156.41,940497,9.09451,0.314312,997126,1542.94,111616,59.187,451745,9.80979,5443.84,1752.53,2.7345,8.77204,4.13728,1.13827e+06
4.8,1219.18,940495,9.09528,0.322722,997056,1560.15,111616,60.677,452375,9.82259,5601.45,1822.5,2.80053,9.26119,4.1761,1.16883e+06
4.9,1284.64,940494,9.09599,0.331312,996987,1576.8,111616,62.1735,453037,9.83586,5757.89,1893.33,2.86621,9.76258,4.21527,1.19969e+06
5,1352.83,940492,9.09664,0.340161,996917,1592.89,111616,63.6764,453730,9.84963,5913.13,1965.01,2.93155,10.276,4.25478,1.23083e+06
5.1,1423.81,940490,9.09723,0.349222,996848,1608.45,111616,65.1858,454457,9.86395,6067.12,2037.5,2.99656,10.8012,4.29461,1.26224e+06
