Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,66.6843,926231,2.7829,0.0583464,999986,13.9136,442553,0.899722,287333,0.218529,0.652299,0.131594,0.000640167,1.62296e-05,1.11767,133865
0.2,72.3132,834241,5.02978,0.113265,999947,51.6401,370914,3.96544,313458,0.813548,5.2827,1.07494,0.00488217,0.00026297,1.90759,146809
0.3,77.9259,746081,6.70837,0.147907,999889,106.862,302257,8.75724,331741,1.65688,17.5613,3.60501,0.0154304,0.00132396,2.5108,166272
0.4,83.592,673827,7.87378,0.16546,999817,173.641,245986,14.3438,344538,2.61373,40.2333,8.33435,0.0338027,0.0041006,2.94209,189262
0.5,89.3934,620285,8.62677,0.172503,999735,247.053,204289,20.0077,353494,3.57495,74.9527,15.6726,0.0604291,0.0097082,3.23326,213685
0.6,95.4102,583090,9.07606,0.173981,999648,323.396,175322,25.4056,359762,4.46731,122.424,25.8477,0.0949437,0.0193704,3.42014,238371
0.7,101.714,558306,9.3164,0.17282,999557,400.104,156022,30.4516,364150,5.25096,182.642,38.948,0.1365,0.034334,3.53459,262745
0.8,108.367,542221,9.42187,0.170539,999465,475.522,143495,35.1749,367224,5.91118,255.13,54.9655,0.184028,0.0558117,3.6018,286571
0.9,115.42,531943,9.44622,0.168733,999372,548.673,135492,39.639,369380,6.44979,339.136,73.8326,0.236415,0.0849446,3.64023,309800
1,122.919,525437,9.42634,0.166972,999279,619.051,130425,43.9064,370895,6.87807,433.766,95.448,0.292616,0.122783,3.66266,332487
1.1,130.902,521331,9.38632,0.165891,999187,686.456,127229,48.0289,371965,7.21156,538.084,119.695,0.351716,0.170279,3.67751,354698
1.2,139.404,518750,9.34079,0.165763,999095,750.885,125219,52.0468,372725,7.46711,651.164,146.453,0.412944,0.228284,3.68995,376543
1.3,148.457,517133,9.29786,0.166316,999003,812.445,123961,55.9906,373269,7.66055,772.125,175.604,0.475679,0.297553,3.70297,398168
1.4,158.093,516124,9.26158,0.16666,998912,871.292,123175,59.8837,373665,7.80569,900.15,207.036,0.539434,0.378751,3.71801,419589
1.5,168.343,515494,9.2334,0.168603,998821,927.6,122685,63.7441,373959,7.91404,1034.49,240.645,0.603836,0.472462,3.73568,440898
1.6,179.238,515099,9.21311,0.170789,998730,981.541,122378,67.5851,374184,7.99492,1174.45,276.336,0.668602,0.579192,3.75606,462207
1.7,190.81,514853,9.19958,0.174104,998640,1033.28,122187,71.4171,374363,8.05558,1319.41,314.019,0.733526,0.699379,3.77891,483629
1.8,203.094,514701,9.19145,0.176943,998549,1082.95,122069,75.2476,374513,8.10152,1468.79,353.613,0.798455,0.833398,3.80377,505171
1.9,216.123,514606,9.18735,0.180391,998459,1130.68,121995,79.0819,374645,8.1368,1622.07,395.042,0.863282,0.981566,3.83019,526850
2,229.935,514546,9.18608,0.184392,998369,1176.58,121950,82.9237,374766,8.16438,1778.77,438.234,0.927927,1.14415,3.85784,548726
2.1,244.568,514510,9.18667,0.188836,998279,1220.74,121922,86.7757,374883,8.18639,1938.44,483.124,0.992334,1.32137,3.88644,570839
2.2,260.062,514487,9.1884,0.192222,998188,1263.23,121904,90.6396,374999,8.20434,2100.67,529.647,1.05647,1.51339,3.91568,593142
2.3,276.457,514473,9.19075,0.197534,998098,1304.13,121894,94.5164,375118,8.2193,2265.08,577.743,1.12029,1.72035,3.94551,615750
2.4,293.797,514463,9.19339,0.20252,998008,1343.5,121887,98.4069,375241,8.23204,2431.32,627.356,1.18379,1.94235,3.97585,638667
2.5,312.124,514458,9.1961,0.207398,997918,1381.4,121883,102.311,375371,8.24312,2599.04,678.431,1.24695,2.17944,4.00658,661873
2.6,331.483,514454,9.19877,0.213055,997827,1417.9,121881,106.231,375508,8.25293,2767.96,730.916,1.30976,2.43165,4.03767,685370
2.7,351.92,514451,9.20131,0.219198,997737,1453.03,121879,110.164,375655,8.26179,2937.77,784.76,1.37221,2.69898,4.06913,709188
2.8,373.482,514449,9.20372,0.224481,997647,1486.85,121878,114.113,375810,8.26992,3108.22,839.916,1.4343,2.9814,4.10096,733336
2.9,396.215,514447,9.20597,0.230509,997556,1519.41,121878,118.076,375976,8.27751,3279.05,896.337,1.49603,3.27886,4.13313,757788
3,420.168,514446,9.20806,0.236901,997466,1550.75,121878,122.054,376152,8.28468,3450.05,953.98,1.55739,3.59128,4.16571,782598
3.1,445.388,514445,9.21,0.243416,997376,1580.92,121877,126.047,376340,8.29156,3620.99,1012.8,1.61838,3.91856,4.19864,807728
3.2,471.925,514443,9.2118,0.250081,997285,1609.97,121877,130.056,376540,8.29824,3791.68,1072.76,1.679,4.26057,4.23196,833198
3.3,499.826,514442,9.21347,0.256961,997195,1637.92,121877,134.079,376753,8.3048,3961.94,1133.83,1.73926,4.61719,4.26567,859004
3.4,529.141,514441,9.21502,0.264079,997104,1664.83,121877,138.118,376978,8.3113,4131.61,1195.95,1.79916,4.98826,4.29977,885147
