Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,69.1238,985850,3.05249,0.0936854,999995,5.33669,463216,2.48075,305102,0.249727,0.26184,0.0528188,0.000723435,6.45092e-06,1.04321,136195
0.2,77.2836,967897,5.60081,0.182325,999980,20.0755,416539,11.5983,343669,0.965195,2.20377,0.448317,0.00568575,0.000108115,1.84142,157064
0.3,85.463,950336,7.61476,0.235199,999957,42.2101,370877,27.4941,370669,2.0281,7.5482,1.5488,0.0184268,0.000559061,2.48541,188113
0.4,93.7048,935668,9.12734,0.261622,999928,69.7916,332733,48.5874,389581,3.28858,17.7304,3.67026,0.0412599,0.00177034,2.98074,224349
0.5,102.092,924653,10.2115,0.273057,999894,101.104,304089,73.0762,402834,4.61056,33.7605,7.05227,0.0752183,0.00427277,3.34685,262650
0.6,110.728,916966,10.9558,0.277362,999858,134.755,284097,99.6101,412128,5.89179,56.2325,11.8567,0.120284,0.00867315,3.60931,301424
0.7,119.717,911867,11.4459,0.278298,999819,169.683,270837,127.341,418650,7.06695,85.3985,18.1799,0.175716,0.0156152,3.79372,339934
0.8,129.162,908604,11.7557,0.277412,999780,205.129,262352,155.775,423232,8.10241,121.258,26.0687,0.240355,0.0257496,3.9223,377826
0.9,139.153,906563,11.9439,0.276329,999739,240.567,257045,184.618,426463,8.987,163.648,35.5365,0.31287,0.039714,4.01297,414973
1,149.773,905305,12.0539,0.276297,999698,275.662,253777,213.707,428753,9.72558,212.295,46.5734,0.391911,0.0581195,4.07909,451471
1.1,161.093,904538,12.116,0.276517,999656,310.21,251783,242.949,430384,10.3318,266.869,59.1557,0.476219,0.0815429,4.13,487395
1.2,173.181,904072,12.15,0.277896,999614,344.1,250575,272.3,431557,10.8233,327.014,73.2525,0.564685,0.110522,4.17193,522881
1.3,186.097,903794,12.1684,0.280244,999573,377.275,249853,301.737,432411,11.2182,392.372,88.8294,0.65637,0.145554,4.20876,558052
1.4,199.902,903627,12.1787,0.283528,999531,409.714,249423,331.256,433045,11.5335,462.591,105.851,0.750489,0.187098,4.24292,593026
1.5,214.654,903526,12.1853,0.287789,999489,441.412,249163,360.855,433529,11.7844,537.33,124.283,0.846392,0.235577,4.27589,627914
1.6,230.413,903465,12.1903,0.292836,999447,472.379,249006,390.541,433913,11.9839,616.267,144.089,0.943566,0.29138,4.30837,662811
1.7,247.241,903427,12.1944,0.298474,999405,502.629,248911,420.318,434229,12.1425,699.097,165.239,1.04161,0.354855,4.34064,697782
1.8,265.202,903404,12.1981,0.30541,999363,532.176,248855,450.188,434501,12.2689,785.53,187.699,1.14019,0.426325,4.37293,732929
1.9,284.363,903390,12.2015,0.312102,999321,561.037,248821,480.155,434747,12.3698,875.294,211.439,1.23906,0.506077,4.4053,768260
2,304.792,903380,12.2047,0.319871,999279,589.226,248801,510.22,434978,12.4507,968.13,236.43,1.33803,0.594374,4.43779,803821
2.1,326.563,903374,12.2075,0.328371,999238,616.758,248789,540.383,435204,12.5159,1063.8,262.645,1.43694,0.691449,4.47045,839669
2.2,349.751,903370,12.2102,0.337231,999196,643.649,248782,570.645,435430,12.5689,1162.06,290.054,1.53567,0.797512,4.50332,875828
2.3,374.435,903366,12.2127,0.346645,999154,669.913,248778,601.006,435662,12.6122,1262.7,318.633,1.63412,0.912748,4.53643,912324
2.4,400.696,903364,12.2149,0.357414,999112,695.563,248776,631.466,435903,12.648,1365.52,348.356,1.73222,1.03732,4.56981,949205
2.5,428.619,903361,12.217,0.367119,999070,720.614,248774,662.026,436156,12.678,1470.32,379.197,1.82993,1.17137,4.60345,986444
2.6,458.291,903358,12.219,0.3788,999028,745.079,248773,692.684,436423,12.7036,1576.92,411.134,1.92719,1.31502,4.63735,1.02405e+06
2.7,489.803,903356,12.2207,0.390556,998986,768.971,248773,723.442,436706,12.7257,1685.13,444.144,2.02398,1.46837,4.67157,1.06205e+06
