Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,67.1964,909765,7.01567,0.341207,999967,32.4365,415115,5.60911,293512,0.584847,1.582,0.319173,0.00174723,3.96771e-05,2.39443,154925
0.2,73.0184,792994,10.9356,0.447821,999887,109.261,305255,22.4284,323957,1.99033,12.058,2.4546,0.0125172,0.000614672,3.72844,215393
0.3,78.7977,702225,12.6088,0.433304,999783,205.234,219858,41.7408,345256,3.68126,37.5498,7.71617,0.0369814,0.00294313,4.33287,278902
0.4,84.8165,644574,13.0129,0.399064,999670,304.603,165622,58.1636,360154,5.28599,80.6331,16.7346,0.0757505,0.00866456,4.5178,336992
0.5,91.265,610799,12.8489,0.366523,999557,399.647,133849,71.1482,370576,6.6329,141.321,29.6363,0.127107,0.0195247,4.51139,389139
0.6,98.2569,591502,12.5098,0.342258,999447,487.643,115699,81.6126,377867,7.6869,218.276,46.2725,0.188507,0.0371804,4.443,436433
0.7,105.86,580472,12.1798,0.325909,999339,568.339,105326,90.464,382970,8.47932,309.679,66.3863,0.257453,0.063116,4.37405,480176
0.8,114.119,574082,11.924,0.316648,999234,642.497,99317.9,98.3366,386550,9.06401,413.676,89.7013,0.331846,0.0986224,4.32694,521482
0.9,123.069,570347,11.7478,0.313003,999131,711.131,95806.8,105.626,389067,9.49438,528.582,115.962,0.410083,0.144802,4.30436,561246
1,132.746,568148,11.6365,0.312012,999029,775.14,93740.5,112.578,390844,9.81365,652.935,144.948,0.490994,0.202593,4.30201,600051
1.1,143.188,566850,11.5705,0.314594,998928,835.223,92521.1,119.338,392105,10.0537,785.485,176.469,0.573744,0.272792,4.31398,638325
1.2,154.44,566082,11.5337,0.319175,998828,891.888,91800.8,125.998,393008,10.2369,925.152,210.363,0.657737,0.356073,4.33528,676384
1.3,166.552,565628,11.5144,0.325552,998727,945.501,91375.4,132.61,393664,10.3787,1071,246.489,0.742541,0.453007,4.36229,714430
1.4,179.581,565360,11.5052,0.332514,998627,996.326,91124.9,139.205,394151,10.4897,1222.18,284.718,0.827843,0.564072,4.39262,752557
1.5,193.584,565202,11.5013,0.340961,998527,1044.57,90977.6,145.801,394522,10.5775,1377.97,324.938,0.913407,0.689663,4.42495,790941
1.6,208.628,565108,11.5003,0.350636,998427,1090.38,90891.3,152.409,394816,10.6474,1537.68,367.043,0.999054,0.830104,4.45847,829634
1.7,224.78,565052,11.5007,0.360836,998326,1133.91,90840.9,159.035,395059,10.7035,1700.71,410.936,1.08465,0.985651,4.49279,868684
1.8,242.114,565019,11.5019,0.371885,998226,1175.28,90811.5,165.682,395271,10.7487,1866.5,456.527,1.17008,1.1565,4.52768,908136
1.9,260.705,564999,11.5033,0.383436,998126,1214.59,90794.5,172.352,395466,10.7854,2034.54,503.732,1.25527,1.3428,4.56304,948015
2,280.644,564985,11.5048,0.396009,998026,1251.97,90784.4,179.046,395652,10.8157,2204.32,552.462,1.34015,1.54463,4.59883,988351
2.1,302.014,564977,11.5063,0.409333,997926,1287.5,90778.5,185.765,395838,10.8407,2375.43,602.647,1.42467,1.76205,4.63503,1.02916e+06
2.2,324.9,564970,11.5078,0.423433,997826,1321.27,90775.2,192.509,396027,10.8617,2547.51,654.222,1.50881,1.99505,4.67164,1.07047e+06
2.3,349.408,564966,11.5091,0.43832,997726,1353.38,90773.3,199.279,396225,10.8796,2720.17,707.112,1.59252,2.24358,4.70865,1.11227e+06
2.4,375.605,564962,11.5104,0.453999,997626,1383.88,90772.4,206.076,396432,10.8948,2893.18,761.277,1.6758,2.5076,4.74606,1.15457e+06
2.5,403.6,564958,11.5115,0.470472,997525,1412.86,90772,212.898,396653,10.9082,3066.21,816.649,1.75862,2.78703,4.78387,1.19736e+06
2.6,433.5,564954,11.5125,0.487772,997425,1440.39,90771.8,219.747,396889,10.9201,3239,873.174,1.84098,3.08173,4.82206,1.24063e+06
2.7,465.41,564950,11.5135,0.505909,997325,1466.56,90771.7,226.622,397141,10.9311,3411.27,930.798,1.92286,3.39158,4.86064,1.28438e+06
2.8,499.449,564947,11.5143,0.524881,997225,1491.42,90771.7,233.524,397413,10.9415,3582.78,989.468,2.00427,3.7164,4.8996,1.32859e+06
2.9,535.736,564942,11.515,0.54481,997125,1515.04,90771.6,240.452,397704,10.9514,3753.36,1049.14,2.08519,4.05599,4.93887,1.37322e+06
3,574.392,564938,11.5156,0.565661,997025,1537.48,90771.5,247.407,398017,10.9612,3922.78,1109.76,2.16563,4.41017,4.97847,1.41827e+06
3.1,615.543,564933,11.517,0.587104,996925,1558.81,90771.5,254.388,398353,10.971,4090.91,1171.3,2.2456,4.7787,5.01863,1.46366e+06
3.2,659.319,564928,11.5177,0.609833,996825,1579.08,90771.4,261.395,398713,10.9809,4257.6,1233.72,2.3251,5.16134,5.05887,1.50939e+06
3.3,705.85,564923,11.5174,0.63401,996725,1598.33,90771.4,268.428,399098,10.991,4422.71,1296.98,2.40412,5.55785,5.09906,1.55545e+06
3.4,755.275,564918,11.5176,0.658807,996625,1616.62,90771.4,275.487,399510,11.0014,4586.15,1361.04,2.48268,5.96797,5.13962,1.60176e+06
3.5,807.732,564912,11.5177,0.684698,996524,1634,90771.4,282.57,399951,11.0121,4747.8,1425.88,2.56079,6.39142,5.18038,1.64829e+06
3.6,863.362,564906,11.5179,0.711838,996424,1650.5,90771.4,289.678,400422,11.0232,4907.6,1491.46,2.63845,6.82794,5.2213,1.69498e+06
3.7,922.312,564900,11.5184,0.73988,996324,1666.18,90771.4,296.81,400924,11.035,5065.46,1557.76,2.71566,7.27725,5.26236,1.74175e+06
3.8,984.728,564893,11.5185,0.769296,996224,1681.07,90771.4,303.965,401459,11.0473,5221.33,1624.76,2.79244,7.73905,5.30337,1.78857e+06
