Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,66.2531,1.07505e+06,0.408925,0.00295052,999996,3.80374,457359,0.919139,287725,0.0308302,0.174773,0.0352553,8.82636e-05,4.30225e-06,3.74211,130182
0.2,71.6699,1.12534e+06,0.850062,0.00718521,999984,15.4625,428784,3.73815,314127,0.126649,1.51616,0.308374,0.000723264,7.3501e-05,4.02452,130875
0.3,77.1982,1.15765e+06,1.31195,0.0119929,999963,35.1696,410427,8.61434,332609,0.286545,5.41088,1.1096,0.00246545,0.00039142,4.33532,132158
0.4,82.7843,1.17779e+06,1.78442,0.0175253,999934,62.9067,398983,15.7726,345545,0.504315,13.3221,2.75455,0.00583785,0.00128486,4.66952,134067
0.5,88.3745,1.18994e+06,2.25861,0.0234635,999895,98.4796,392076,25.474,354604,0.770995,26.6753,5.56132,0.0112933,0.00322118,5.02233,136624
0.6,93.9171,1.19701e+06,2.72695,0.0296434,999847,141.546,388053,37.9879,360951,1.07649,46.7918,9.83679,0.0191979,0.00680213,5.38887,139815
0.7,99.3639,1.20097e+06,3.1832,0.035861,999791,191.648,385800,53.5671,365397,1.41066,74.8531,15.8687,0.0298261,0.0127514,5.76435,143600
0.8,104.671,1.20312e+06,3.62224,0.0419435,999726,248.239,384576,72.4306,368520,1.764,111.892,23.9224,0.0433691,0.0218925,6.14402,147917
0.9,109.801,1.20425e+06,4.04014,0.0477482,999652,310.709,383928,94.7506,370714,2.12793,158.766,34.2352,0.059935,0.0351422,6.52336,152685
1,114.723,1.20482e+06,4.43404,0.053171,999571,378.402,383601,120.641,372250,2.49504,216.173,47.0178,0.0795594,0.0534909,6.8982,157814
1.1,119.41,1.20511e+06,4.80196,0.0581555,999483,450.648,383436,150.16,373326,2.85912,284.653,62.4536,0.102222,0.0779788,7.26483,163209
1.2,123.846,1.20525e+06,5.14274,0.0626485,999388,526.773,383350,183.309,374081,3.21505,364.596,80.6992,0.127852,0.109687,7.62005,168777
1.3,128.016,1.20532e+06,5.45596,0.066664,999286,606.108,383309,220.038,374606,3.55875,456.25,101.885,0.156339,0.149723,7.96125,174433
1.4,131.914,1.20534e+06,5.7418,0.0702553,999179,688.012,383296,260.249,374967,3.88714,559.733,126.117,0.187541,0.199203,8.28651,180100
1.5,135.535,1.20532e+06,6.00093,0.0733345,999067,771.877,383304,303.806,375214,4.19795,675.047,153.478,0.221298,0.259241,8.59439,185710
1.6,138.882,1.20531e+06,6.23436,0.076015,998950,857.135,383305,350.554,375379,4.48959,802.073,184.027,0.257431,0.330939,8.88389,191206
1.7,141.958,1.20527e+06,6.44351,0.0780305,998829,943.261,383325,400.295,375486,4.76114,940.604,217.802,0.295753,0.41537,9.15405,196518
1.8,144.769,1.20525e+06,6.62988,0.0798851,998704,1029.78,383338,452.832,375554,5.01222,1090.35,254.825,0.336073,0.51358,9.40471,201610
1.9,147.322,1.20525e+06,6.79516,0.0815884,998575,1116.26,383337,507.945,375592,5.24289,1250.94,295.1,0.3782,0.626572,9.63661,206472
2,149.626,1.20526e+06,6.94109,0.0832574,998444,1202.34,383329,565.422,375609,5.45354,1421.95,338.615,0.421945,0.755303,9.85107,211114
2.1,151.688,1.20528e+06,7.06944,0.0846635,998310,1287.66,383319,625.053,375611,5.64488,1602.91,385.346,0.467127,0.900677,10.0492,215539
2.2,153.518,1.20529e+06,7.18192,0.085657,998174,1371.96,383311,686.635,375601,5.8178,1793.31,435.259,0.513572,1.06355,10.2315,219728
2.3,155.124,1.20529e+06,7.28016,0.0862116,998036,1454.98,383311,749.979,375584,5.97335,1992.6,488.308,0.561115,1.2447,10.3979,223639
2.4,156.513,1.20529e+06,7.36569,0.0862985,997896,1536.52,383305,814.889,375560,6.11265,2200.2,544.44,0.609604,1.44487,10.5482,227231
2.5,157.694,1.20529e+06,7.43997,0.0872569,997754,1616.42,383306,881.178,375532,6.2369,2415.55,603.594,0.658896,1.66472,10.6845,230557
2.6,158.671,1.20529e+06,7.5043,0.0875925,997612,1694.53,383308,948.682,375500,6.34731,2638.06,665.704,0.70886,1.90487,10.8085,233645
2.7,159.451,1.20528e+06,7.55987,0.087845,997468,1770.76,383309,1017.25,375466,6.44506,2867.12,730.701,0.759377,2.16584,10.9211,236499
2.8,160.039,1.20528e+06,7.60778,0.0878935,997323,1845.01,383309,1086.75,375429,6.53131,3102.17,798.51,0.810338,2.44812,11.0226,239115
2.9,160.44,1.20529e+06,7.64898,0.0879513,997178,1917.24,383308,1157.05,375392,6.60717,3342.61,869.056,0.861646,2.75213,11.1138,241496
3,160.656,1.20529e+06,7.68435,0.0879314,997031,1987.39,383308,1228.03,375353,6.67369,3587.89,942.259,0.913212,3.07822,11.1954,243653
3.1,160.692,1.20529e+06,7.71463,0.0878254,996884,2055.45,383307,1299.59,375312,6.73184,3837.44,1018.04,0.964958,3.4267,11.2684,245600
3.2,160.55,1.20529e+06,7.74052,0.0876938,996737,2121.41,383307,1371.64,375272,6.78253,4090.73,1096.32,1.01681,3.79781,11.3335,247351
3.3,160.233,1.20529e+06,7.76258,0.0873775,996589,2185.28,383307,1444.07,375230,6.82659,4347.24,1177.02,1.06872,4.19173,11.3911,248909
3.4,159.744,1.20529e+06,7.78133,0.0871735,996441,2247.05,383307,1516.83,375188,6.86478,4606.47,1260.07,1.12062,4.60861,11.442,250289
3.5,159.084,1.20529e+06,7.79722,0.0866588,996293,2306.77,383307,1589.83,375146,6.89778,4867.94,1345.37,1.17246,5.04853,11.4863,251489
3.6,158.256,1.20529e+06,7.81063,0.0864358,996144,2364.45,383307,1663.01,375103,6.9262,5131.2,1432.85,1.22421,5.51153,11.5248,252532
3.7,157.263,1.20529e+06,7.82189,0.0856834,995995,2420.13,383307,1736.32,375060,6.9506,5395.81,1522.45,1.27583,5.9976,11.5575,253404
3.8,156.107,1.20529e+06,7.83129,0.0854525,995846,2473.85,383306,1809.69,375016,6.97147,5661.35,1614.07,1.32728,6.5067,11.5854,254140
3.9,154.791,1.20529e+06,7.83907,0.0846173,995696,2525.65,383306,1883.09,374972,6.98924,5927.43,1707.65,1.37854,7.03874,11.608,254716
4,153.317,1.20529e+06,7.84543,0.0839212,995547,2575.58,383306,1956.46,374928,7.00429,6193.69,1803.13,1.42958,7.5936,11.6254,255126
4.1,151.689,1.20529e+06,7.85056,0.0834908,995398,2623.68,383306,2029.76,374883,7.01696,6459.77,1900.41,1.48039,8.17111,11.6392,255434
4.2,149.911,1.20529e+06,7.85461,0.0826743,995248,2670.01,383306,2102.96,374838,7.02755,6725.34,1999.45,1.53095,8.77109,11.6497,255644
4.3,147.986,1.20529e+06,7.85771,0.0817737,995099,2714.61,383306,2176.03,374793,7.03632,6990.1,2100.17,1.58124,9.3933,11.6557,255708
4.4,145.919,1.20529e+06,7.85996,0.0806234,994949,2757.52,383306,2248.93,374747,7.04348,7253.77,2202.5,1.63124,10.0375,11.6573,255627
4.5,143.716,1.20529e+06,7.86146,0.0800498,994799,2798.81,383306,2321.63,374702,7.04924,7516.06,2306.39,1.68095,10.7034,11.6557,255442
