Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,65.8729,1.02528e+06,7.5213,0.379876,999986,13.8276,576454,19.9613,287620,0.608322,0.657329,0.132615,0.00181057,1.64552e-05,4.64536,156933
0.2,70.704,1.04966e+06,12.6673,0.522684,999950,49.0945,650133,107.771,313945,2.1428,5.13703,1.04553,0.013223,0.000258982,7.24843,220856
0.3,75.5327,1.06427e+06,16.0718,0.547986,999900,98.3974,694269,286.006,332367,4.17719,16.6059,3.41033,0.0403145,0.00127254,9.31503,287727
0.4,80.3764,1.07064e+06,18.22,0.545388,999840,156.36,713467,548.897,345257,6.36801,37.2355,7.71828,0.0857428,0.00386493,10.8838,348789
0.5,85.2384,1.07287e+06,19.5073,0.5365,999774,219.208,720165,877.415,354278,8.48277,68.2611,14.2851,0.149646,0.00900674,12.0667,402677
0.6,90.111,1.07353e+06,20.2419,0.526604,999705,284.449,722148,1252.87,360590,10.3909,110.196,23.2882,0.230603,0.0177467,12.9717,449775
0.7,94.9764,1.07371e+06,20.6427,0.518487,999633,350.543,722653,1661.33,365004,12.0384,163.067,34.8089,0.326423,0.031151,13.6827,490887
0.8,99.809,1.07375e+06,20.8538,0.512566,999561,416.582,722779,2093.33,368094,13.4182,226.608,48.8701,0.434692,0.0502653,14.2603,526925
0.9,104.577,1.07376e+06,20.9622,0.509187,999488,482.074,722815,2542.81,370258,14.5509,300.391,65.4587,0.553079,0.0760929,14.7454,558751
1,109.244,1.07376e+06,21.0171,0.507746,999415,546.768,722823,3005.88,371774,15.4681,383.909,84.5431,0.679501,0.109583,15.1632,586991
1.1,113.77,1.07377e+06,21.0449,0.507118,999342,610.544,722824,3480.02,372836,16.2043,476.63,106.083,0.812183,0.151625,15.5312,612273
1.2,118.115,1.07377e+06,21.0595,0.508258,999269,673.35,722824,3963.44,373579,16.7915,578.024,130.034,0.949653,0.203051,15.8594,634995
1.3,122.237,1.07376e+06,21.0676,0.509806,999195,735.17,722824,4454.88,374099,17.2578,687.576,156.353,1.09072,0.264631,16.1557,655563
1.4,126.095,1.07376e+06,21.0729,0.511536,999122,796.004,722824,4953.35,374463,17.627,804.792,184.995,1.23441,0.337085,16.4252,674256
1.5,129.648,1.07376e+06,21.0766,0.513203,999049,855.86,722824,5458.01,374716,17.9188,929.201,215.918,1.37994,0.421077,16.6705,691226
1.6,132.859,1.07376e+06,21.0795,0.514642,998975,914.752,722824,5968.14,374892,18.1492,1060.35,249.081,1.52671,0.51722,16.8941,706638
1.7,135.69,1.07376e+06,21.0818,0.515585,998902,972.692,722824,6483.11,375013,18.3305,1197.82,284.444,1.67424,0.626078,17.0976,720611
1.8,138.11,1.07376e+06,21.0836,0.515925,998828,1029.69,722824,7002.3,375093,18.4731,1341.21,321.968,1.82215,0.748169,17.2822,733228
1.9,140.089,1.07376e+06,21.0851,0.515483,998755,1085.77,722824,7525.15,375145,18.5852,1490.12,361.617,1.97012,0.883975,17.4489,744550
2,141.601,1.07376e+06,21.0862,0.514256,998682,1140.94,722824,8051.12,375176,18.6733,1644.19,403.352,2.11792,1.03393,17.5984,754626
2.1,142.628,1.07376e+06,21.0871,0.512072,998608,1195.21,722824,8579.68,375192,18.7425,1803.05,447.138,2.26536,1.19844,17.7309,763483
