Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,64.3487,897064,3.35779,0.0225771,999992,7.55152,549079,5.06271,287448,0.261541,0.352182,0.07105,0.000762401,8.78166e-06,1.93741,131499
0.2,67.03,787683,6.26364,0.0458488,999971,28.7212,601220,25.8871,313649,0.994071,2.90407,0.590873,0.00590068,0.000143769,2.87766,136639
0.3,69.0692,693964,8.69317,0.0637139,999937,61.1267,645882,69.3074,331981,2.07667,9.84862,2.02114,0.0189705,0.000733961,3.69105,144819
0.4,70.5177,624787,10.7052,0.0758828,999894,102.533,678833,139.146,344806,3.37745,23.0638,4.77483,0.0423758,0.00231027,4.38973,155156
0.5,71.4302,579086,12.3907,0.0834316,999843,151.101,700588,236.45,353775,4.78611,44.0054,9.1922,0.0774341,0.00556726,4.99643,166852
0.6,71.8536,551341,13.8348,0.0876766,999784,205.428,713783,360.638,360039,6.22342,73.7392,15.5442,0.12463,0.0113198,5.53357,179303
0.7,71.8261,535608,15.1013,0.089614,999720,264.475,721254,510.527,364412,7.63832,113.016,24.0453,0.183888,0.0204663,6.0181,192095
0.8,71.3801,527210,16.2322,0.0904215,999651,327.457,725231,684.893,367458,9.00011,162.35,34.8663,0.254784,0.0339612,6.46145,204979
0.9,70.5464,522977,17.2539,0.0890985,999576,393.752,727227,882.606,369574,10.2916,222.072,48.1454,0.336696,0.0527943,6.87029,217731
1,69.3557,520946,18.1822,0.0879117,999497,462.843,728176,1102.59,371039,11.5042,292.381,63.995,0.428893,0.0779744,7.24838,230184
1.1,67.8402,520018,19.0269,0.0855988,999415,534.28,728601,1343.8,372046,12.6344,373.365,82.5072,0.530604,0.110517,7.59827,242264
1.2,66.0338,519607,19.7947,0.083017,999329,607.658,728782,1605.15,372732,13.6818,465.026,103.757,0.641044,0.151436,7.92149,253892
1.3,63.9719,519427,20.4911,0.0801097,999239,682.608,728855,1885.51,373192,14.6479,567.293,127.804,0.75944,0.201733,8.21946,265033
1.4,61.6908,519355,21.1207,0.0766795,999147,758.792,728878,2183.7,373494,15.5353,680.032,154.695,0.885043,0.262395,8.49335,275650
1.5,59.2267,519334,21.688,0.0729931,999052,835.897,728877,2498.48,373683,16.3475,803.054,184.464,1.01713,0.334382,8.74412,285680
1.6,56.6156,519331,22.1975,0.068955,998954,913.638,728870,2828.6,373793,17.0883,936.129,217.137,1.15503,0.418631,8.97284,295082
1.7,53.8922,519326,22.6534,0.0658581,998855,991.757,728864,3172.78,373848,17.7616,1078.98,252.728,1.29809,0.516043,9.18115,303905
1.8,51.0895,519322,23.0598,0.0625921,998753,1070.02,728859,3529.78,373863,18.3716,1231.31,291.242,1.44571,0.627486,9.37087,312233
1.9,48.2388,519322,23.4206,0.0585348,998650,1148.21,728852,3898.4,373852,18.9226,1392.77,332.678,1.59733,0.75379,9.54291,320024
2,45.3689,519323,23.7395,0.054125,998546,1226.14,728846,4277.47,373820,19.4187,1563.02,377.026,1.75244,0.895743,9.69762,327164
2.1,42.5064,519324,24.0199,0.0511003,998440,1303.64,728840,4665.81,373776,19.8637,1741.66,424.27,1.91053,1.05409,9.83637,333698
2.2,39.6748,519323,24.2652,0.046655,998333,1380.55,728836,5062.35,373722,20.2617,1928.32,474.39,2.07117,1.22955,9.96064,339696
2.3,36.8952,519323,24.4782,0.0437645,998225,1456.75,728833,5466.06,373663,20.6162,2122.58,527.358,2.23396,1.42276,10.0715,345193
2.4,34.1859,519323,24.6618,0.040467,998116,1532.11,728829,5875.97,373599,20.9306,2324.03,583.143,2.3985,1.63434,10.17,350189
2.5,31.5625,519323,24.8185,0.0372102,998006,1606.52,728827,6291.17,373532,21.2083,2532.26,641.711,2.56446,1.86486,10.2569,354715
2.6,29.038,519323,24.9507,0.0342072,997896,1679.9,728824,6710.81,373465,21.4521,2746.85,703.023,2.73152,2.11485,10.333,358781
2.7,26.6227,519323,25.0604,0.0312785,997785,1752.16,728822,7134.1,373397,21.665,2967.37,767.037,2.89939,2.38478,10.3993,362411
2.8,24.3248,519323,25.1496,0.0285242,997674,1823.24,728820,7560.3,373330,21.8494,3193.4,833.71,3.06782,2.67507,10.4565,365641
2.9,22.1501,519323,25.2202,0.0259784,997562,1893.08,728819,7988.73,373263,22.0079,3424.52,902.994,3.23655,2.98613,10.5053,368494
3,20.1025,519323,25.2738,0.0235474,997450,1961.62,728818,8418.76,373198,22.1427,3660.33,974.842,3.40537,3.31828,10.5465,370991
3.1,18.1838,519323,25.3119,0.0212925,997338,2028.82,728817,8849.8,373134,22.2558,3900.43,1049.2,3.57409,3.67183,10.5805,373157
