Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,70.0659,1.07901e+06,5.51369,0.0407497,999996,4.35138,543879,6.80146,255463,0.377638,0.180778,0.0364696,0.001097,4.4953e-06,1.821,132572
0.2,78.7073,1.19558e+06,11.9646,0.10107,999982,18.273,608594,49.0969,259300,1.4971,1.50486,0.306144,0.00868957,7.39186e-05,3.83229,142964
0.3,86.1247,1.30895e+06,19.3679,0.163671,999956,43.1783,671480,179.49,261996,3.34721,5.2773,1.08247,0.0291159,0.000385575,6.14991,162423
0.4,91.4524,1.38785e+06,27.3959,0.214562,999918,80.2073,715168,474.162,263891,5.89164,12.9507,2.67802,0.0684981,0.0012529,8.67343,189973
0.5,93.9917,1.42763e+06,35.4967,0.246218,999867,129.738,737098,1012.59,265218,9.0328,26.0399,5.42828,0.132348,0.00313643,11.2306,222976
0.6,93.4084,1.44243e+06,43.1523,0.258432,999803,191.247,745156,1853.37,266139,12.6127,45.999,9.66697,0.225021,0.00664232,13.6581,258369
0.7,89.7912,1.44666e+06,50.0339,0.254807,999727,263.522,747368,3025.42,266769,16.4451,74.1107,15.7031,0.349317,0.0125097,15.8512,293524
0.8,83.5832,1.44758e+06,55.9961,0.238922,999640,345.001,747762,4531.56,267189,20.351,111.42,23.8065,0.506411,0.0215887,17.7626,326471
0.9,75.4526,1.44774e+06,61.011,0.215757,999545,434.014,747751,6354.83,267456,24.1783,158.716,34.2018,0.696028,0.034815,19.3818,356021
1,66.1573,1.44776e+06,65.1234,0.190019,999442,528.937,747690,8464.15,267611,27.8102,216.535,47.0681,0.916727,0.0531835,20.7215,381590
1.1,56.4285,1.44777e+06,68.4167,0.161383,999334,628.281,747632,10820.5,267687,31.165,285.185,62.5413,1.16622,0.0777243,21.8067,402954
1.2,46.8878,1.44777e+06,70.9925,0.133894,999220,730.731,747585,13381.9,267707,34.193,364.773,80.7192,1.44166,0.10948,22.6682,420156
1.3,38.0041,1.44777e+06,72.9569,0.108003,999103,835.163,747549,16107.4,267687,36.8707,455.244,101.667,1.73992,0.14949,23.3387,433521
1.4,30.0826,1.44777e+06,74.4118,0.0858778,998983,940.641,747522,18959.1,267642,39.195,556.406,125.42,2.05778,0.198771,23.8495,443458
1.5,23.2786,1.44777e+06,75.4506,0.0664762,998861,1046.4,747503,21904,267582,41.178,667.962,151.995,2.39208,0.258311,24.2296,450547
1.6,17.6253,1.44777e+06,76.1554,0.050364,998738,1151.84,747489,24914.2,267513,42.8417,789.541,181.387,2.73983,0.329055,24.5046,455210
1.7,13.0661,1.44777e+06,76.597,0.0374318,998614,1256.48,747481,27966.7,267440,44.2144,920.71,213.578,3.0983,0.411902,24.6965,457916
1.8,9.49041,1.44777e+06,76.8348,0.0272893,998489,1359.96,747476,31043.3,267367,45.3275,1061,248.541,3.46503,0.507701,24.8238,459077
1.9,6.75827,1.44777e+06,76.9178,0.0195096,998364,1462,747473,34129.5,267296,46.2131,1209.93,286.238,3.83784,0.617247,24.902,459053
2,4.72149,1.44777e+06,76.8849,0.0136872,998239,1562.43,747473,37215,267228,46.9026,1366.98,326.627,4.21488,0.741273,24.9432,458134
2.1,3.23867,1.44777e+06,76.7668,0.00943088,998114,1661.1,747475,40291.5,267163,47.4253,1531.66,369.662,4.59455,0.880462,24.9571,456559
2.2,2.1801,1.44777e+06,76.5896,0.00637797,997990,1757.91,747477,43352.8,267103,47.8087,1703.45,415.294,4.97545,1.03546,24.9519,454530
2.3,1.44064,1.44777e+06,76.3709,0.00423433,997866,1852.82,747480,46394.8,267046,48.0767,1881.88,463.472,5.35647,1.20683,24.9331,452187
2.4,0.935182,1.44777e+06,76.1233,0.00276151,997742,1945.81,747484,49415.2,266992,48.2499,2066.44,514.145,5.73674,1.3951,24.9048,449630
2.5,0.596415,1.44777e+06,75.8564,0.00176948,997618,2036.87,747488,52412,266942,48.3461,2256.69,567.259,6.1155,1.60073,24.8699,446937
2.6,0.373352,1.44777e+06,75.5772,0.00111285,997495,2126,747493,55384,266894,48.3803,2452.17,622.763,6.49218,1.82415,24.8307,444163
2.7,0.229332,1.44777e+06,75.2902,0.000686726,997373,2213.23,747497,58330.4,266848,48.3649,2652.44,680.605,6.86629,2.06574,24.7886,441345
2.8,0.138272,1.44777e+06,74.9987,0.000415943,997251,2298.56,747502,61250.9,266804,48.3102,2857.09,740.733,7.23749,2.32582,24.7446,438508
2.9,0.0818723,1.44777e+06,74.7048,0.000247326,997130,2382.04,747507,64145.3,266763,48.2244,3065.72,803.098,7.60548,2.60469,24.6994,435668
3,0.0476276,1.44777e+06,74.4098,0.000144563,997009,2463.68,747511,67013.5,266722,48.1142,3277.96,867.649,7.97005,2.90258,24.6534,432838
3.1,0.027207,1.44777e+06,74.1146,8.31038e-05,996888,2543.51,747516,69855.6,266683,47.985,3493.43,934.337,8.33104,3.21971,24.6069,430023
3.2,0.0152387,1.44777e+06,73.8198,4.63293e-05,996768,2621.57,747521,72671.5,266645,47.8411,3711.8,1003.11,8.68832,3.55624,24.5602,427228
3.3,0.00837103,1.44777e+06,73.5257,2.57484e-05,996649,2697.88,747525,75461.5,266609,47.6859,3932.73,1073.93,9.04181,3.91232,24.5132,424455
3.4,0.0045117,1.44777e+06,73.2325,1.54891e-05,996530,2772.47,747530,78225.6,266573,47.5221,4155.89,1146.75,9.39145,4.28804,24.4662,421707
3.5,0.00238234,1.44777e+06,72.9403,-3.04253e-06,996411,2845.38,747535,80964,266538,47.3517,4381,1221.51,9.7372,4.68348,24.419,418982
3.6,0.00120694,1.44777e+06,72.6492,-7.1637e-05,996293,2916.62,747539,83676.9,266504,47.1764,4607.77,1298.17,10.079,5.09869,24.3717,416283
3.7,0.000524971,1.44777e+06,72.3593,-0.000239649,996176,2986.24,747544,86364.4,266471,46.9975,4835.92,1376.7,10.417,5.53366,24.3244,413609
3.8,0.000107486,1.44777e+06,72.0704,-0.000561412,996059,3054.25,747549,89026.6,266439,46.816,5065.19,1457.04,10.751,5.98839,24.2771,410960
3.9,-0.000306651,1.44777e+06,71.7828,-0.00108929,995942,3120.69,747553,91663.8,266408,46.6328,5295.33,1539.16,11.081,6.46284,24.2297,408337
4,-0.000626045,1.44777e+06,71.4962,-0.00188765,995826,3185.59,747558,94276.2,266377,46.4483,5526.11,1623.01,11.4072,6.95696,24.1823,405740
4.1,-0.00115534,1.44777e+06,71.2109,-0.00301197,995710,3248.96,747562,96863.7,266347,46.2631,5757.31,1708.54,11.7295,7.47065,24.1348,403168
4.2,-0.00155934,1.44777e+06,70.9267,-0.00454279,995595,3310.84,747567,99426.7,266318,46.0775,5988.71,1795.73,12.048,8.0038,24.0873,400623
4.3,-0.0020779,1.44777e+06,70.6435,-0.00655651,995481,3371.25,747572,101965,266289,45.8917,6220.12,1884.53,12.3626,8.5563,24.0398,398103
4.4,-0.00241993,1.44777e+06,70.3615,-0.00915073,995367,3430.23,747576,104480,266261,45.706,6451.33,1974.9,12.6734,9.128,23.9922,395609
4.5,-0.00257205,1.44777e+06,70.0805,-0.0124044,995253,3487.78,747581,106970,266234,45.5204,6682.18,2066.8,12.9805,9.71872,23.9445,393142
4.6,-0.00239405,1.44777e+06,69.8006,-0.0164073,995140,3543.95,747585,109436,266207,45.3352,6912.49,2160.19,13.2838,10.3283,23.8969,390702
4.7,-0.00204646,1.44777e+06,69.5219,-0.0211978,995027,3598.74,747589,111878,266182,45.1505,7142.1,2255.05,13.5833,10.9566,23.8492,388288
4.8,-0.00166545,1.44777e+06,69.2443,-0.0267973,994915,3652.2,747594,114297,266156,44.9664,7370.86,2351.33,13.8792,11.6033,23.8014,385901
4.9,-0.00138741,1.44777e+06,68.9678,-0.0331245,994803,3704.33,747598,116692,266132,44.783,7598.61,2448.99,14.1715,12.2682,23.7537,383539
5,-0.00145354,1.44777e+06,68.6926,-0.0400335,994691,3755.17,747603,119064,266108,44.6003,7825.23,2548.01,14.4601,12.9512,23.706,381203
5.1,-0.00174561,1.44777e+06,68.4184,-0.0472141,994581,3804.73,747607,121413,266084,44.4184,8050.58,2648.34,14.7451,13.6519,23.6582,378890
5.2,-0.00222622,1.44777e+06,68.1454,-0.0542269,994470,3853.05,747611,123739,266061,44.2372,8274.54,2749.95,15.0265,14.3701,23.6104,376598
5.3,-0.00267417,1.44777e+06,67.8734,-0.060415,994360,3900.13,747616,126041,266039,44.0568,8497.01,2852.82,15.3044,15.1055,23.5626,374324
5.4,-0.00280098,1.44777e+06,67.6025,-0.0649246,994251,3946.01,747620,128321,266017,43.8772,8717.86,2956.9,15.5789,15.8579,23.5147,372062
5.5,-0.00265462,1.44777e+06,67.3326,-0.0666703,994142,3990.7,747625,130579,265996,43.6983,8937.01,3062.17,15.8498,16.627,23.4668,369808
5.6,-0.00215317,1.44777e+06,67.0637,-0.0643298,994033,4034.23,747629,132814,265975,43.5203,9154.35,3168.6,16.1173,17.4124,23.4188,367556
5.7,-0.0015803,1.44777e+06,66.7958,-0.0564176,993925,4076.61,747633,135027,265955,43.343,9369.8,3276.14,16.3814,18.2139,23.3708,365298
5.8,-0.00121872,1.44777e+06,66.5291,-0.0412488,993817,4117.87,747637,137217,265936,43.1664,9583.27,3384.78,16.6422,19.0313,23.3227,363027
5.9,-0.00116194,1.44777e+06,66.2635,-0.0171843,993710,4158.02,747642,139386,265917,42.9907,9794.69,3494.49,16.8995,19.8641,23.2746,360736
6,-0.00141202,1.44777e+06,65.999,-0.00027579,993603,4197.09,747646,141532,265898,42.8158,10004,3605.23,17.1536,20.712,23.2265,358503
6.1,-0.00141361,1.44777e+06,65.7356,-0.00479564,993496,4235.1,747650,143657,265880,42.6416,10211.1,3716.97,17.4044,21.5748,23.1785,356386
6.2,-0.00141361,1.44777e+06,65.4732,-0.0045964,993390,4272.06,747654,145761,265863,42.4683,10415.9,3829.7,17.6519,22.4521,23.1304,354270
