Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,65.3023,965382,68.9587,0.463898,997958,2041.57,184748,1571.97,223823,4.44466,77.6416,15.6662,0.013403,0.00197386,28.9395,163241
0.2,57.3985,956285,129.579,0.552913,992083,7913.27,101719,5840.71,205067,14.9281,564.582,114.964,0.0944172,0.0292676,54.6124,241399
0.3,41.9908,956168,175.08,0.420077,983146,16840.6,100219,14250.7,191211,27.8183,1724.66,354.523,0.278471,0.136881,74.072,310131
0.4,25.9933,956171,204.157,0.257755,972161,27808.1,99967.2,27081.9,180625,40.5074,3688.45,765.677,0.573604,0.398824,86.7045,355213
0.5,13.8554,956173,220.081,0.134107,960048,39894.7,99827.1,43018,172277,51.4897,6487.2,1360.44,0.969991,0.896336,93.836,379450
0.6,6.45129,956174,227.477,0.0606771,947456,52450.6,99761.7,60685.6,165504,60.1942,10090.8,2138.52,1.44909,1.70982,97.3852,390029
0.7,2.6525,956175,230.186,0.024164,934766,65095.4,99737,79132.2,159873,66.647,14439.5,3093.4,1.9904,2.91443,98.9589,393239
0.8,0.969502,956175,230.673,0.0085624,922167,77638.4,99731.9,97834.3,155089,71.1607,19464.3,4216.21,2.57519,4.57829,99.592,393063
0.9,0.315816,956175,230.244,0.00270001,909741,89998.7,99734.9,116552,150944,74.1275,25096.6,5497.74,3.18803,6.76215,99.8345,391545
1,0.0916025,956175,229.478,0.000768044,897517,102148,99740.9,135192,147292,75.9133,31273.2,6929.31,3.81694,9.5197,99.9314,389559
1.1,0.0229846,956175,228.604,0.000189598,885500,114081,99747.9,153721,144024,76.8197,37936.2,8502.95,4.45293,12.8983,99.98,387439
1.2,0.0050314,956175,227.702,-0.00347746,873690,125797,99755.1,172130,141061,77.0808,45033,10211.3,5.08939,16.9393,100.014,385306
1.3,0.000899927,956175,226.795,-0.00707286,862084,137301,99762.4,190417,138345,76.8742,52515.6,12047.7,5.72154,21.6789,100.042,383187
1.4,0.000157634,956175,225.89,-0.000627682,850678,148596,99769.7,208579,135834,76.3331,60340.1,14005.9,6.34595,27.1486,100.069,381023
1.5,2.91674e-05,956175,224.988,-0.000170253,839468,159686,99777,226619,133496,75.5563,68466.1,16079.9,6.96023,33.3752,100.095,378914
1.6,3.57997e-06,956175,224.09,-0.00027309,828449,170576,99784.2,244537,131305,74.6177,76856.1,18264.3,7.56275,40.3815,100.119,376827
