x,y,type
3,236595744.68085104,up
3,179574468.08510637,mean
3,76595744.68085104,down
8,187234042.55319148,up
8,150638297.87234038,mean
8,129361702.12765956,down
13,209361702.12765956,up
13,118297872.34042549,mean
13,58723404.25531912,down
18,263829787.23404256,up
18,175319148.93617016,mean
18,66382978.72340423,down
23,183829787.23404258,up
23,177872340.42553186,mean
23,129361702.12765956,down
28,243404255.31914893,up
28,123404255.31914896,mean
28,78297872.34042549,down
33,248510638.2978723,up
33,171914893.61702126,mean
33,102127659.57446808,down
38,234893617.0212766,up
38,163404255.31914896,mean
38,102127659.57446808,down 
