x,y,tuple,type
3,211597.03032717216,0,mean
3,311187.08499700465,0,up
3,163068.53646066933,0,down
8,241527.1169269469,1,mean
8,322695.66499280167,1,up
8,86713.94472795248,1,down
13,210380.0541366213,2,mean
13,331723.87186620786,2,up
13,98241.34394319101,2,down
18,178381.10801291,3,mean
18,300557.98985644075,3,up
18,77121.16127130103,3,down
23,214172.7541613999,4,mean
23,358951.518554182,4,up
23,145560.3893069195,4,down
28,215654.45403876135,5,mean
28,293479.4541171747,5,up
28,92640.7442373982,5,down
33,171110.61623534065,6,mean
33,264839.111356458,6,up
33,132609.0024872735,6,down
38,196856.5630459534,7,mean
38,292254.95023884723,7,up
38,129910.32641936115,7,down
43,216744.71415173935,8,mean
43,270305.46729690145,8,up
43,115492.295097907,8,down
48,204000.33874595002,9,mean
48,299402.48978273215,9,up
48,117807.05908921253,9,down
53,213017.2540876913,10,mean
53,277445.47915300966,10,up
53,135192.25400927788,10,down
58,191067.77114574553,11,mean
58,232905.40519347723,11,up
58,140025.02956185723,11,down
63,169114.52435991127,12,mean
63,224348.93342073815,12,up
63,92959.4163532744,12,down
68,168926.33216549616,13,mean
68,284404.82650247944,13,up
68,99465.84782151855,13,down
