x,y,tuple,type
3,0.0523801342281879,0,mean
3,0.10405906040268462,0,up
3,0.002045637583892642,0,down
8,0.06384322147651011,1,mean
8,0.11350335570469804,1,up
8,0.002098255033557052,1,down
13,0.07865986577181212,2,mean
13,0.1417449664429531,2,up
13,0.0034910067114094544,2,down
18,0.10756724832214767,3,mean
18,0.1834083221476511,3,up
18,0.054550335570469885,3,down
23,0.15258845637583898,4,mean
23,0.1941959731543625,4,up
23,0.08882899328859065,4,down
28,0.1687441610738256,5,mean
28,0.2170663087248323,5,up
28,0.10096214765100672,5,down
33,0.16208751677852357,6,mean
33,0.2050405369127517,6,up
33,0.10772402684563764,6,down
38,0.17355060402684572,7,mean
38,0.213816912751678,7,up
38,0.10106416107382551,7,down
43,0.14473986577181214,8,mean
43,0.2091704697986578,8,up
43,0.08567946308724833,8,down
48,0.10183946308724831,9,mean
48,0.16828134228187924,9,up
48,0.08237422818791952,9,down
53,0.09450630872483223,10,mean
53,0.10860241610738257,10,up
53,0.07370308724832217,10,down
58,0.09187328859060408,11,mean
58,0.107308456375839,11,up
58,0.07845154362416111,11,down
63,0.09192483221476516,12,mean
63,0.10266201342281886,12,up
63,0.07246496644295308,12,down
68,0.0986899328859061,13,mean
68,0.1100993288590605,13,up
68,0.07050201342281884,13,down
