x,y,tuple,type
3,0.002127784866032016,0,mean
3,0.00971243497889884,0,up
3,0.0002316223378153097,0,down
8,0.0028802303137370304,1,mean
8,0.0069421271305656375,1,up
8,0.0026067327510059784,1,down
13,0.004171819282232463,2,mean
13,0.03532306081722119,2,up
13,0.0006503745869728732,2,down
18,0.013592436287499596,3,mean
18,0.0880832270095201,3,up
18,0.002754604638989776,3,down
23,0.045490888867078895,4,mean
23,0.10183531259201099,4,up
23,0.003775313246311356,4,down
28,0.03405371806196226,5,mean
28,0.09797886609742534,5,up
28,0.01102627016063076,5,down
33,0.04942846860993882,6,mean
33,0.09764779010043512,6,up
33,0.016110184185559574,6,down
38,0.034467235908005364,7,mean
38,0.09162299211568031,7,up
38,0.010090620603919234,7,down
43,0.02465273006837441,8,mean
43,0.0747669054863088,8,up
43,0.008399908397945523,8,down
48,0.01863185788595544,9,mean
48,0.041926260346124906,9,up
48,0.004818268066869478,9,down
53,0.009903490692576952,10,mean
53,0.02724114240847973,10,up
53,0.004485883469100685,10,down
58,0.0095697974940295,11,mean
58,0.029614944220891812,11,up
58,0.004150881669774606,11,down
63,0.0076095135276605394,12,mean
63,0.025486308764353736,12,up
63,0.002461478064579467,12,down
68,0.006194916085975052,13,mean
68,0.027865344979880264,13,up
68,0.003215232113063081,13,down
