x,y,tuple,type
3,206322.44014957224,0,mean
3,292418.22948752844,0,up
3,130087.82360778804,0,down
8,142715.5116835484,1,mean
8,247643.9490537113,1,up
8,94282.15303944182,1,down
13,140093.69761744433,2,mean
13,269238.8143096605,2,up
13,72829.12362641298,2,down
18,162579.6931188125,3,mean
18,284552.7872892161,3,up
18,115942.92181836408,3,down
23,185072.85204659088,4,mean
23,281038.410292411,4,up
23,139332.94173268956,4,down
28,187833.63658505137,5,mean
28,288277.76902247884,5,up
28,123255.34749781512,5,down
33,194178.99969913598,6,mean
33,293732.0018911445,6,up
33,125120.70373501051,6,down
38,219359.8762159916,7,mean
38,320706.6003810942,7,up
38,145817.27531913065,7,down
43,230192.40963337576,8,mean
43,342298.60026647936,8,up
43,144092.3222395736,8,down
48,259856.15839768472,9,mean
48,354924.8556569577,9,up
48,173758.93637444658,9,down
53,231226.8084069972,10,mean
53,328087.7949540824,10,up
53,169343.4003352483,10,down
58,227705.26798378196,11,mean
58,329053.4248341666,11,up
58,162237.2813364088,11,down
63,200866.7745956245,12,mean
63,312080.40229802724,12,up
63,138989.0972650038,12,down
68,272691.5858393386,13,mean
68,360585.3952062349,13,up
68,135470.42221235257,13,down
