x,y,tuple,type
3,669996.4502724939,0,mean
3,949514.5225616504,0,up
3,535052.515086342,0,down
8,588252.490029442,1,mean
8,781027.7505167986,1,up
8,359336.8273788395,1,down
13,626990.4574972333,2,mean
13,822167.0042387923,2,up
13,448673.0283351778,2,down
18,735612.1191873213,3,mean
18,906704.8088367336,3,up
18,492234.4490614102,3,down
23,699651.2914743898,4,mean
23,943020.6093002862,4,up
23,535795.8697876428,4,down
28,740794.721346391,5,mean
28,952855.4425674973,5,up
28,569722.9124470152,5,down
33,714476.6240003341,6,mean
33,926528.9929214258,6,up
33,504846.4220834812,6,down
38,755628.4061723498,7,mean
38,912254.9121964462,7,up
38,558042.220876574,7,down
43,707623.5618383414,8,mean
43,873888.6220793051,8,up
43,529306.1326762857,8,down
48,736722.9750892653,9,mean
48,939132.6136434822,9,up
48,565638.6377398676,9,down
53,647750.0991835628,10,mean
53,852573.5524420037,10,up
53,450163.91388778685,10,down
58,785295.7758242677,11,mean
58,893716.9823140049,11,up
58,602150.7172537638,11,down
63,614391.0129251842,12,mean
63,821611.5762878204,12,up
63,460169.9693052975,12,down
68,797698.9413459733,13,mean
68,997711.4697959953,13,up
68,694084.4835146478,13,down
