x,y,tuple,type
3,449915.6545209176,0,mean
3,565052.0532099479,0,up
3,287201.1760169654,0,down
8,445561.01792943897,1,mean
8,622096.1056487372,1,up
8,264415.8473105841,1,down
13,413555.5234239445,2,mean
13,642278.7738577212,2,up
13,260046.75149411988,2,down
18,370804.4148833622,3,mean
18,513567.5727780991,3,up
18,212690.37979564286,3,down
23,383321.2839791786,4,mean
23,575216.888374783,4,up
23,257448.9107383844,4,down
28,400453.05571621354,5,mean
28,500224.11798727576,5,up
28,285311.8372855214,5,down
33,359237.0348949295,6,mean
33,478969.05725853087,6,up
33,270201.9471756313,6,down
38,391705.2245999613,7,mean
38,523713.12897628685,7,up
38,270433.2947753999,7,down
43,401151.91825718124,8,mean
43,548529.9787931365,8,up
43,281410.25641025626,8,down
48,392182.3790244842,9,mean
48,536485.4443801811,9,up
48,323103.4316560632,9,down
53,392413.72662425286,10,mean
53,542857.1428571428,10,up
53,260401.00250626553,10,down
58,427956.911509543,11,mean
58,516987.1794871794,11,up
58,294409.09967225743,11,down
63,331477.7327935221,12,mean
63,474240.890688259,12,up
63,217881.24156545184,12,down
68,393117.40890688245,13,mean
68,601903.7979564295,13,up
68,281070.464623096,13,down
