x,y,tuple,type
3,211597.03032717216,0,mean
3,311187.08499700465,0,up
3,163068.53646066933,0,down
8,241527.1169269469,1,mean
8,322695.66499280167,1,up
8,86713.94472795248,1,down
13,210380.0541366213,2,mean
13,331723.87186620786,2,up
13,98241.34394319101,2,down
18,178381.10801291,3,mean
18,300557.98985644075,3,up
18,77121.16127130103,3,down
23,214172.7541613999,4,mean
23,358951.518554182,4,up
23,145560.3893069195,4,down
28,215654.45403876135,5,mean
28,293479.4541171747,5,up
28,92640.7442373982,5,down
33,171110.61623534065,6,mean
33,264839.111356458,6,up
33,132609.0024872735,6,down
38,196856.5630459534,7,mean
38,292254.95023884723,7,up
38,129910.32641936115,7,down
