x,y,tuple,type
3,178964.50381559675,0,mean
3,235028.2131464793,0,up
3,75197.83704437887,0,down
8,147802.38564971788,1,mean
8,187144.5911995057,1,up
8,128562.87030734927,1,down
13,119162.04288900108,2,mean
13,119162.04288900108,2,up
13,57240.53785329163,2,down
18,173360.14026591557,3,mean
18,263737.559711815,3,up
18,64572.50574770331,3,down
23,174849.36783105362,4,mean
23,175689.9596327743,4,up
23,127987.00219243907,4,down
28,121929.7227615323,5,mean
28,240755.52892984508,5,up
28,75900.42123686183,5,down
33,170277.55212139647,6,mean
33,247265.7242419776,6,up
33,99976.47597569811,6,down
38,160876.72470304836,7,mean
38,233680.75703446736,7,up
38,99780.75609350645,7,down

