x,y,tuple,type
3,-0.0013111409395972942,0,mean
3,0.004060134228187962,0,up
3,-0.0033234899328858205,0,down
8,-0.001258523489932827,1,mean
8,-0.0025997315436241024,1,up
8,-0.0025997315436241024,1,down
13,0.002147651006711385,2,mean
13,0.0451006711409396,2,up
13,0.002148724832214782,2,down
18,0.0451543624161074,3,mean
18,0.06796993288590608,3,up
18,0.005557046979865788,3,down
23,0.14252134228187924,4,mean
23,0.19285583892617456,4,up
23,0.013659060402684588,4,down
28,0.16002147651006718,5,mean
28,0.22713557046979876,5,up
28,0.12982013422818794,5,down
33,0.1567162416107383,6,mean
33,0.2090673825503356,6,up
33,0.156045100671141,6,down
38,0.1769020134228189,7,mean
38,0.24200268456375848,7,up
38,0.09837959731543629,7,down

