x,y,tuple,type
3,0.0523801342281879,0,mean
3,0.10405906040268462,0,up
3,0.002045637583892642,0,down
8,0.06384322147651011,1,mean
8,0.11350335570469804,1,up
8,0.002098255033557052,1,down
13,0.07865986577181212,2,mean
13,0.1417449664429531,2,up
13,0.0034910067114094544,2,down
18,0.10756724832214767,3,mean
18,0.1834083221476511,3,up
18,0.054550335570469885,3,down
23,0.15258845637583898,4,mean
23,0.1941959731543625,4,up
23,0.08882899328859065,4,down
28,0.1687441610738256,5,mean
28,0.2170663087248323,5,up
28,0.10096214765100672,5,down
33,0.16208751677852357,6,mean
33,0.2050405369127517,6,up
33,0.10772402684563764,6,down
38,0.17355060402684572,7,mean
38,0.213816912751678,7,up
38,0.10106416107382551,7,down

