x,y,tuple,type
3,0.07318657718120812,0,mean
3,0.10540134228187929,0,up
3,0.047682147651006736,0,down
8,0.09136000000000008,1,mean
8,0.1450512751677853,1,up
8,0.09068885906040276,1,down
13,0.10885798657718124,2,mean
13,0.18201234899328864,2,up
13,0.10751677852348997,2,down
18,0.16059167785234904,3,mean
18,0.20622711409395983,3,up
18,0.0914630872483222,3,down
23,0.15460187919463095,4,mean
23,0.19822496644295315,4,up
23,0.08949906040268461,4,down
28,0.1888794630872484,5,mean
28,0.22445208053691282,5,up
28,0.15532456375838932,5,down
33,0.1969836241610739,6,mean
33,0.2600730201342283,6,up
33,0.15134818791946317,6,down
38,0.17019275167785244,7,mean
38,0.20106523489932893,7,up
38,0.10442201342281883,7,down

