x,y,tuple,type
3,0.006464487846370303,0,mean
3,0.006460562044034447,0,up
3,0.0061936074851964805,0,down
8,0.0004423070631727057,1,mean
8,0.0004423070631727057,1,up
8,0.0004423070631727057,1,down
13,0.003902247521837268,2,mean
13,0.05997317368403836,2,up
13,0.0014630156704943146,2,down
18,0.00600516897307557,3,mean
18,0.10027284326234176,3,up
18,0.003025485000163599,3,down
23,0.05063630712860275,4,mean
23,0.1056263290476658,4,up
23,0.00133869859652566,4,down
28,0.043261033140314736,5,mean
28,0.09472961036411816,5,up
28,0.011569339483756975,5,down
33,0.0193633657212026,6,mean
33,0.06026368305689142,6,up
33,0.0066319887460333,6,down
38,0.022277619655183684,7,mean
38,0.07780809369581576,7,up
38,0.006296986946707221,7,down

