x,y,tuple,type
3,0.002127784866032016,0,mean
3,0.00971243497889884,0,up
3,0.0002316223378153097,0,down
8,0.0028802303137370304,1,mean
8,0.0069421271305656375,1,up
8,0.0026067327510059784,1,down
13,0.004171819282232463,2,mean
13,0.03532306081722119,2,up
13,0.0006503745869728732,2,down
18,0.013592436287499596,3,mean
18,0.0880832270095201,3,up
18,0.002754604638989776,3,down
23,0.045490888867078895,4,mean
23,0.10183531259201099,4,up
23,0.003775313246311356,4,down
28,0.03405371806196226,5,mean
28,0.09797886609742534,5,up
28,0.01102627016063076,5,down
33,0.04942846860993882,6,mean
33,0.09764779010043512,6,up
33,0.016110184185559574,6,down
38,0.034467235908005364,7,mean
38,0.09162299211568031,7,up
38,0.010090620603919234,7,down

