x,y,tuple,type
3,0.00754539208950831,0,mean
3,0.012964307913763207,0,up
3,0.0010429548205581228,0,down
8,0.013443255798737197,1,mean
8,0.02021657342886118,1,up
8,0.0017967088690417654,1,down
13,0.022322112081656683,2,mean
13,0.06945398632512186,2,up
13,0.012567801877842127,2,down
18,0.05151045244871922,3,mean
18,0.07535054143357214,3,up
18,0.02740471750580693,3,down
23,0.050641541531717224,4,mean
23,0.09181143062780124,4,up
23,0.016778879183433133,4,down
28,0.042180128897176684,5,mean
28,0.0828095658716917,5,up
28,0.015628619099028355,5,down
33,0.040489416691202935,6,mean
33,0.07760002617201558,6,up
33,0.012048287368730997,6,down
38,0.04800994536591749,7,mean
38,0.0480112539666961,7,up
38,0.015505610625838299,7,down

