x,y,tuple,type
3,206322.44014957224,0,mean
3,292418.22948752844,0,up
3,130087.82360778804,0,down
8,142715.5116835484,1,mean
8,247643.9490537113,1,up
8,94282.15303944182,1,down
13,140093.69761744433,2,mean
13,269238.8143096605,2,up
13,72829.12362641298,2,down
18,162579.6931188125,3,mean
18,284552.7872892161,3,up
18,115942.92181836408,3,down
23,185072.85204659088,4,mean
23,281038.410292411,4,up
23,139332.94173268956,4,down
28,187833.63658505137,5,mean
28,288277.76902247884,5,up
28,123255.34749781512,5,down
33,194178.99969913598,6,mean
33,293732.0018911445,6,up
33,125120.70373501051,6,down
38,219359.8762159916,7,mean
38,320706.6003810942,7,up
38,145817.27531913065,7,down

