x,y,tuple,type
3,325418.1370194817,0,mean
3,527827.7755736986,0,up
3,308550.6671399635,0,down
8,195481.40569209238,1,mean
8,195481.40569209238,1,up
8,195481.40569209238,1,down
13,258311.58255204512,2,mean
13,255901.9439978285,2,up
13,142648.9319496355,2,down
18,239218.2247186317,3,mean
18,386206.1765258609,3,up
18,150061.5982126076,3,down
23,203261.57315570783,4,mean
23,292422.37581173907,4,up
23,77960.3683364308,4,down
28,376951.8281096656,5,mean
28,466108.45461568976,5,up
28,179361.46666388272,5,down
33,374717.5878557557,6,mean
33,589183.7714810716,6,up
33,230139.27460274362,6,down
38,420688.64713620505,7,mean
38,647194.6712325907,7,up
38,174905.51460608482,7,down

