x,y,tuple,type
3,669996.4502724939,0,mean
3,949514.5225616504,0,up
3,535052.515086342,0,down
8,588252.490029442,1,mean
8,781027.7505167986,1,up
8,359336.8273788395,1,down
13,626990.4574972333,2,mean
13,822167.0042387923,2,up
13,448673.0283351778,2,down
18,735612.1191873213,3,mean
18,906704.8088367336,3,up
18,492234.4490614102,3,down
23,699651.2914743898,4,mean
23,943020.6093002862,4,up
23,535795.8697876428,4,down
28,740794.721346391,5,mean
28,952855.4425674973,5,up
28,569722.9124470152,5,down
33,714476.6240003341,6,mean
33,926528.9929214258,6,up
33,504846.4220834812,6,down
38,755628.4061723498,7,mean
38,912254.9121964462,7,up
38,558042.220876574,7,down
