x,y,tuple,type
3,404932.03315863106,0,mean
3,718185.045206824,0,up
3,310956.12954417325,0,down
8,248489.27773485612,1,mean
8,448493.45388486364,1,up
8,243670.00062642264,1,down
13,337829.6548412019,2,mean
13,518552.546407467,2,up
13,171568.77075024534,2,down
18,412716.3767722536,3,mean
18,805487.4611096032,3,up
18,299467.5408740683,3,down
23,434586.874360527,4,mean
23,733382.0550834186,4,up
23,330972.4165292016,4,down
28,509481.94859159336,5,mean
28,661289.177507256,5,up
28,350437.45171326556,5,down
33,615685.6194274498,6,mean
33,849412.2068864715,6,up
33,473516.94472865475,6,down
38,620696.9994362198,7,mean
38,796596.437744044,7,up
38,425507.9242446388,7,down

