x,y,tuple,type
3,449915.6545209176,0,mean
3,565052.0532099479,0,up
3,287201.1760169654,0,down
8,445561.01792943897,1,mean
8,622096.1056487372,1,up
8,264415.8473105841,1,down
13,413555.5234239445,2,mean
13,642278.7738577212,2,up
13,260046.75149411988,2,down
18,370804.4148833622,3,mean
18,513567.5727780991,3,up
18,212690.37979564286,3,down
23,383321.2839791786,4,mean
23,575216.888374783,4,up
23,257448.9107383844,4,down
28,400453.05571621354,5,mean
28,500224.11798727576,5,up
28,285311.8372855214,5,down
33,359237.0348949295,6,mean
33,478969.05725853087,6,up
33,270201.9471756313,6,down
38,391705.2245999613,7,mean
38,523713.12897628685,7,up
38,270433.2947753999,7,down

