x,y,type
3,52.596519947090314,mean
3,103.73729327594145,up
3,1.4590352024671347,down
8,62.98186893895655,mean
8,114.80118681350802,up
8,0.2565095697801212,down
13,79.5037161001776,mean
13,143.5927417292107,up
13,3.820238678135297,down
18,107.6134378859519,mean
18,184.66715873630673,up
18,55.11228688147207,down
23,154.8210644781748,mean
22,195.0426419754891,up
23,90.04362855075749,down
28,168.6155791196826,mean
28,219.07123073437742,up
28,102.47776551663662,down
33,163.99402208467012,mean
33,208.31646411423813,up
33,107.40187230062048,down
38,175.74303733639294,mean
38,215.96790341793522,up
38,100.05627133012274,down
43,145.89694307826102,mean
43,207.26521335603678,up
43,85.90220481302578,down
48,103.0993079357192,mean
48,171.28262092855007,up
48,83.32285858357028,down
53,97.1173732250781,mean
53,109.39694673224358,up
53,73.25979084604319,down
58,93.86605961837813,mean
58,110.23334332088552,up
58,79.54756388988363,down
63,94.02391166131974,mean
63,105.61836345432891,up
63,73.5722063476984,down
68,100.31826187361611,mean
68,111.90942508239738,up
68,73.04493667648381,down
