x,y,type
3,106.38766519823793,up
3,76.65198237885465,mean
3,48.23788546255514,down
8,145.3744493392071,up
8,93.17180616740092,mean
8,85.24229074889871,down
13,183.03964757709258,up 
13,109.03083700440533,mean
13,103.74449339207052,down
18,206.16740088105732,up
18,160.57268722466964,mean
18,91.18942731277536,down 
23,198.89867841409696,up
23,153.96475770925113,mean
23,88.54625550660796,down
28,224.00881057268728,up
28,187.6651982378855,mean
28,155.28634361233483,down
33,259.6916299559472,up
33,196.25550660792956,mean 
33,150.00000000000003,down
38,201.54185022026437,up
38,169.1629955947137,mean
38,104.40528634361237,down
43,198.89867841409696,up
43,158.5903083700441,mean
43,90.52863436123351,down
48,163.21585903083704,up
48,96.47577092511017,mean
48,88.54625550660796,down
53,113.65638766519828,up
53,95.81497797356832,mean
53,85.90308370044056,down
58,114.31718061674013,up
58,99.77973568281942,mean
58,88.54625550660796,down
63,121.58590308370049,up
63,103.08370044052867,mean
63,89.20704845814981,down
68,118.94273127753308,up
68,106.38766519823793,mean
68,89.20704845814981,down

