x,y,type
3,106.38766519823793,up
3,76.65198237885465,mean
3,48.23788546255514,down
8,145.3744493392071,up
8,93.17180616740092,mean
8,85.24229074889871,down
13,183.03964757709258,up 
13,109.03083700440533,mean
13,103.74449339207052,down
18,206.16740088105732,up
18,160.57268722466964,mean
18,91.18942731277536,down 
23,198.89867841409696,up
23,153.96475770925113,mean
23,88.54625550660796,down
28,224.00881057268728,up
28,187.6651982378855,mean
28,155.28634361233483,down
33,259.6916299559472,up
33,196.25550660792956,mean 
33,150.00000000000003,down
38,201.54185022026437,up
38,169.1629955947137,mean
38,104.40528634361237,down
